instance,err,name,dim,noise,m,ks_true,frac_t8_origin,frac_t8_mean,frac_t16_origin,frac_t16_mean
491,,d3-c1-n0.1-m11,3,0.1,11,-13.136520272342572,-0.0,-0.0375,-0.0625,-0.1
493,,d3-c1-n0.1-m13,3,0.1,13,33.209975825617065,-0.0,-0.0,-0.0,-0.0
510,,d3-c1-n0.2-m0,3,0.2,0,9.530164910380307,-0.0,-0.0,-0.0,-0.1125
512,,d3-c1-n0.2-m2,3,0.2,2,-7.144697080372662,-0.0625,-0.1125,-0.0625,-0.1875
514,,d3-c1-n0.2-m4,3,0.2,4,-14.544124599425984,-0.0,-0.0,-0.0,-0.0125
516,,d3-c1-n0.2-m6,3,0.2,6,-35.603562663735204,-0.0,-0.0,-0.0,-0.0
518,,d3-c1-n0.2-m8,3,0.2,8,6.008144855297212,-0.0625,-0.025,-0.1875,-0.1375
520,,d3-c1-n0.2-m10,3,0.2,10,2.0196605728685517,-0.0,-0.0125,-0.0625,-0.0875
522,,d3-c1-n0.2-m12,3,0.2,12,-18.867196080469053,-0.0,-0.0,-0.0,-0.0
524,,d3-c1-n0.2-m14,3,0.2,14,-10.794922538515332,-0.0,-0.0,-0.0,-0.0
541,,d4-c1-n0.01-m1,4,0.01,1,-0.036623222623584,-0.1875,-0.1375,-0.25,-0.2
543,,d4-c1-n0.01-m3,4,0.01,3,5.992532678039441,-0.0625,-0.0125,-0.0625,-0.0125
545,,d4-c1-n0.01-m5,4,0.01,5,-25.421391317475663,-0.0625,-0.05,-0.0,-0.0125
547,,d4-c1-n0.01-m7,4,0.01,7,-29.76605096445724,-0.1875,-0.15,-0.5,-0.3625
549,,d4-c1-n0.01-m9,4,0.01,9,-11.171970873719408,-0.0,-0.0375,-0.1875,-0.2875
551,,d4-c1-n0.01-m11,4,0.01,11,-12.598162870506057,-0.1875,-0.2375,-0.5,-0.725
553,,d4-c1-n0.01-m13,4,0.01,13,-14.479569337189464,-0.0625,-0.1,-0.0625,-0.1625
570,,d4-c1-n0.05-m0,4,0.05,0,-1.0376935627011612,-0.0,-0.05,-0.0,-0.025
572,,d4-c1-n0.05-m2,4,0.05,2,-16.09270414189458,-0.125,-0.15,-0.25,-0.35
574,,d4-c1-n0.05-m4,4,0.05,4,-17.091759926410464,-0.0625,-0.0375,-0.3125,-0.15
576,,d4-c1-n0.05-m6,4,0.05,6,1.5495180423592505,-0.0625,-0.0625,-0.0,-0.0125
578,,d4-c1-n0.05-m8,4,0.05,8,-22.05882557409797,-0.0,-0.05,-0.5625,-0.525
580,,d4-c1-n0.05-m10,4,0.05,10,1.430710029764047,-0.125,-0.05,-0.125,-0.05
582,,d4-c1-n0.05-m12,4,0.05,12,-20.161306901824567,-0.25,-0.15,-0.25,-0.25
584,,d4-c1-n0.05-m14,4,0.05,14,-18.85016105524571,-0.3125,-0.175,-0.5625,-0.3875
601,,d4-c1-n0.1-m1,4,0.1,1,-25.490568830187783,-0.1875,-0.1625,-0.5,-0.5625
603,,d4-c1-n0.1-m3,4,0.1,3,-9.190322083736802,-0.0625,-0.025,-0.125,-0.075
605,,d4-c1-n0.1-m5,4,0.1,5,-15.198491523550626,-0.4375,-0.1375,-0.5,-0.3375
607,,d4-c1-n0.1-m7,4,0.1,7,-12.183740340828578,-0.25,-0.2,-0.4375,-0.5125
609,,d4-c1-n0.1-m9,4,0.1,9,-0.0842488264840803,-0.0625,-0.15,-0.0625,-0.2625
611,,d4-c1-n0.1-m11,4,0.1,11,-3.3189630707114124,-0.0,-0.0125,-0.125,-0.15
613,,d4-c1-n0.1-m13,4,0.1,13,-22.6348913684337,-0.125,-0.1375,-0.0,-0.075
630,,d4-c1-n0.2-m0,4,0.2,0,-3.558579726048665,-0.0,-0.0,-0.0625,-0.0125
632,,d4-c1-n0.2-m2,4,0.2,2,-24.04856054825175,-0.0625,-0.05,-0.875,-0.75
634,,d4-c1-n0.2-m4,4,0.2,4,-5.665571274105821,-0.3125,-0.2125,-1.0,-0.8875
636,,d4-c1-n0.2-m6,4,0.2,6,-29.21622157395343,-0.0,-0.0125,-0.6875,-0.675
638,,d4-c1-n0.2-m8,4,0.2,8,-22.997619759109075,-0.0,-0.0125,-0.125,-0.075
640,,d4-c1-n0.2-m10,4,0.2,10,32.54341939091398,-0.0,-0.0,-0.0,-0.0
642,,d4-c1-n0.2-m12,4,0.2,12,-15.484538294325528,-0.0625,-0.0625,-1.0,-1.0
644,,d4-c1-n0.2-m14,4,0.2,14,53.48846762686056,-0.0,-0.0,-0.0,-0.0
661,,d5-c1-n0.01-m1,5,0.01,1,2.5245450099361197,-0.0625,-0.075,-0.6875,-0.4375
663,,d5-c1-n0.01-m3,5,0.01,3,2.1789181931808583,-0.0,-0.05,-0.0625,-0.125
665,,d5-c1-n0.01-m5,5,0.01,5,-44.1232350861954,-0.0625,-0.075,-0.75,-0.6625
667,,d5-c1-n0.01-m7,5,0.01,7,-13.523752961154,-0.375,-0.2125,-1.0,-0.85
669,,d5-c1-n0.01-m9,5,0.01,9,-18.319930087521648,-0.1875,-0.125,-1.0,-1.0
671,,d5-c1-n0.01-m11,5,0.01,11,-19.616145636909778,-0.3125,-0.1375,-1.0,-1.0
673,,d5-c1-n0.01-m13,5,0.01,13,-29.827358750792463,-0.125,-0.1625,-1.0,-1.0
690,,d5-c1-n0.05-m0,5,0.05,0,19.46385767445848,-0.0,-0.0125,-0.0,-0.0
692,,d5-c1-n0.05-m2,5,0.05,2,-29.278471998111137,-0.0,-0.05,-1.0,-0.8
694,,d5-c1-n0.05-m4,5,0.05,4,54.88132514320018,-0.0,-0.0,-0.0,-0.0
696,,d5-c1-n0.05-m6,5,0.05,6,-11.136468161274196,-0.3125,-0.1375,-1.0,-1.0
698,,d5-c1-n0.05-m8,5,0.05,8,-14.507889827778769,-0.0,-0.05,-0.875,-0.9
700,,d5-c1-n0.05-m10,5,0.05,10,-62.894655678803616,-0.0,-0.0,-0.125,-0.175
702,,d5-c1-n0.05-m12,5,0.05,12,-8.094765280509788,-0.0625,-0.0125,-0.1875,-0.1625
704,,d5-c1-n0.05-m14,5,0.05,14,-31.099208931298197,-0.125,-0.15,-1.0,-1.0
721,,d5-c1-n0.1-m1,5,0.1,1,55.01886922438137,-0.0,-0.0,-0.0,-0.0
723,,d5-c1-n0.1-m3,5,0.1,3,-39.1042194433172,-1.0,-0.975,-1.0,-1.0
725,,d5-c1-n0.1-m5,5,0.1,5,-33.13785935137783,-0.0625,-0.05,-1.0,-0.6625
727,,d5-c1-n0.1-m7,5,0.1,7,-20.20522058544134,-0.0625,-0.025,-0.0625,-0.0625
729,,d5-c1-n0.1-m9,5,0.1,9,12.657273566920678,-0.0,-0.0125,-0.0,-0.025
731,,d5-c1-n0.1-m11,5,0.1,11,-18.969061686030443,-0.0625,-0.0375,-0.3125,-0.225
733,,d5-c1-n0.1-m13,5,0.1,13,-36.53140813846787,-0.25,-0.15,-1.0,-1.0
750,,d5-c1-n0.2-m0,5,0.2,0,-64.8943072100459,-0.4375,-0.35,-1.0,-1.0
752,,d5-c1-n0.2-m2,5,0.2,2,-8.878799685305857,-0.25,-0.25,-1.0,-1.0
754,,d5-c1-n0.2-m4,5,0.2,4,-4.946768816439207,-0.0,-0.05,-0.1875,-0.675
756,,d5-c1-n0.2-m6,5,0.2,6,-36.6631065153695,-0.0,-0.0,-0.0,-0.15
758,,d5-c1-n0.2-m8,5,0.2,8,-31.847402516207318,-0.5,-0.4125,-1.0,-1.0
760,,d5-c1-n0.2-m10,5,0.2,10,-38.9177710392795,-1.0,-1.0,-1.0,-1.0
762,,d5-c1-n0.2-m12,5,0.2,12,-19.633812002494803,-0.3125,-0.25,-1.0,-1.0
764,,d5-c1-n0.2-m14,5,0.2,14,19.863413883002544,-0.0,-0.0,-0.0,-0.0
781,,d6-c1-n0.01-m1,6,0.01,1,2.310630032127137,-0.125,-0.2875,-1.0,-0.9625
783,,d6-c1-n0.01-m3,6,0.01,3,-42.99969305482514,-0.625,-0.65,-1.0,-1.0
785,,d6-c1-n0.01-m5,6,0.01,5,-25.903753117337263,-0.4375,-0.3625,-1.0,-1.0
787,,d6-c1-n0.01-m7,6,0.01,7,-45.17999519324027,-0.6875,-0.5875,-1.0,-1.0
789,,d6-c1-n0.01-m9,6,0.01,9,-43.329784414216405,-0.75,-0.7125,-1.0,-1.0
791,,d6-c1-n0.01-m11,6,0.01,11,13.844805645269425,-0.0625,-0.025,-0.1875,-0.1
793,,d6-c1-n0.01-m13,6,0.01,13,-76.44652684559905,-0.125,-0.1125,-1.0,-1.0
810,,d6-c1-n0.05-m0,6,0.05,0,-50.04826371600894,-1.0,-1.0,-1.0,-1.0
812,,d6-c1-n0.05-m2,6,0.05,2,-45.10090508696406,-0.3125,-0.2,-0.5625,-0.7375
814,,d6-c1-n0.05-m4,6,0.05,4,-47.9480359713048,-0.25,-0.425,-1.0,-1.0
