method,dim,noise,pearson,n
hickock,6,0.1,0.13392112188483768,29
hickock,6,0.2,0.1613782544558857,28
laziness_adaptive_t5,2,0.01,-0.2357841974098469,29
laziness_adaptive_t5,2,0.05,0.2993276085671338,26
laziness_adaptive_t5,2,0.1,0.3218376895175741,27
laziness_adaptive_t5,2,0.2,0.59190537170337,21
laziness_adaptive_t5,3,0.01,0.05831801446195936,21
laziness_adaptive_t5,3,0.05,0.04446009292813331,23
laziness_adaptive_t5,3,0.1,-0.13021581617957823,26
laziness_adaptive_t5,3,0.2,0.21826267553288364,30
laziness_adaptive_t5,4,0.01,0.47074362059778635,24
laziness_adaptive_t5,4,0.05,0.18285691814808333,25
laziness_adaptive_t5,4,0.1,0.27984421081137834,25
laziness_adaptive_t5,4,0.2,0.07595077315867974,23
laziness_adaptive_t5,5,0.01,0.6747047101182566,28
laziness_adaptive_t5,5,0.05,0.49564078669671957,32
laziness_adaptive_t5,5,0.1,0.2560229897003964,31
laziness_adaptive_t5,5,0.2,-0.04045575408252012,29
laziness_adaptive_t5,6,0.01,0.5595766222347998,32
laziness_adaptive_t5,6,0.05,0.294534246978157,28
laziness_adaptive_t5,6,0.1,0.38660266944960864,29
laziness_adaptive_t5,6,0.2,0.36677377082844836,28
laziness_knn_t5,2,0.01,-0.31168045087286755,29
laziness_knn_t5,2,0.05,0.32623378283327226,26
laziness_knn_t5,2,0.1,0.30216531143094505,27
laziness_knn_t5,2,0.2,0.6222559041339979,21
laziness_knn_t5,3,0.01,0.10453494415352783,21
laziness_knn_t5,3,0.05,0.0837760413143873,23
laziness_knn_t5,3,0.1,-0.043449319593267414,26
laziness_knn_t5,3,0.2,0.19560682005621252,30
laziness_knn_t5,4,0.01,0.5286147346434644,24
laziness_knn_t5,4,0.05,0.2015617626586258,25
laziness_knn_t5,4,0.1,0.3153908982666199,25
laziness_knn_t5,4,0.2,0.10697648728465314,23
laziness_knn_t5,5,0.01,0.6896274325771979,28
laziness_knn_t5,5,0.05,0.5369175518079504,32
laziness_knn_t5,5,0.1,0.3040048696709272,31
laziness_knn_t5,5,0.2,-0.032838569957294214,29
laziness_knn_t5,6,0.01,0.5379047374563752,32
laziness_knn_t5,6,0.05,0.30661415882231574,28
laziness_knn_t5,6,0.1,0.377073696078019,29
laziness_knn_t5,6,0.2,0.3957064538351112,28
orc,2,0.01,-0.21827666992043476,29
orc,2,0.05,0.13901181067099955,26
orc,2,0.1,0.4666516232503513,27
orc,2,0.2,0.4260635520103119,21
orc,3,0.01,0.0840638987643007,21
orc,3,0.05,0.047735855275678675,24
orc,3,0.1,0.16706458134561739,26
orc,3,0.2,-0.09987826635673436,30
orc,4,0.01,0.10934047148869806,24
orc,4,0.05,0.026329081370572584,25
orc,4,0.1,0.16647022042852647,25
orc,4,0.2,-0.19432598478066437,24
orc,5,0.01,0.5435800951663934,28
orc,5,0.05,0.2299969258432248,32
orc,5,0.1,0.15631063103707496,31
orc,5,0.2,-0.14688210989067016,29
orc,6,0.01,0.45252714928304605,32
orc,6,0.05,0.014245499664018474,28
orc,6,0.1,0.018720477958321186,29
orc,6,0.2,0.24772414302425094,28
spc_diffusion_t5,2,0.01,0.1387013027039789,29
spc_diffusion_t5,2,0.05,-0.1247963305319345,26
spc_diffusion_t5,2,0.1,-0.00503502570959416,27
spc_diffusion_t5,2,0.2,0.1157808792291816,21
spc_diffusion_t5,3,0.01,-0.16066482571787197,21
spc_diffusion_t5,3,0.05,0.49609953889992847,23
spc_diffusion_t5,3,0.1,-0.05044327156290412,26
spc_diffusion_t5,3,0.2,0.13163154266413052,30
spc_diffusion_t5,4,0.01,0.056018887945722545,24
spc_diffusion_t5,4,0.05,-0.24193278930620354,25
spc_diffusion_t5,4,0.1,0.004866708333313902,25
spc_diffusion_t5,4,0.2,0.002612362165540505,23
spc_diffusion_t5,5,0.01,,28
spc_diffusion_t5,5,0.05,,32
spc_diffusion_t5,5,0.1,,31
spc_diffusion_t5,5,0.2,,29
spc_diffusion_t5,6,0.01,,32
spc_diffusion_t5,6,0.05,,28
spc_diffusion_t5,6,0.1,,29
spc_diffusion_t5,6,0.2,,28
spc_hop,2,0.01,0.03326139992819757,29
spc_hop,2,0.05,-0.022023704376497713,26
spc_hop,2,0.1,-0.13023659026381162,27
spc_hop,2,0.2,0.010505392189420934,21
spc_hop,3,0.01,0.10411286807616837,21
spc_hop,3,0.05,-0.026674091916602853,23
spc_hop,3,0.1,-0.012730259167948593,26
spc_hop,3,0.2,0.025873619452108705,30
spc_hop,4,0.01,-0.002183592604004237,24
spc_hop,4,0.05,-0.22082244050220515,25
spc_hop,4,0.1,-0.06488425276994189,25
spc_hop,4,0.2,0.13734955569603796,23
spc_hop,5,0.01,,28
spc_hop,5,0.05,,32
spc_hop,5,0.1,,31
spc_hop,5,0.2,,29
spc_hop,6,0.01,,32
spc_hop,6,0.05,,28
spc_hop,6,0.1,,29
spc_hop,6,0.2,,28
successor_entropy,2,0.01,0.621349996194824,28
successor_entropy,2,0.05,0.44360567899664577,25
successor_entropy,2,0.1,0.6142272600234843,26
successor_entropy,2,0.2,-0.1724410493339973,20
successor_entropy,3,0.01,0.4636158284165032,20
successor_entropy,3,0.05,0.6512257237229363,23
successor_entropy,3,0.1,0.4840331303255419,25
successor_entropy,3,0.2,0.26167738517817213,29
successor_entropy,4,0.01,0.4810189849361058,23
successor_entropy,4,0.05,0.7426542569992075,24
successor_entropy,4,0.1,0.5234487494584467,25
successor_entropy,4,0.2,0.4376709750478976,23
successor_entropy,5,0.01,0.6953260596190256,27
successor_entropy,5,0.05,0.7185715958431628,32
successor_entropy,5,0.1,0.677226664175177,30
successor_entropy,5,0.2,0.635293680584646,28
successor_entropy,6,0.01,0.5251419964864785,31
successor_entropy,6,0.05,0.6559549190794274,27
successor_entropy,6,0.1,0.7318183150260922,28
successor_entropy,6,0.2,0.8477974514936105,27
successor_orc,2,0.01,-0.34873153162896087,28
successor_orc,2,0.05,-0.5923586675924528,25
successor_orc,2,0.1,0.04650383901494968,26
successor_orc,2,0.2,-0.5351725565364744,20
successor_orc,3,0.01,-0.4922614661507819,20
successor_orc,3,0.05,-0.6735641314846834,23
successor_orc,3,0.1,-0.27912483209848005,25
successor_orc,3,0.2,-0.25673644890784564,29
successor_orc,4,0.01,-0.04721618590282762,23
successor_orc,4,0.05,-0.06233085496862116,24
successor_orc,4,0.1,0.042440609047492056,25
successor_orc,4,0.2,-0.3433420837097473,23
successor_orc,5,0.01,-0.2835806975406613,27
successor_orc,5,0.05,-0.478692370251315,32
successor_orc,5,0.1,0.07110008582670842,30
successor_orc,5,0.2,-0.34018366139189987,28
successor_orc,6,0.01,-0.2390691443284612,31
successor_orc,6,0.05,0.08872637677159642,27
successor_orc,6,0.1,0.10077080909727683,28
successor_orc,6,0.2,-0.014085068071093262,27
