instance,n_traj,err,dim,noise,ks_true,coverage,frac_emp,ent_emp_t2,ent_emp_t4,ent_emp_t8,kappa_surp,frac_fb,ent_fb
420,10,,3,0.01,1.2257813837761642,0.116,0.0,1.0397279262542725,1.4075450897216797,1.6882394552230835,0.1079101831274543,0.2760416666666666,4.201601028442383
459,10,,3,0.05,3.218057928153633,0.106,0.0,0.6277502179145813,1.1138980388641355,1.7390310764312744,0.1283010868931728,0.0,4.107390880584717
513,10,,3,0.2,-4.361976627914746,0.121,0.0,0.8806004524230957,1.103277564048767,1.412485957145691,0.2642755247089825,0.015625,4.5203083753585815
552,10,,4,0.01,-11.163127979587726,0.115,0.2857142857142857,1.3348535299301147,2.0197997093200684,2.610231399536133,-0.1630424917866011,0.046875,4.237445116043091
606,10,,4,0.1,-27.860036231503933,0.127,0.0,1.0397286415100098,1.4533843994140625,1.9595088958740237,-0.1056177487335133,0.109375,4.322337865829468
660,10,,5,0.01,1.9053751696081136,0.118,0.1428571428571428,1.4882416725158691,2.079371213912964,2.7030487060546875,-0.16773738447832,0.425,4.338740825653076
699,10,,5,0.05,-33.03765356029634,0.116,0.3333333333333333,0.9150052070617676,1.240056037902832,1.6207139492034912,0.0533319960858396,0.34375,4.220381140708923
753,10,,5,0.2,-27.36167081917381,0.121,0.25,1.383689284324646,2.004504919052124,2.705404281616211,-0.148704330711917,0.7395833333333334,4.469388604164124
792,10,,6,0.01,-38.33381100352402,0.124,0.3333333333333333,1.802635073661804,2.362123489379883,2.877798795700073,0.0151064437006399,0.7578125,4.588111042976379
846,10,,6,0.1,68.02202730824673,0.126,0.0,1.0397286415100098,1.523161768913269,2.092963933944702,-0.2964265060957951,0.0,4.28655207157135
420,25,,3,0.01,1.2257813837761642,0.265,0.0,1.0385684967041016,1.584174394607544,2.271519660949707,-0.3256176735226887,0.0078125,5.163167715072632
459,25,,3,0.05,3.218057928153633,0.266,0.0,0.8806101679801941,1.1032966375350952,1.372226595878601,0.2716269793840188,0.3697916666666667,4.853552579879761
513,25,,3,0.2,-4.361976627914746,0.287,0.0,1.133460283279419,1.6867722272872925,2.260211229324341,-0.1991428523470404,0.2760416666666667,5.160708904266357
552,25,,4,0.01,-11.163127979587726,0.267,0.1,1.5417827367782593,1.8227596282958984,2.068300485610962,0.8680097253632408,0.0677083333333333,4.884006023406982
606,25,,4,0.1,-27.860036231503933,0.273,0.2727272727272727,1.1969627141952517,1.5364121198654177,1.9406250715255735,0.4107373481409366,0.196875,5.046895861625671
660,25,,5,0.01,1.9053751696081136,0.285,0.0,1.0170539617538452,1.6562862396240234,2.3553037643432617,0.6223674027753691,0.8515625,5.024709939956665
699,25,,5,0.05,-33.03765356029634,0.285,0.0625,1.677462816238403,2.3477132320404053,3.1637542247772217,-0.0150943908010097,0.5375000000000001,5.208926558494568
753,25,,5,0.2,-27.36167081917381,0.291,0.1428571428571428,1.518182396888733,2.0474987030029297,2.626749992370605,0.3264782293176734,0.6656250000000001,5.308632850646973
792,25,,6,0.01,-38.33381100352402,0.291,0.0,1.1912226676940918,1.829242706298828,2.630335807800293,-0.3209115810810071,0.96875,5.365886211395264
846,25,,6,0.1,68.02202730824673,0.301,0.0,1.0397393703460691,1.660514235496521,2.456699848175049,-0.3419076315738631,0.7083333333333334,5.375077843666077
422,50,,3,0.01,-10.734204673555151,0.465,0.0,1.1912330389022827,1.783012628555298,2.3160855770111084,0.7090190504118024,0.3645833333333333,5.544690012931824
461,50,,3,0.05,21.368395828400903,0.451,0.0,0.6277796626091003,0.9990414381027222,1.343599796295166,0.5004159734065832,0.984375,5.810237646102905
515,50,,3,0.2,0.0089580823909294,0.473,0.1111111111111111,1.5823291540145874,2.5798983573913574,3.6866283416748047,-0.3188324215737489,0.4322916666666666,5.551825761795044
554,50,,4,0.01,-4.503402761482203,0.486,0.25,2.160836696624756,3.151753187179565,4.100174427032471,-0.2749604101035969,0.728125,5.799241423606873
608,50,,4,0.1,5.924945353387931,0.476,0.238095238095238,1.9268639087677,2.857776165008545,3.9039306640625,-0.4279808854487088,0.5625,5.721722960472107
662,50,,5,0.01,-1.454894501301056,0.486,0.0,1.1912343502044678,2.1271657943725586,3.3093299865722656,0.0554113142746231,0.90625,5.564206480979919
701,50,,5,0.05,-12.478273660639108,0.475,0.1,1.7865232229232788,2.3562228679656982,2.973309278488159,0.2668495015112396,0.0,5.580373287200928
755,50,,5,0.2,-34.37732560792047,0.506,0.3,2.295104503631592,3.32824182510376,4.347449779510498,-0.0220359671933753,0.28125,5.560243129730225
794,50,,6,0.01,-38.89536340245233,0.491,0.3,1.9769128561019895,3.100235939025879,4.204391002655029,-0.0226739290249757,0.328125,5.775469779968262
848,50,,6,0.1,-25.63865350280647,0.501,0.0769230769230769,1.7524617910385132,2.6576497554779053,3.726564884185791,-0.4045462133412185,0.675,5.756530165672302
422,100,,3,0.01,-10.734204673555151,0.685,0.0,1.5770156383514404,2.520097255706787,3.592289686203003,-0.3356215451805042,0.3645833333333333,6.174970984458923
461,100,,3,0.05,21.368395828400903,0.685,0.375,1.626895308494568,2.383906126022339,3.2247684001922607,-0.4408808271331255,0.534375,6.000152587890625
515,100,,3,0.2,0.0089580823909294,0.723,0.1428571428571428,2.547203302383423,3.4943618774414062,4.4585700035095215,0.0516555324868621,0.1375,6.045958042144775
554,100,,4,0.01,-4.503402761482203,0.714,0.0526315789473684,2.197225570678711,3.2990567684173584,4.514900207519531,-0.2266231316072314,0.640625,6.181873440742493
