instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent
1,sadspheres,,2-Sphere,2,0.0,,Sphere,2.0,2000,0.09827913071803321,0.0,5.620700836181641,5
65,sadspheres,,3-Plane,3,0.0,,Plane,0.0,2000,-0.09696540546789414,1.0,4.943090915679932,1
129,sadspheres,,4-Saddle,4,0.0,,Saddle,-16.0,2000,0.04948739304506415,1.0,6.750925540924072,1
193,sadspheres,,5-Sphere,5,0.0,,Sphere,2.0,2000,0.48347478393313387,0.0,6.675732612609863,1
257,sadspheres,,6-Plane,6,0.0,,Plane,0.0,2000,0.43532019138931244,1.0,7.382251739501953,1
336,colosseum,,d2-c1-n0.05-m6,2,0.05,6,,-2.880567788146728,3000,0.013599277420896075,0.0,6.298825263977051,7
460,colosseum,,d3-c1-n0.05-m10,3,0.05,10,,-13.787515224982826,3000,-0.02524116075042669,0.7375,5.6683220863342285,1
584,colosseum,,d4-c1-n0.05-m14,4,0.05,14,,-18.85016105524571,3000,0.0736520546181205,0.3875,6.631349086761475,1
723,colosseum,,d5-c1-n0.1-m3,5,0.1,3,,-39.1042194433172,3000,-0.23343354586073423,1.0,7.4185051918029785,1
847,colosseum,,d6-c1-n0.1-m7,6,0.1,7,,-52.04537163029244,3000,-0.6874351188813504,1.0,7.153644561767578,1
