instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac
5,sadspheres,,2-Plane,2,0.0,,Plane,0.0,2000,-0.002345285214853471,0.0
69,sadspheres,,3-Saddle,3,0.0,,Saddle,-8.0,2000,-0.006377321612906162,1.0
133,sadspheres,,4-Sphere,4,0.0,,Sphere,2.0,2000,0.3653604990599889,0.0
197,sadspheres,,5-Plane,5,0.0,,Plane,0.0,2000,0.25884396495363643,1.0
261,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.53757423365616,1.0
340,colosseum,,d2-c1-n0.05-m10,2,0.05,10,,-1.3523409226359646,3000,0.0012570161021425996,0.0
464,colosseum,,d3-c1-n0.05-m14,3,0.05,14,,-21.079559573576592,3000,-0.1713101536997621,0.6125
603,colosseum,,d4-c1-n0.1-m3,4,0.1,3,,-9.190322083736802,3000,-0.005986512997655388,0.075
727,colosseum,,d5-c1-n0.1-m7,5,0.1,7,,-20.20522058544134,3000,0.20477765546190885,0.0625
851,colosseum,,d6-c1-n0.1-m11,6,0.1,11,,-9.528899156859145,3000,-0.3378271943296969,0.0625
