n_points,dim,rep,err,kappa_plus,frac,ent,t_ent
2000,2,6,,0.05269050065211972,0.0,5.597352027893066,5
2000,3,8,,0.001176050581984417,1.0,4.923295497894287,1
2000,4,10,,0.15169198744142726,0.9875,6.444038391113281,1
2000,5,12,,0.3260525859660037,1.0,7.244396209716797,1
2000,6,14,,0.47038810812495213,1.0,7.42263126373291,1
3000,2,16,,0.018440842337258123,0.0,6.1116485595703125,8
3000,3,18,,-0.08253772873279662,0.9125,5.0007524490356445,1
3000,4,20,,0.02825165454500883,0.9875,6.6065673828125,1
3000,5,22,,0.24313883078350762,1.0,7.5395731925964355,1
3000,6,24,,0.14667019851411545,1.0,7.742030620574951,1
