instance,n_traj,method,score_origin,score_mean,coverage,err,name,dim,noise,m,ks_true
882,100,shortcut_odd_q60,617.3879870203612,616.6611094008982,0.719,,d6-c1-n0.2-m12,6,0.2,12,-34.46401744692712
884,100,shortcut_odd_q60,694.1408905133768,655.6145821942309,0.73,,d6-c1-n0.2-m14,6,0.2,14,-48.22651622007661
301,500,shortcut_odd_q60,1553.8152455584984,1615.5454123809327,0.992,,d2-c1-n0.01-m1,2,0.01,1,24.29147882731491
303,500,shortcut_odd_q60,1409.8354370367274,2057.721148491975,0.994,,d2-c1-n0.01-m3,2,0.01,3,-1.704752151195842
305,500,shortcut_odd_q60,1654.8798238028976,1614.464270776816,0.991,,d2-c1-n0.01-m5,2,0.01,5,17.833593420006732
307,500,shortcut_odd_q60,1324.3609307133056,2097.131802017246,0.996,,d2-c1-n0.01-m7,2,0.01,7,-4.119639039475162
309,500,shortcut_odd_q60,1307.0436706492594,2222.4712562218115,0.995,,d2-c1-n0.01-m9,2,0.01,9,-8.930072585381469
311,500,shortcut_odd_q60,1771.1076736134708,1858.5109120065963,0.997,,d2-c1-n0.01-m11,2,0.01,11,6.656586154585676
313,500,shortcut_odd_q60,1188.9749723227776,2144.935574404801,0.996,,d2-c1-n0.01-m13,2,0.01,13,-2.9443229796812918
330,500,shortcut_odd_q60,1486.1352895253235,2277.797718946226,0.996,,d2-c1-n0.05-m0,2,0.05,0,0.1641133119551789
332,500,shortcut_odd_q60,1600.8171147632916,2103.77114018422,0.997,,d2-c1-n0.05-m2,2,0.05,2,1.728836197424718
334,500,shortcut_odd_q60,1810.266857112356,1862.588716261042,0.997,,d2-c1-n0.05-m4,2,0.05,4,5.496937541713086
336,500,shortcut_odd_q60,1255.4177016071424,1654.3696205601475,0.995,,d2-c1-n0.05-m6,2,0.05,6,-2.880567788146728
338,500,shortcut_odd_q60,1140.142017679406,1525.191029113967,0.997,,d2-c1-n0.05-m8,2,0.05,8,13.350834999027844
340,500,shortcut_odd_q60,1299.6591803678425,1924.712663855416,0.995,,d2-c1-n0.05-m10,2,0.05,10,-1.3523409226359646
342,500,shortcut_odd_q60,1002.034525625538,1693.5117984976946,0.996,,d2-c1-n0.05-m12,2,0.05,12,-19.350068753652508
344,500,shortcut_odd_q60,1643.167528917677,2150.175351239249,0.996,,d2-c1-n0.05-m14,2,0.05,14,3.330936894367293
361,500,shortcut_odd_q60,1746.3567609770462,1586.2857390042516,0.998,,d2-c1-n0.1-m1,2,0.1,1,9.449520693307583
363,500,shortcut_odd_q60,1562.0633726804847,2209.240549596167,0.999,,d2-c1-n0.1-m3,2,0.1,3,-0.1957350610295782
365,500,shortcut_odd_q60,1764.6966850272458,1724.2296906875213,0.998,,d2-c1-n0.1-m5,2,0.1,5,11.08152312025702
367,500,shortcut_odd_q60,1871.861905408156,2165.1720575568243,0.996,,d2-c1-n0.1-m7,2,0.1,7,-1.4167534716119394
369,500,shortcut_odd_q60,1668.291698083763,2418.1900637269846,0.995,,d2-c1-n0.1-m9,2,0.1,9,1.4450793517878724
371,500,shortcut_odd_q60,1321.0713341973526,1774.342878130397,0.997,,d2-c1-n0.1-m11,2,0.1,11,-16.934696980264345
373,500,shortcut_odd_q60,963.0129864816864,1820.355470460706,0.998,,d2-c1-n0.1-m13,2,0.1,13,1.219879741117918
390,500,shortcut_odd_q60,1187.4080761412197,1181.8958392104691,0.997,,d2-c1-n0.2-m0,2,0.2,0,6.571277573877722
392,500,shortcut_odd_q60,1727.0091063350874,1923.308030997388,0.997,,d2-c1-n0.2-m2,2,0.2,2,0.5863070446801962
