dim,dataset,t,ks_true,orc,orc_std,orc_phys,midpoint,midpoint_std,spread,elapsed_s
2,plane,2,0.0,0.027525593863251013,0.0,1.4459368528623562,-5.616199265076586,0.0,0.13797286592661573,1.02
2,plane,4,0.0,0.05134930713404681,0.0,1.328056653077589,-9.44754136137561,0.0,0.19663417167953584,1.19
2,plane,8,0.0,0.03491283857569359,0.0,0.448075365843781,-16.230798452683533,0.0,0.27913676831264495,1.31
2,plane,16,0.0,-0.0575569641765212,0.0,-0.36561326836484614,-14.657996448361875,0.0,0.396769212476215,1.6
2,plane,32,0.0,-0.18466872815075921,0.0,-0.6026643457210585,-4.892451567083731,0.0,0.553552644173901,1.78
2,sphere_r1.0,2,2.0,0.04581689721759735,0.04027157032140545,0.7117369600934118,-2.1573383305887335,0.8413275043772995,0.257585452640297,1.74
2,sphere_r1.0,4,2.0,0.08049687818633043,0.023413784843368795,0.5962997538736783,-1.576646935472057,0.40279539992629254,0.3667821949120833,2.62
2,sphere_r1.0,8,2.0,0.07305165474714943,0.028887449874508857,0.2732757028699217,-3.861487909828046,0.5872638241150051,0.5166461002459302,2.74
2,sphere_r1.0,16,2.0,0.09613398167401221,0.018467277181727308,0.1868806645166786,-5.072898180324021,0.6897679122784779,0.7172613623223276,3.0
2,sphere_r1.0,32,2.0,0.11237971666493794,0.022890191494045142,0.11786850751390292,-3.615401423222418,0.5882635304732533,0.9766932128510533,3.8
2,sphere_r1.5,2,0.8888888888888888,0.05324084676261872,0.042848407006318076,0.3669477885324177,-0.8538495844153331,0.2489587788781038,0.38028560660718375,1.62
2,sphere_r1.5,4,0.8888888888888888,0.04222717468668945,0.025717458389128207,0.1400194988011955,-0.5564886176619191,0.24181946642916008,0.5436252336490155,2.51
2,sphere_r1.5,8,0.8888888888888888,0.06589883652229682,0.01859086653246614,0.11140196755310541,-1.6415319971191544,0.29911773771251227,0.7680199253182646,2.68
2,sphere_r1.5,16,0.8888888888888888,0.08491107228770911,0.008362626899890653,0.07396429883687743,-2.1363333974130088,0.26680043807563253,1.0722201226402919,3.05
2,sphere_r1.5,32,0.8888888888888888,0.1079265766598486,0.02368762345705084,0.04982630732336505,-1.4549119724254056,0.24927807950576436,1.4676186201946992,2.96
2,sphere_r2.0,2,0.5,0.019335538978721103,0.027096149636177014,0.08270336112475077,-0.602584487346467,0.17337194906620987,0.4800360606616958,1.65
2,sphere_r2.0,4,0.5,0.0291159200870042,0.03945553588274597,0.06252627878526254,-0.41096498840814966,0.13224226162991762,0.694806150181888,2.39
2,sphere_r2.0,8,0.5,0.05956510329504412,0.01843303335620721,0.060036212772375266,-1.1233419010387862,0.11157043432298969,1.0002077729865695,2.6
2,sphere_r2.0,16,0.5,0.09844082000483245,0.005442204224706475,0.04900996167514805,-1.3324052515383311,0.06903217707619141,1.416823139217362,2.71
2,sphere_r2.0,32,0.5,0.09875452124726102,0.007653596153745897,0.02582358407673603,-0.8725746834715886,0.14768162605905436,1.9556108904755545,3.07
2,saddle,2,-8.0,-0.071683833593629,0.0,-3.089454031692246,-11.438200927235796,0.0,0.15232449348045574,0.82
2,saddle,4,-8.0,-0.03543710933448123,0.0,-0.7523649128086186,-8.672126373361284,0.0,0.21702755484627145,1.15
2,saddle,8,-8.0,-0.07204090031812287,0.0,-0.7348713900273279,-12.042749797080901,0.0,0.31310059718513467,1.31
2,saddle,16,-8.0,-0.12047483073068274,0.0,-0.5717682265662587,-10.362320682976918,0.0,0.459026917558684,1.44
2,saddle,32,-8.0,-0.38954039164695214,0.0,-0.8704276725677034,-1.880885872042191,0.0,0.6689750234816874,1.94
3,plane,2,0.0,-0.10530213617073939,0.0,-0.4000637163049848,-2.589442797005571,0.0,0.513043285660779,1.46
3,plane,4,0.0,-0.18590055716735748,0.0,-0.34124433334081056,-1.678555536092841,0.0,0.7380871112270477,1.77
