dataset,method,n_samples,n_trajectories,instance,name,ks_hat_mean,ks_hat_std,ks_true_scalar,label
sadspheres,laziness,300,30,0,2-Saddle-0,-3.5069863614389454,0.2103764400896027,-8.0,0.0
sadspheres,successor_entropy,300,30,0,2-Saddle-0,-5.514175140251548,0.06892115409673853,-8.0,0.0
sadspheres,successor_orc,300,30,0,2-Saddle-0,-22.02805725965117,90.55419937962907,-8.0,0.0
sadspheres,laziness,300,30,1,2-Sphere-0,-3.576574560897104,0.1577833980886646,2.0,1.0
sadspheres,successor_entropy,300,30,1,2-Sphere-0,-5.48588103878087,0.10474581264896676,2.0,1.0
sadspheres,successor_orc,300,30,1,2-Sphere-0,-48.349561392861524,251.1546645928572,2.0,1.0
sadspheres,laziness,300,30,2,2-Saddle-1,-3.450602692776713,0.2908511049208091,-8.0,0.0
sadspheres,successor_entropy,300,30,2,2-Saddle-1,-5.456572590203121,0.08456758958141876,-8.0,0.0
sadspheres,successor_orc,300,30,2,2-Saddle-1,-35.73638837738518,136.50303462675254,-8.0,0.0
sadspheres,laziness,300,30,3,2-Sphere-1,-3.5698078214111977,0.17548961673507318,2.0,1.0
sadspheres,successor_entropy,300,30,3,2-Sphere-1,-5.493299522642362,0.0851674524203407,2.0,1.0
sadspheres,successor_orc,300,30,3,2-Sphere-1,-63.93937736604908,236.12651831510826,2.0,1.0
sadspheres,laziness,300,30,4,2-Saddle-2,-3.4879999140388946,0.23948959159787764,-8.0,0.0
sadspheres,successor_entropy,300,30,4,2-Saddle-2,-5.524404961838681,0.07555278505585128,-8.0,0.0
sadspheres,successor_orc,300,30,4,2-Saddle-2,-60.613792340211525,211.1776901870633,-8.0,0.0
sadspheres,laziness,300,30,5,2-Sphere-2,-3.6108309247715753,0.15937545426062832,2.0,1.0
sadspheres,successor_entropy,300,30,5,2-Sphere-2,-5.548655511879245,0.09677691652276883,2.0,1.0
sadspheres,successor_orc,300,30,5,2-Sphere-2,-80.96057793969571,342.95035314627245,2.0,1.0
sadspheres,laziness,300,80,0,2-Saddle-0,-3.5397163682423356,0.21153003848172688,-8.0,0.0
sadspheres,successor_entropy,300,80,0,2-Saddle-0,-5.485549202551207,0.07401043702502912,-8.0,0.0
sadspheres,successor_orc,300,80,0,2-Saddle-0,-27.49534977985546,116.26854674271422,-8.0,0.0
sadspheres,laziness,300,80,1,2-Sphere-0,-3.6425835387875334,0.12057068538826901,2.0,1.0
sadspheres,successor_entropy,300,80,1,2-Sphere-0,-5.485647561172845,0.12530276398661835,2.0,1.0
sadspheres,successor_orc,300,80,1,2-Sphere-0,-51.823035495930206,225.75209525276642,2.0,1.0
sadspheres,laziness,300,80,2,2-Saddle-1,-3.5219825318824487,0.21157396232076958,-8.0,0.0
sadspheres,successor_entropy,300,80,2,2-Saddle-1,-5.450612591261848,0.09666779262764694,-8.0,0.0
sadspheres,successor_orc,300,80,2,2-Saddle-1,-17.596086654660983,76.34190258396214,-8.0,0.0
sadspheres,laziness,300,80,3,2-Sphere-1,-3.5751574701290068,0.15281395887729046,2.0,1.0
sadspheres,successor_entropy,300,80,3,2-Sphere-1,-5.511787682472662,0.08730245369228423,2.0,1.0
sadspheres,successor_orc,300,80,3,2-Sphere-1,-43.688937013874195,250.44455427575468,2.0,1.0
sadspheres,laziness,300,80,4,2-Saddle-2,-3.555812871619447,0.1991134036548931,-8.0,0.0
sadspheres,successor_entropy,300,80,4,2-Saddle-2,-5.484436823897166,0.12611931854451378,-8.0,0.0
sadspheres,successor_orc,300,80,4,2-Saddle-2,-26.01334599192772,84.65224760935361,-8.0,0.0
sadspheres,laziness,300,80,5,2-Sphere-2,-3.620744633754897,0.12769049964717044,2.0,1.0
sadspheres,successor_entropy,300,80,5,2-Sphere-2,-5.52392197779132,0.10107323508722602,2.0,1.0
sadspheres,successor_orc,300,80,5,2-Sphere-2,-175.1902459327809,939.2332569117866,2.0,1.0
sadspheres,laziness,600,30,0,2-Saddle-0,-3.4722677376411415,0.2633646029377918,-8.0,0.0
