n_points,dim,rep,err,kappa_plus,frac
2000,2,14,,-0.011812760492971253,0.0
2000,3,16,,-0.1090156920398745,1.0
2000,4,18,,0.20348458111293985,0.975
2000,5,20,,0.3245707488885724,1.0
2000,6,22,,0.43784284859682054,1.0
3000,2,24,,-0.03118596225634182,0.0
3000,3,26,,-0.16303102141930242,0.95
3000,4,28,,0.017897272714105128,1.0
3000,6,0,,0.2602279495635704,1.0
