dataset,method,n_samples,n_trajectories,instance,name,ks_hat_mean,ks_hat_std,ks_true_scalar,label
colosseum,successor_entropy,300,30,1,d2-c1-n0.0-m1,-5.475062910981757,0.1084340292835942,3.1698488203810604,
colosseum,laziness,300,30,2,d2-c1-n0.0-m2,-3.433164754497351,0.2670894643469726,-0.25349312692409987,
colosseum,successor_entropy,300,30,2,d2-c1-n0.0-m2,-5.4488252808776085,0.12362053386237291,-0.25349312692409987,
colosseum,laziness,300,80,0,d2-c1-n0.0-m0,-3.509987573981692,0.21119263667310673,2.0961819628305802,
colosseum,successor_entropy,300,80,0,d2-c1-n0.0-m0,-5.586289776876924,0.09421617470372114,2.0961819628305802,
colosseum,laziness,300,80,1,d2-c1-n0.0-m1,-3.513444198996334,0.22942111965976758,5.257370981713016,
colosseum,successor_entropy,300,80,1,d2-c1-n0.0-m1,-5.5264714273355775,0.06549857474779196,5.257370981713016,
colosseum,laziness,300,80,2,d2-c1-n0.0-m2,-3.5007773251146883,0.20737350984150604,-8.799456340917601,
colosseum,successor_entropy,300,80,2,d2-c1-n0.0-m2,-5.420796513557434,0.07306854577792035,-8.799456340917601,
colosseum,laziness,600,30,0,d2-c1-n0.0-m0,-3.3956717534883487,0.2697958521008316,16.099284841095958,
colosseum,successor_entropy,600,30,0,d2-c1-n0.0-m0,-6.134387600351367,0.10131057574263798,16.099284841095958,
colosseum,laziness,600,30,1,d2-c1-n0.0-m1,-3.4690660667694266,0.1642191203947633,-1.2047911606928032,
colosseum,successor_entropy,600,30,1,d2-c1-n0.0-m1,-6.147310362769135,0.1233178277649946,-1.2047911606928032,
colosseum,laziness,600,30,2,d2-c1-n0.0-m2,-3.426661159098148,0.27035015573442894,-3.0391742939787707,
colosseum,successor_entropy,600,30,2,d2-c1-n0.0-m2,-6.154828602075577,0.0684447469373446,-3.0391742939787707,
colosseum,laziness,600,80,0,d2-c1-n0.0-m0,-3.550601897366119,0.22126171898946773,2.0214930940758107,
colosseum,successor_entropy,600,80,0,d2-c1-n0.0-m0,-6.236380717971108,0.12407550033735279,2.0214930940758107,
colosseum,laziness,600,80,1,d2-c1-n0.0-m1,-3.534889195429084,0.21799893243695573,0.849060000102036,
colosseum,successor_entropy,600,80,1,d2-c1-n0.0-m1,-6.168184079917803,0.09648005466649709,0.849060000102036,
colosseum,laziness,600,80,2,d2-c1-n0.0-m2,-3.544178577716241,0.23207167401001352,9.5894093101366,
colosseum,successor_entropy,600,80,2,d2-c1-n0.0-m2,-6.19686111480652,0.09321955082677376,9.5894093101366,
