v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,inst_id,ks,dim,shape,name
-0.0063710991517043,-0.0125465231349274,-1.5393850924404553e-05,-7.089440695952272,-6.429593086242676,-0.0,-0.0003736074467912,3.0,0.1917817974285788,0.0777359864948813,0.2256284086454865,0,3000,2,300,-4.073403328580132,2.0,,d2-c1-n0.01-m0
-0.0141198524426099,-0.0226774823067699,0.0325541631409108,-6.8125158092161655,-6.192902565002441,-0.0,0.0786874941158238,3.0,0.1897319505024401,0.0676534445087704,0.2281935984340143,0,3000,2,301,24.29147882731491,2.0,,d2-c1-n0.01-m1
-0.0041216200406906,-0.0036470844416463,0.0089087058345607,-7.045316035054484,-6.365293979644775,-0.0,0.0159132723699324,3.0,0.1830789609844722,0.0643711035134307,0.2027566889694894,0,3000,2,302,2.435305785100224,2.0,,d2-c1-n0.01-m2
-0.0021074585860111,-0.0021722388390247,-0.003516203883153,-7.039522383198947,-6.453521251678467,-0.0,0.0028323559385906,3.0,0.1839252819250005,0.0670081902761758,0.2048044938133758,0,3000,2,303,-1.704752151195842,2.0,,d2-c1-n0.01-m3
-0.0054742340655121,-0.0139277068012657,0.0027635525938726,-7.008758291087454,-6.436530590057373,-0.0,0.0176043126936314,3.0,0.1809052932289258,0.0598180652910443,0.2088804553561759,0,3000,2,304,-10.811957593661983,2.0,,d2-c1-n0.01-m4
-0.0159539769352019,-0.0246895115767116,0.0168234906774284,-6.852467734746728,-6.28605842590332,-0.0,0.0636620053236904,3.0,0.1886301490189428,0.080110375802999,0.2274739576108846,0,3000,2,305,17.833593420006732,2.0,,d2-c1-n0.01-m5
-0.0059670270224795,-0.0116153004229266,0.0006708371047911,-7.096226456113914,-6.361011981964111,-0.0,-0.043936819541881,3.0,0.1791945677060444,0.0557885308530018,0.2129501532087942,0,3000,2,306,-8.964351133510938,2.0,,d2-c1-n0.01-m6
-0.0238961825237102,-0.0440462252312411,0.008930194394695,-7.036422490299346,-6.4304962158203125,-0.0,-0.0072688508055443,3.0,0.1906108623198848,0.0617671856423796,0.219835525807896,0,3000,2,307,-4.119639039475162,2.0,,d2-c1-n0.01-m7
-0.0113522057383263,-0.020458539906863,0.0110410431034336,-7.040364504092582,-6.441671371459961,-0.0,-0.007233663235929,3.0,0.197529785307174,0.079400663444723,0.2124160427710671,0,3000,2,308,-4.802158035650685,2.0,,d2-c1-n0.01-m8
-0.0166134885522054,-0.0308487240606228,-0.0023541094629821,-7.202061077387099,-6.567326068878174,-0.0,-0.0277326514575903,3.0,0.2027622743401908,0.0721691374683272,0.2220344920171959,0,3000,2,309,-8.930072585381469,2.0,,d2-c1-n0.01-m9
-0.0079608430085259,-0.0077045288100861,0.0065623244100258,-7.052755209990295,-6.599323272705078,-0.0,0.0239208058790974,3.0,0.1886048236664741,0.0505059182414458,0.1943519253538733,0,3000,2,310,-13.010242390174652,2.0,,d2-c1-n0.01-m10
-0.0014250114608139,-0.0018071102460546,-0.0029973600453905,-6.928549485203708,-6.41734504699707,-0.0,0.003485707389594,3.0,0.1820891241693797,0.0594043578570864,0.2185554830975153,0,3000,2,311,6.656586154585676,2.0,,d2-c1-n0.01-m11
