kind_ok,m,rate_deform,rate_channel,static_score,ks,delocal_r,kind,dim,seed,rq,point
1.0,40,0.0,0.0,0.0,-111.5462967308825,,necklace,3,0,0.033,281
1.0,40,0.0,0.0,0.0,-98.87541271215034,,necklace,3,0,0.033,1091
1.0,40,6.620164017837975e-05,-1.070700191618812e-06,-0.0038014609339518373,-62.08550438615729,0.07868257486438149,necklace,3,0,0.033,773
1.0,40,0.0,0.0,0.0,-43.004832492773005,,necklace,3,0,0.033,58
1.0,40,1.4052559161848948e-05,-2.483095062899565e-08,-0.0005368411214510717,-30.70483357309919,0.06865018395959457,necklace,3,0,0.033,691
1.0,40,1.6875501398537297e-05,7.590405168104534e-07,-0.0002324152255314127,-15.012228157171593,0.09320347828471466,necklace,3,0,0.033,342
1.0,40,3.5173850517534876e-05,-8.04310373858641e-08,-0.0033138755536111157,-6.5402548612096,-0.14472674160696128,necklace,3,0,0.033,1171
1.0,40,0.0,0.0,0.0,0.15042779271323647,,necklace,3,0,0.033,273
1.0,40,1.1171474084994186e-05,2.1395477981892934e-11,0.0011621167082177405,6.0569930097032945,0.0291692365288005,necklace,3,0,0.033,491
1.0,40,1.8805382523941952e-05,-4.008967010212435e-08,0.00028036272123066995,11.364988476916778,-0.11309569395824282,necklace,3,0,0.033,626
1.0,40,0.0,0.0,0.0,14.689818090935855,,necklace,3,0,0.033,1072
1.0,40,0.0,0.0,0.0,17.799507480250732,,necklace,3,0,0.033,385
1.0,40,0.0,0.0,0.0,19.76694501422421,,necklace,3,0,0.033,228
1.0,40,0.0,0.0,0.0,22.22512372341265,,necklace,3,0,0.033,1119
1.0,40,6.285698397537652e-05,1.0570672233830199e-07,-0.0007930758477771707,24.411933528654323,0.019361336338375588,necklace,3,0,0.033,936
1.0,40,1.9263767608015875e-05,-2.894745243509078e-08,-0.001670649710663299,26.91632392646017,0.0346153700472798,necklace,3,0,0.033,246
1.0,40,1.68446624898011e-05,-1.0835882842859708e-07,-0.0009647450825249825,29.0424639181102,0.07084048367890278,necklace,3,0,0.033,271
1.0,40,-0.0016639032695643207,-1.614514606451678e-06,-0.00046211523164899694,30.561787750446936,-0.10315668458506955,necklace,3,0,0.033,12
1.0,40,2.0271748870681954e-05,2.1897640397246695e-07,-0.0005786190841093596,32.14693386328595,-0.01833381736397084,necklace,3,0,0.033,463
1.0,40,0.0,0.0,0.0,33.61004935235025,,necklace,3,0,0.033,664
1.0,40,0.0,0.0,0.0,34.927219403317814,,necklace,3,0,0.033,649
1.0,40,-0.00019057394161425822,-3.413789393391653e-07,0.0004920450256512488,36.15492285309677,0.00347168260443838,necklace,3,0,0.033,997
1.0,40,2.318097844110819e-05,8.445974527167739e-08,0.0015432935441575366,37.10388573639734,-0.16395414115235,necklace,3,0,0.033,31
