seed,kind,dim,kernel,t,band,norm,score,ks
0,torus,2,adaptive_k10,2,0.5,spread2,0.04131024985217428,0.0
0,torus,2,adaptive_k10,2,0.5,spread2,-0.06013321129202073,0.0
0,torus,2,adaptive_k10,2,0.5,spread2,-0.02650234751539944,0.0
0,torus,2,adaptive_k10,2,0.5,spread2,0.051635424158894494,0.0
0,torus,2,adaptive_k10,2,0.5,spread2,0.03995120267975563,0.0
0,torus,2,adaptive_k10,2,0.5,spread2,-0.02425222496400223,0.0
0,torus,2,adaptive_k10,2,0.5,spread2,0.028472557421585443,0.0
0,torus,2,adaptive_k10,2,0.5,spread2,0.018418070709710462,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.10321728522837749,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.00010420146845731629,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.07851339047018299,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.19843359755623763,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.1744374589188693,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.04942040904590112,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.007650710081761423,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.17267657558918265,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.0705227227929715,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.09999059266250013,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.1413857771641322,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.03226467129059432,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,-0.13451607674488417,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,-0.07738485233566716,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.2685111157499089,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.028512776680020478,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,-0.16983197455298268,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.06441969387705435,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.009801448969517297,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.22055759765474303,0.0
0,torus,2,adaptive_k10,2,0.5,dij2,0.015793714740914674,0.0
