v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,ks,kind,dim,seed,branch,estimator
-0.027546762412932736,-0.04167000539498456,-0.008403742388554286,-7.114077364466992,-5.280572891235352,-0.6875,0.16567487528508915,3.0,0.23592826552154073,0.18507836468759306,0.4419046721419412,208,1400,3,-22.548062598221478,dumbbell,3,0,A,oracle
-0.03657327738591043,-0.040708666530689955,-0.006118539223669367,-7.11520131876944,-5.334700584411621,-0.875,0.019054374935074517,3.0,0.2657119221918317,0.2155148807528407,0.46374632296798135,362,1400,3,-19.225024550522377,dumbbell,3,0,A,oracle
-0.01040637458263185,-0.0206935166829132,0.012703386749063439,-7.112790097501327,-5.367813587188721,-0.5,0.07814788230359741,3.0,0.26308080726561084,0.22694961757348397,0.44578744472375637,1088,1400,3,-11.762262800203482,dumbbell,3,0,A,oracle
-0.0033535781155889545,-0.0032884970687937095,-0.008670611972061934,-7.113483905869281,-5.351326942443848,-0.25,0.1693915661299643,3.0,0.25799375680162406,0.21609147867757114,0.4546766573878508,915,1400,3,-3.5550526795521264,dumbbell,3,0,A,oracle
0.011714035106877822,0.013836608933129654,0.010833730987629178,-7.112188287673771,-5.421329975128174,-0.4375,0.2674572034095441,3.0,0.24854674530353507,0.21919190328651603,0.4661943109426211,361,1400,3,2.5102588071524714,dumbbell,3,0,A,oracle
0.024009837153758054,0.036168958356573355,0.015703119743723418,-7.042324273314345,-5.117430686950684,-0.0,0.5553363287581039,3.0,0.23995728857567913,0.19515186714386687,0.49634044014293727,405,1400,3,6.159382675542515,dumbbell,3,0,A,oracle
0.02679736742780405,0.04392281001385917,-0.0024033438566164276,-7.027155191830007,-4.901342391967773,-0.0,0.5406710629813308,3.0,0.21779012715227253,0.18650110098687683,0.5013465074891073,919,1400,3,6.605360713324066,dumbbell,3,0,A,oracle
0.0192967889649784,0.02173746228163641,0.01649712555340431,-7.097465662022881,-5.233292579650879,-0.1875,-0.0941722174137257,3.0,0.2405252061380725,0.19481409595930996,0.4663288181435883,1107,1400,3,7.3857094587224115,dumbbell,3,0,A,oracle
0.03440348631238589,0.053338626946840155,0.026442424176633273,-7.037190998217395,-5.125698566436768,-0.0,0.5037889791911259,3.0,0.24549994445430096,0.1986605863453308,0.4849045082115301,661,1400,3,8.355744883799076,dumbbell,3,0,A,oracle
0.032559108702343444,0.0572755572999659,0.016495961952059077,-7.02979734059006,-4.831881523132324,-0.0,0.4703447996543586,3.0,0.2193044569818596,0.20415661612458288,0.5191282848423763,397,1400,3,9.178669145217661,dumbbell,3,0,A,oracle
0.03772342522633878,0.058077899503261164,0.029255584765837728,-7.050952802828938,-5.043299198150635,-0.0,0.4095205256444261,3.0,0.2310411565547225,0.2148500770791917,0.48975615362005104,460,1400,3,10.291751725325792,dumbbell,3,0,A,oracle
0.04209842080867334,0.06656652021204364,0.032237071270129994,-7.041418913375043,-4.88270378112793,-0.0,0.534789350928091,3.0,0.22566501811451148,0.22294886780549047,0.5096740136034138,964,1400,3,11.41168825762969,dumbbell,3,0,A,oracle
0.04502567110886188,0.06543169398692666,0.023961229687838266,-7.046605364352323,-4.927083969116211,-0.0,0.41575273391934175,3.0,0.2250237505104668,0.19799096094823757,0.4984254996219297,319,1400,3,12.373259461365768,dumbbell,3,0,A,oracle
0.04838054964384009,0.06783941768385249,0.005971081886239371,-7.040073301172982,-4.772706508636475,-0.0,0.4552676562020233,3.0,0.23520065463708137,0.20833926679920817,0.5258493374349574,1323,1400,3,13.292811739534624,dumbbell,3,0,A,oracle
0.051643675782010276,0.07197454391871935,0.01347509972147078,-7.030337648218584,-4.554138660430908,-0.0,0.3935870341280142,3.0,0.18131211752399812,0.1839879233984377,0.5222144528411469,185,1400,3,14.409416562572522,dumbbell,3,0,A,oracle
