kind_ok,m,rate_deform,rate_channel,static_score,ks,delocal_r,kind,dim,seed,point,config
1.0,60,6.785895116096745e-05,-1.9939826909620706e-06,-0.002804012754181622,-160.10429511978828,0.09658723390763312,dumbbell,3,0,208,fixed
1.0,60,-0.0008272867819802151,-1.1333672560454033e-06,0.00021915750835086508,-29.362825413504506,-0.10243022326726191,dumbbell,3,0,34,fixed
1.0,60,-3.791968890194807e-05,-6.516572614856386e-08,-0.0010399477603463762,9.197538770072825,-0.04955090580465974,dumbbell,3,0,405,fixed
1.0,60,4.8293121788009385e-05,1.9098281178742127e-08,-0.0041125943292907065,10.243891183766236,0.02913071952336357,dumbbell,3,0,122,fixed
1.0,60,7.050704083001458e-05,-1.0358809635846455e-05,-0.006425921096320685,12.375272187789937,-0.04702529341220796,dumbbell,3,0,117,fixed
1.0,60,-0.002162066869895387,-1.8210610468472055e-06,-0.001170172911934318,14.12947889454825,-0.0017323575686905516,dumbbell,3,0,247,fixed
1.0,60,1.8784569802599017e-05,-6.179255921760311e-09,0.008542326505767785,16.735714103232734,0.083356993606084,dumbbell,3,0,126,fixed
1.0,60,1.7523703153636087e-05,4.3287026111708354e-07,-0.0012179178117663588,19.75217324659504,-0.07487447107385897,dumbbell,3,0,556,fixed
1.0,60,0.00014071238784929552,-2.2794160402147177e-06,-0.007958826139119548,23.27071823212807,0.12915837317976897,dumbbell,3,0,249,fixed
1.0,60,7.588165566501599e-05,-8.528036691638855e-07,0.00046697965143312333,25.709824105017237,-0.052996821973004545,dumbbell,3,0,240,fixed
1.0,60,5.4822508314374585e-05,-5.055479777027472e-07,-6.957728766382671e-05,28.012579506491434,0.0007838444340264457,dumbbell,3,0,331,fixed
1.0,60,3.226616164380453e-05,-9.528094192153466e-07,-0.004276110845629871,31.912286599252806,0.006943398935209967,dumbbell,3,0,421,fixed
1.0,60,3.424748178932408e-05,-8.004601298831441e-07,-0.002954946653944286,34.55334839903517,0.02425676592771874,dumbbell,3,0,594,fixed
1.0,60,4.890940870994065e-05,-1.988733003462547e-07,-0.0005596762531862408,37.29483087924564,0.013755302093387854,dumbbell,3,0,406,fixed
1.0,60,2.8954745065938132e-05,-1.9027764303440147e-06,0.00021162724165002902,39.55859474648469,0.08432055909720912,dumbbell,3,0,575,fixed
1.0,60,2.136431986180068e-05,-6.762614418083975e-07,0.0013314220150251756,41.33876269171305,0.01044451483178541,dumbbell,3,0,273,fixed
1.0,60,3.4859494653275385e-05,-4.276562511525602e-07,0.003347379872434619,43.698698977999285,0.08954044456177221,dumbbell,3,0,477,fixed
1.0,60,-0.0011187229491604446,3.1585625581698196e-07,-0.002202270794474938,44.69126994842631,-0.18408103693500802,dumbbell,3,0,290,fixed
1.0,60,9.108437653782923e-05,-4.294267781664492e-06,-0.003343442003236224,45.71916573464005,0.0026105499565767503,dumbbell,3,0,76,fixed
1.0,60,3.75043797344136e-05,-2.2360368371702557e-09,0.001989224424166468,46.17515800775223,0.1291581958545005,dumbbell,3,0,463,fixed
1.0,60,-0.0005710475934992516,2.1065073475175686e-06,-7.502086268249691e-05,-112.78427742774431,-0.054527166504785285,necklace,3,0,281,fixed
1.0,60,0.00014663466110137097,6.946559150122766e-07,-0.007397065881934714,-48.68426136268561,0.07799131417971475,necklace,3,0,101,fixed
1.0,60,-9.907059084071325e-05,9.310884803899928e-08,-0.008362307324936848,-24.5344207188567,0.07409746976451406,necklace,3,0,544,fixed
1.0,60,7.536441376031859e-05,-1.3195081294270494e-07,-0.005427831639032675,-2.148666381251376,0.04030692918845845,necklace,3,0,286,fixed
1.0,60,3.9949835710348126e-05,-1.0029880040581436e-06,0.0013345315480768546,8.295401632253352,-0.006939628885744284,necklace,3,0,381,fixed
1.0,60,0.00011807256946934816,1.1246714552252494e-07,0.004455146759109938,16.54340746841856,0.04898300513390748,necklace,3,0,389,fixed
1.0,60,4.693653412402591e-05,1.5526169061530481e-07,0.0005584617192156403,20.81479235635595,0.048294017332457105,necklace,3,0,426,fixed
1.0,60,2.5240852107083755e-05,-1.7754844853593946e-07,0.00010753241292757779,26.848792870746514,-0.1583176886435031,necklace,3,0,276,fixed
1.0,60,9.331141075967859e-05,-3.4971510428268476e-07,0.003350623416669523,31.277990195987552,-0.038339550126014164,necklace,3,0,182,fixed
1.0,60,7.799337439341592e-05,7.889083638209134e-08,0.0008665795751431318,34.683775607981055,0.004425580667050905,necklace,3,0,216,fixed
1.0,60,2.88920148389228e-05,-3.201222815718552e-07,-0.005146601450244594,37.30895463433318,0.029357771171366488,necklace,3,0,457,fixed
1.0,60,2.4554344913885195e-05,1.9419534247333559e-07,-0.007446762064824478,38.80184589267454,0.03339791617730691,necklace,3,0,245,fixed
1.0,60,7.268271628991919e-05,7.556553104729838e-07,-0.0005331364546793664,40.871449722209256,-0.013572648738401732,necklace,3,0,257,fixed
1.0,60,8.818739185053234e-05,-1.1614636905576958e-06,0.0014774129336189781,41.903494058202185,0.021066797656860727,necklace,3,0,481,fixed
1.0,60,6.0505004276372446e-05,-1.5403087454401998e-06,-0.0032583714562785904,42.51002537236791,0.021371293064835515,necklace,3,0,223,fixed
1.0,60,9.074630877309307e-05,-3.1094231189854327e-08,0.003906536199377546,43.43894165612178,0.061273207422205246,necklace,3,0,486,fixed
1.0,60,0.0001685800490805652,-8.107583863529536e-07,0.0032516262475298253,44.47383542112683,-0.05291042519544141,necklace,3,0,302,fixed
1.0,60,8.698436850185905e-05,-3.466716868535021e-06,-0.0012133144851410181,45.057360846430925,0.06032342394877025,necklace,3,0,283,fixed
1.0,60,4.4773502315548226e-05,-2.2417059467964387e-07,0.0006351226669510151,45.27139521170923,0.10162103488436344,necklace,3,0,523,fixed
1.0,60,4.190398375933194e-05,-7.919367422578224e-07,-0.001675871764487745,45.37360579126246,0.010156653823101382,necklace,3,0,208,fixed
1.0,60,-0.0008450956082590474,-2.4462105860934003e-06,0.0009021485511127793,0.0,0.009462393884908825,torus,3,0,446,fixed
1.0,60,-0.0019658668799611093,-1.898358244822873e-06,-0.0035501571083508396,0.0,-0.17406391572318808,torus,3,0,439,fixed
1.0,60,0.0001087026307884404,-1.8079531015994614e-06,0.006451629462563588,0.0,-0.04189206636586662,torus,3,0,96,fixed
1.0,60,4.923798163703592e-05,-1.4583004025089015e-06,0.0030447393781993168,0.0,-0.048588934137094,torus,3,0,274,fixed
1.0,60,3.0129870681361975e-05,2.5252479189200966e-07,-0.006088163626999643,0.0,0.05860777131037842,torus,3,0,486,fixed
1.0,60,-0.0004447317570680408,-4.641948742426886e-07,-0.01141752665577979,0.0,-0.025030737061082352,torus,3,0,151,fixed
1.0,60,3.2964620775171533e-05,-6.910735684447408e-07,-0.004758390425793833,0.0,-0.03781857623537953,torus,3,0,312,fixed
1.0,60,2.0266512174181276e-05,-3.4455077605836476e-07,-0.004758250276609916,0.0,-0.08301197949518499,torus,3,0,44,fixed
1.0,60,0.00017376322779925438,-9.998427540717596e-07,-0.001039586425234005,0.0,0.032775520003015826,torus,3,0,124,fixed
1.0,60,1.1849195282142299e-05,-1.4665125706396034e-07,-0.002659680295879212,0.0,0.040311879339030014,torus,3,0,596,fixed
1.0,60,7.920782345408303e-05,1.8404256489172138e-08,0.0018765677650551052,0.0,0.017727827498385886,torus,3,0,7,fixed
1.0,60,1.488877178737721e-05,-5.927817626390682e-07,0.0010741949207713538,0.0,-0.11658530171240444,torus,3,0,38,fixed
1.0,60,0.00010360218918785875,-9.467309534845943e-07,-0.005631159664050919,0.0,0.1306810331525437,torus,3,0,483,fixed
1.0,60,6.577443158959204e-05,-1.3179657723701628e-06,-0.000716046207684526,0.0,0.05328305414401813,torus,3,0,482,fixed
1.0,60,9.690696803383775e-05,5.505299297918024e-08,-0.0028795288122448314,0.0,-0.13805526983386762,torus,3,0,352,fixed
1.0,60,3.146598896264538e-05,-1.9083671472704586e-07,0.0005654674590958716,0.0,0.03869938419394281,torus,3,0,412,fixed
1.0,60,-0.0005198096381744177,-1.515788809728728e-06,0.003119621895489407,0.0,0.0921798053307468,torus,3,0,539,fixed
1.0,60,-0.0007109536011385641,2.1896758598908642e-07,0.0018569552527698844,0.0,-0.10818170566743035,torus,3,0,452,fixed
1.0,60,3.340483537459393e-05,-2.2695201925178784e-07,-0.00936961784404779,0.0,0.06871677893605459,torus,3,0,336,fixed
1.0,60,4.912824402136013e-05,1.71545458726996e-07,-0.005055211028436158,0.0,-0.08375253331661715,torus,3,0,210,fixed
1.0,60,0.00011931560758685464,-3.3981745130399568e-06,-0.002804012754181622,-160.10429511978828,0.06756668463916324,dumbbell,3,0,208,recompute
1.0,60,-0.0008036730538118076,-1.6044716861784991e-06,0.00021915750835086508,-29.362825413504506,-0.12237921732726982,dumbbell,3,0,34,recompute
1.0,60,-0.0006939436861601116,8.021259567669858e-07,-0.0010399477603463762,9.197538770072825,-0.15139140482450406,dumbbell,3,0,405,recompute
1.0,60,0.00014764823746682833,-3.4651132481873975e-07,-0.0041125943292907065,10.243891183766236,0.023918513298215267,dumbbell,3,0,122,recompute
1.0,60,0.00015631873109720845,-9.655674452583677e-06,-0.006425921096320685,12.375272187789937,-0.06328878094029926,dumbbell,3,0,117,recompute
1.0,60,-0.0011100052356558994,-2.876729319349162e-06,-0.001170172911934318,14.12947889454825,-0.040151793868720816,dumbbell,3,0,247,recompute
1.0,60,2.2082000087819688e-05,-7.014812138568989e-08,0.008542326505767785,16.735714103232734,0.08321608384966654,dumbbell,3,0,126,recompute
1.0,60,0.00010038992990440604,-1.24660719968972e-07,-0.0012179178117663588,19.75217324659504,-0.0837750392832429,dumbbell,3,0,556,recompute
1.0,60,0.0003510130286645152,-3.9216905953765036e-06,-0.007958826139119548,23.27071823212807,0.09531759310806331,dumbbell,3,0,249,recompute
1.0,60,8.78892941884146e-05,-5.194122841463885e-07,0.00046697965143312333,25.709824105017237,-0.05532331119420128,dumbbell,3,0,240,recompute
1.0,60,0.0001515851458182708,-1.007183621837271e-06,-6.957728766382671e-05,28.012579506491434,-0.025647120824481014,dumbbell,3,0,331,recompute
1.0,60,7.008717452664864e-06,4.4218891629791795e-07,-0.004276110845629871,31.912286599252806,-0.011366233802953934,dumbbell,3,0,421,recompute
1.0,60,6.560784935520185e-05,-1.1673825346392164e-06,-0.002954946653944286,34.55334839903517,0.013643514510759383,dumbbell,3,0,594,recompute
1.0,60,0.00023548234924770567,-3.4114715378545196e-07,-0.0005596762531862408,37.29483087924564,-0.009662725747412382,dumbbell,3,0,406,recompute
1.0,60,3.615283961613258e-05,-1.621552374153623e-06,0.00021162724165002902,39.55859474648469,0.0849181460401441,dumbbell,3,0,575,recompute
1.0,60,4.1270432052495265e-05,-6.357792677510096e-07,0.0013314220150251756,41.33876269171305,0.0024455271773835044,dumbbell,3,0,273,recompute
1.0,60,7.836124054695482e-05,-2.722555185741271e-07,0.003347379872434619,43.698698977999285,0.08230865448186166,dumbbell,3,0,477,recompute
1.0,60,-0.0010020501980005478,1.3279451109108702e-06,-0.002202270794474938,44.69126994842631,-0.18886786096443026,dumbbell,3,0,290,recompute
1.0,60,0.00023337775863173832,-2.9729513656799136e-06,-0.003343442003236224,45.71916573464005,-0.010030258975540274,dumbbell,3,0,76,recompute
1.0,60,5.2775007389653466e-05,3.324810927315032e-07,0.001989224424166468,46.17515800775223,0.14025754544407645,dumbbell,3,0,463,recompute
1.0,60,-0.00047861181672289574,-2.5566414022885436e-07,-7.502086268249691e-05,-112.78427742774431,-0.06965207698983242,necklace,3,0,281,recompute
1.0,60,0.0006222423367285401,-7.540179772410246e-07,-0.007397065881934714,-48.68426136268561,0.03345437677952319,necklace,3,0,101,recompute
1.0,60,-2.6448788189538215e-05,2.7641248697326166e-08,-0.008362307324936848,-24.5344207188567,0.048245831476577,necklace,3,0,544,recompute
1.0,60,0.000309529587741116,-7.085252293019076e-07,-0.005427831639032675,-2.148666381251376,0.011552356572345941,necklace,3,0,286,recompute
1.0,60,3.0101624489246056e-05,-1.0561681150396869e-06,0.0013345315480768546,8.295401632253352,-0.013241247172423611,necklace,3,0,381,recompute
1.0,60,0.00025838887295357436,-1.4890822678618557e-07,0.004455146759109938,16.54340746841856,0.03148749724177871,necklace,3,0,389,recompute
1.0,60,0.00010042907417428227,-2.372242559426733e-07,0.0005584617192156403,20.81479235635595,0.04287645748967713,necklace,3,0,426,recompute
1.0,60,0.00010903100569270575,-2.77282534118702e-07,0.00010753241292757779,26.848792870746514,-0.2058671363882219,necklace,3,0,276,recompute
1.0,60,0.0004455212118312873,-5.451626912863124e-07,0.003350623416669523,31.277990195987552,-0.051179999741963654,necklace,3,0,182,recompute
1.0,60,0.00015893104674586853,1.5417348434946612e-07,0.0008665795751431318,34.683775607981055,0.00525264524727835,necklace,3,0,216,recompute
1.0,60,3.310721651475192e-05,-1.90780795309801e-07,-0.005146601450244594,37.30895463433318,0.027373628488913674,necklace,3,0,457,recompute
1.0,60,7.942551137455714e-05,-1.0945892112701472e-06,-0.007446762064824478,38.80184589267454,0.014468397304701628,necklace,3,0,245,recompute
1.0,60,8.953244101885229e-05,-5.970817079277898e-07,-0.0005331364546793664,40.871449722209256,-0.03393840195840957,necklace,3,0,257,recompute
1.0,60,0.00025420257692178414,-1.3243054818682747e-06,0.0014774129336189781,41.903494058202185,-0.013209800119571598,necklace,3,0,481,recompute
1.0,60,0.00010275203230237683,-2.1467546463445806e-06,-0.0032583714562785904,42.51002537236791,0.013720323869874294,necklace,3,0,223,recompute
1.0,60,0.000179902728419686,-5.087434393757917e-07,0.003906536199377546,43.43894165612178,0.03936036320137632,necklace,3,0,486,recompute
1.0,60,0.0001126086765453523,-1.1066342574158246e-06,0.0032516262475298253,44.47383542112683,-0.0697448810852597,necklace,3,0,302,recompute
1.0,60,6.149950473025275e-05,-3.751218204802361e-06,-0.0012133144851410181,45.057360846430925,0.05041639507564825,necklace,3,0,283,recompute
1.0,60,7.30286022177414e-05,-2.4832589880692996e-07,0.0006351226669510151,45.27139521170923,0.10626812208534171,necklace,3,0,523,recompute
1.0,60,5.4131622597612206e-05,-9.544727982794636e-07,-0.001675871764487745,45.37360579126246,0.004086580195748841,necklace,3,0,208,recompute
1.0,60,-0.0006591704640972802,-3.240678199567526e-06,0.0009021485511127793,0.0,-0.006244481684829301,torus,3,0,446,recompute
1.0,60,-0.0018528294703719786,-2.884210232719416e-06,-0.0035501571083508396,0.0,-0.22086535989311026,torus,3,0,439,recompute
1.0,60,0.00024613100529175116,-1.1811787633912256e-06,0.006451629462563588,0.0,-0.05899350185908415,torus,3,0,96,recompute
1.0,60,7.805090197681098e-05,-1.3838086706149018e-06,0.0030447393781993168,0.0,-0.09358100468636162,torus,3,0,274,recompute
1.0,60,0.0001407548056800787,1.1562921050275084e-07,-0.006088163626999643,0.0,0.040049306988292246,torus,3,0,486,recompute
1.0,60,-0.00023511981524856304,1.1664688557289082e-06,-0.01141752665577979,0.0,-0.03790259511034653,torus,3,0,151,recompute
1.0,60,1.7534072148618475e-05,-5.095961140474022e-07,-0.004758390425793833,0.0,-0.07633622009023046,torus,3,0,312,recompute
1.0,60,1.9004223787475997e-05,1.4431336214926205e-07,-0.004758250276609916,0.0,-0.09568890554574185,torus,3,0,44,recompute
1.0,60,0.0002993488775424109,-3.605311335401022e-07,-0.001039586425234005,0.0,-0.008984610036500477,torus,3,0,124,recompute
