config,kind,dim,noise,field_r,balsign,flatnull_med,flatnull_iqr
cak_n4|t2|b2.0|raw,necklace,6,0.0,-0.29974014597641024,0.4861111111111111,,
cak_n4|t2|b2.0|raw,necklace,6,0.05,-0.303069996412765,0.4791666666666667,,
cak_n4|t2|b2.0|raw,necklace,6,0.15,-0.2533636347468198,0.6388888888888888,,
cak_n4|t2|b2.0|raw,torus,3,0.0,,,0.009526287326335064,0.019070962079859304
cak_n4|t2|b2.0|raw,torus,3,0.05,,,0.012265907405407579,0.01902643788505002
cak_n4|t2|b2.0|raw,torus,3,0.15,,,0.034280930292394,0.03288196060405127
cak_n4|t2|b2.0|raw,torus,4,0.0,,,0.008238360826849799,0.017372244775008094
cak_n4|t2|b2.0|raw,torus,4,0.05,,,0.009215678096690131,0.014709785836296544
cak_n4|t2|b2.0|raw,torus,4,0.15,,,0.028203206941986303,0.023083273719578076
cak_n4|t2|b2.0|raw,torus,5,0.0,,,0.006814487939482509,0.013961911440005775
cak_n4|t2|b2.0|raw,torus,5,0.05,,,0.00766132835205357,0.014831718658366997
cak_n4|t2|b2.0|raw,torus,5,0.15,,,0.023769263780853096,0.024873099985457166
cak_n4|t2|b2.0|raw,torus,6,0.0,,,0.0048661045998235584,0.009573808849100782
cak_n4|t2|b2.0|raw,torus,6,0.05,,,0.004903097242044915,0.010141239957195361
cak_n4|t2|b2.0|raw,torus,6,0.15,,,0.02404129428668433,0.017726447002526208
cak_n4|t4|b1.0|raw,dumbbell,3,0.0,0.7913957885972916,0.8963963963963963,,
cak_n4|t4|b1.0|raw,dumbbell,3,0.05,0.786674773227934,0.9099099099099099,,
cak_n4|t4|b1.0|raw,dumbbell,3,0.15,0.7403137267854377,0.972972972972973,,
cak_n4|t4|b1.0|raw,dumbbell,4,0.0,0.6947971929121219,0.868421052631579,,
cak_n4|t4|b1.0|raw,dumbbell,4,0.05,0.7518353219212743,0.743421052631579,,
cak_n4|t4|b1.0|raw,dumbbell,4,0.15,0.7753889960089295,0.8552631578947368,,
cak_n4|t4|b1.0|raw,dumbbell,5,0.0,0.46605392071646917,0.625,,
cak_n4|t4|b1.0|raw,dumbbell,5,0.05,0.4695131130042503,0.625,,
cak_n4|t4|b1.0|raw,dumbbell,5,0.15,0.3992841797469203,0.7236842105263157,,
cak_n4|t4|b1.0|raw,dumbbell,6,0.0,0.4704753373895474,0.75,,
cak_n4|t4|b1.0|raw,dumbbell,6,0.05,0.40323937841088425,0.75,,
cak_n4|t4|b1.0|raw,dumbbell,6,0.15,0.37652126398217384,0.967948717948718,,
cak_n4|t4|b1.0|raw,necklace,3,0.0,0.8637987506029657,0.8,,
cak_n4|t4|b1.0|raw,necklace,3,0.05,0.88027528629336,0.7923076923076924,,
cak_n4|t4|b1.0|raw,necklace,3,0.15,0.8696167132981287,0.9333333333333333,,
cak_n4|t4|b1.0|raw,necklace,4,0.0,0.7007909399460386,0.5909090909090909,,
cak_n4|t4|b1.0|raw,necklace,4,0.05,0.7121978976600758,0.5909090909090909,,
cak_n4|t4|b1.0|raw,necklace,4,0.15,0.7037771081542522,0.6745718050065876,,
cak_n4|t4|b1.0|raw,necklace,5,0.0,-0.11278256822766929,0.5357142857142857,,
cak_n4|t4|b1.0|raw,necklace,5,0.05,-0.14251998058681964,0.5857142857142857,,
cak_n4|t4|b1.0|raw,necklace,5,0.15,-0.1536716700139079,0.6285714285714286,,
cak_n4|t4|b1.0|raw,necklace,6,0.0,-0.3640862014593132,0.4861111111111111,,
cak_n4|t4|b1.0|raw,necklace,6,0.05,-0.3358604101536317,0.4861111111111111,,
cak_n4|t4|b1.0|raw,necklace,6,0.15,-0.4064462791574533,0.5694444444444444,,
cak_n4|t4|b1.0|raw,torus,3,0.0,,,0.010749377377792586,0.02218587792701903
cak_n4|t4|b1.0|raw,torus,3,0.05,,,0.009864885877926876,0.01917107553045607
cak_n4|t4|b1.0|raw,torus,3,0.15,,,0.013071994806987161,0.022240948492345917
cak_n4|t4|b1.0|raw,torus,4,0.0,,,0.010534523381577373,0.02345389434356556
cak_n4|t4|b1.0|raw,torus,4,0.05,,,0.011200449920790917,0.02073152809930745
cak_n4|t4|b1.0|raw,torus,4,0.15,,,0.014476577428365948,0.022460304624714496
cak_n4|t4|b1.0|raw,torus,5,0.0,,,0.010645853097915528,0.020881979952925577
cak_n4|t4|b1.0|raw,torus,5,0.05,,,0.011363976894755346,0.02176711218547547
cak_n4|t4|b1.0|raw,torus,5,0.15,,,0.021389036217005934,0.029651103314882077
cak_n4|t4|b1.0|raw,torus,6,0.0,,,0.007635154939647935,0.014303542674446957
cak_n4|t4|b1.0|raw,torus,6,0.05,,,0.00791371062784999,0.015182476417568216
cak_n4|t4|b1.0|raw,torus,6,0.15,,,0.03180253799021568,0.024175913722667638
