readout,dest,m,pool,p,value,ks,kind,dim,seed,dist
resid,true,30,single,817,0.0008129799962866178,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,817,0.0025262149497540178,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,817,0.0008317008945366094,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,817,-0.0003523809071052459,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,817,-0.001091020697772265,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,817,2.9758006464392797e-06,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,886,0.0015827135597339392,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,886,0.004389754168138281,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,886,0.0011319175975040294,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,886,0.0015827135597339392,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,886,0.004389754168138281,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,886,0.0011319175975040294,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,605,0.0018137093536010115,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,605,0.004543312691733687,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,605,0.0016482354933631174,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,605,0.0018137093536010115,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,605,0.004543312691733687,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,605,0.0016482354933631174,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,1060,0.0031427251053215838,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,1060,0.005585636321787677,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,1060,0.0024729947573556457,-8.956077783870782,hyperbolic,2,0,exact
