kind,dim,noise,r_integ,sign_integ,r_iso,r_v4_m60,sign_v4_m60,r_v4_m120,sign_v4_m120,r_v3_defect,sign_v3_defect,r_sent,sign_sent,r_ent_cak,sign_ent_cak,r_frac,sign_frac,r_kappa,sign_kappa,best_ch,r_best_single
dumbbell,3,0.0,0.9102243734977573,0.9864864864864865,0.7704436511676401,0.9789353157111795,0.9864864864864865,0.9439766120151601,0.9797297297297297,0.6609341426467116,0.9031531531531531,0.6083332536203798,0.6666666666666666,0.7537665799921742,0.5067567567567568,0.828522163980205,0.8716216216216216,0.2937802124593212,0.7635135135135135,v4_m60,0.9789353157111795
dumbbell,3,0.15,0.9422469453392457,0.9797297297297297,0.8015536042600289,0.952402507821475,0.9932432432432432,0.9283822291946441,0.9864864864864865,0.45772941146027324,0.8513513513513513,0.5757227013297601,0.6666666666666666,0.763291249944877,0.5,0.8543579890376304,0.8716216216216216,0.22290006102665663,0.722972972972973,v4_m60,0.952402507821475
dumbbell,4,0.0,0.9113593451364991,0.986842105263158,0.8869828230777438,0.957925569117104,0.993421052631579,0.9269930659012373,0.875,0.8163752548971616,1.0,0.4734424891435817,0.625,0.7651678377052268,0.5,0.8193072363226303,0.5,0.2879892197712956,0.6710526315789473,v4_m60,0.957925569117104
dumbbell,4,0.15,0.8844701920583686,0.986842105263158,0.9038619805610789,0.9169273048960069,1.0,0.8883954093818639,0.736842105263158,0.6135065406954084,0.9539473684210527,0.43263706362897963,0.75,0.7724325399384118,0.5,0.7964245397853227,0.5,0.07342180254401405,0.7236842105263158,v4_m60,0.9169273048960069
dumbbell,5,0.0,0.9251423505928197,0.743421052631579,0.8548726616483782,0.9115420383530631,0.75,0.8660714544174751,0.75,0.5345345846662112,0.743421052631579,0.205228324493891,0.5,0.6716822410888583,0.5,0.8024268512555416,0.5,-0.03985828578546026,0.6118421052631579,v4_m60,0.9115420383530631
dumbbell,5,0.15,0.7288020939580196,0.986842105263158,0.8364036352873777,0.8892362036020629,0.75,0.8062643818438612,0.75,0.560283831640951,0.756578947368421,0.18625546168122456,0.625,0.6912928915817486,0.5,0.785784843210898,0.5,0.08145718849799072,0.5855263157894737,v4_m60,0.8892362036020629
dumbbell,6,0.0,0.8765462004430004,0.9871794871794872,0.8687662660151451,0.916454915609749,1.0,0.8514249671654038,0.75,0.3979531195215896,0.7371794871794872,0.13198556214489182,0.75,0.6508560782269106,0.5,0.8256063317287755,0.5,-0.0057811458910434,0.5705128205128205,v4_m60,0.916454915609749
dumbbell,6,0.15,0.5299367055932767,0.9807692307692308,0.8224415487764416,0.8214791869011985,0.75,0.787863477595825,1.0,0.3496021656629229,0.6666666666666666,0.1480223826457184,0.75,0.6463480428921585,0.5,0.8495508093982508,0.5,0.11003534088130357,0.5384615384615384,frac,0.8495508093982508
necklace,3,0.0,0.9100678726171609,0.9846153846153847,0.8399456285201582,0.9737102655081369,0.958974358974359,0.9637169801731658,0.9923076923076923,0.784229219835152,0.8512820512820513,0.9526728149535072,0.5333333333333333,0.895150031188285,0.5538461538461539,0.8622512017998513,0.9128205128205129,0.6282236369346883,0.676923076923077,v4_m60,0.9737102655081369
necklace,3,0.15,0.9343221530320891,0.9666666666666667,0.8770148038378464,0.9518685751411862,0.9,0.9645785309145632,0.9846153846153847,0.7402182493863139,0.8358974358974359,0.945195131144012,0.6,0.8987661116527605,0.5230769230769231,0.8440182755715832,0.9538461538461538,0.6089880210390439,0.7538461538461538,v4_m120,0.9645785309145632
necklace,4,0.0,0.9027440487577888,1.0,0.9237959249076443,0.9632754904496138,0.9545454545454546,0.9637639577114487,0.7272727272727273,0.6930557543249869,0.6818181818181819,0.8640493195175611,0.5,0.7495340964769606,0.5,0.6910505547982173,0.2727272727272727,0.3562590070321132,0.644927536231884,v4_m120,0.9637639577114487
necklace,4,0.15,0.8602554027851738,0.8636363636363636,0.8292067300402003,0.9329946312978072,0.8181818181818181,0.9466634949693276,0.7272727272727273,0.673277600958306,0.7766798418972332,0.8338526436810209,0.5,0.766208054265129,0.5,0.6666043408665363,0.18181818181818182,0.4611171778194936,0.6284584980237153,v4_m120,0.9466634949693276
necklace,5,0.0,0.3333736832642085,0.95,0.030950478324595444,-0.0487437587569278,0.6357142857142857,-0.06613851873759165,0.5857142857142857,0.1435974719678957,0.7214285714285714,0.29765464276920095,0.4857142857142857,0.06810024218349466,0.5,-0.5364910667139081,0.1,-0.17240271948810054,0.5,frac,-0.5364910667139081
necklace,5,0.15,0.33521625932856847,0.8857142857142857,0.02546826446279158,0.012979782489722001,0.5857142857142857,-0.06567058387313572,0.5857142857142857,0.1189300630806351,0.6499999999999999,0.2909617491106379,0.5357142857142857,0.09623334021239872,0.5,-0.5148491998849325,0.1,0.15681281153355298,0.5,frac,-0.5148491998849325
necklace,6,0.0,0.2644707653367626,0.9097222222222222,-0.293584960906866,-0.19568315163316644,0.5486111111111112,-0.2798001308990656,0.4861111111111111,-0.29974014597641024,0.4791666666666667,0.13006585375853894,0.4861111111111111,0.04586667760000002,0.5,,0.0,0.023324335865301027,0.5,v3_defect,-0.29974014597641024
necklace,6,0.15,0.27439951914417554,0.9097222222222222,-0.4668590071525666,-0.1594086411616387,0.4861111111111111,-0.2595255926257162,0.5486111111111112,-0.25348441585510967,0.5833333333333334,0.11559499355672435,0.4861111111111111,0.0375301436232542,0.5,,0.0,0.0016375458059365328,0.5,v4_m120,-0.2595255926257162
