kind,dim,noise,seed,ks,integ_sign,integ_mag,iso,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
dumbbell,3,0.0,0,-162.54995942432336,-0.49454688255252693,-3.295542064416094,-1.9180149740917305,-192364835.73350722,-282.9995932130022,-1.5716174734071946,-3.0049527428283764,-5.230734955879522,-56.376134837009694,-15.38203491682959
dumbbell,3,0.0,0,-74.95970203819603,-0.49449213632859335,-0.7901797948195828,-1.9180149740917305,-72927511.14701273,-119.17184570468821,-2.4082599832922313,4.103446204767251,-3.5776383314282887,-42.20831037535281,-18.900949912892163
dumbbell,3,0.0,0,-27.1880401803554,-0.48610554028776803,-0.2971344214010738,-1.9180149740917305,-29720177.23802026,-55.80652859707772,-2.182285348515618,11.013957960599859,-2.879050381582301,-28.040485913695925,-7.275541126272522
dumbbell,3,0.0,0,6.24938970303236,-0.48318960519376974,-0.1774515084152901,-1.9180149740917305,-19987466.36444344,-40.896902059379606,1.740891378290692,12.79054939335377,-2.86671072571288,-17.41461756745326,-12.199385840222876
dumbbell,3,0.0,0,9.357205730340135,0.4952228620735196,0.26839148283987696,0.022765043589042522,19467784.750938516,32.457835180297025,2.8860895667419686,37.05128674808183,-1.216617518734619,0.2951630096178518,2.9411855372489097
dumbbell,3,0.0,0,9.73978173531225,0.4932878769699912,0.22784612202974008,0.022765043589042522,23944019.180181496,36.39312393299285,2.0340178968255924,36.60527998520644,-1.3261075156274196,0.2951630096178518,3.5883955344521565
dumbbell,3,0.0,0,10.343539587606124,0.4992456149515523,0.3153273137992048,0.022765043589042522,23888987.642401762,36.974627945210464,2.938692368653109,36.02571842950587,-2.0852832192570636,0.2951630096178518,7.558086202794772
dumbbell,3,0.0,0,11.113889196786833,0.49872752410747767,0.1947433666271956,0.022765043589042522,26123880.759621434,41.71862240898142,3.155364245885288,34.50757009288027,-2.245496634253474,0.2951630096178518,7.9555557763679
dumbbell,3,0.0,0,12.499387785590539,0.49921319065616265,0.28564178798955053,0.022765043589042522,29183700.518284727,48.12332677643435,3.0505684804647517,35.3194261524859,-1.9376463432737463,0.2951630096178518,5.400315023115797
dumbbell,3,0.0,0,13.201132412371196,0.4746422578802608,0.13302348604655184,0.022765043589042522,35760839.08626578,53.16242407615934,1.2978245622912052,33.39516748337629,-2.0615449203733562,0.2951630096178518,4.11057285860433
dumbbell,3,0.0,0,14.33135331399123,0.4928908439534234,0.1363508123375757,0.022765043589042522,33945901.74489102,55.951153394432794,2.312513277054776,30.97203119737562,-1.6922267134706426,0.2951630096178518,2.6124233766038243
dumbbell,3,0.0,0,15.412582687607921,0.4995221764807477,0.1787844451385158,0.022765043589042522,36497960.208224244,53.5232361800084,2.343788064058557,33.246238608308396,-0.6400439470381201,0.2951630096178518,4.813016490234661
dumbbell,3,0.0,0,16.94999942537549,0.4705747310611186,0.1077384830745537,0.022765043589042522,36335502.97384116,55.30440700979256,1.350801794764985,31.587757027050973,-0.8797153574374514,0.2951630096178518,5.249828216053234
dumbbell,3,0.0,0,18.407492805442413,0.49934340976013825,0.33510626592902676,0.022765043589042522,39804213.480589055,65.17959442167715,2.776524152229278,35.07199525726043,-1.2458801933175285,0.2951630096178518,6.473938860828652
dumbbell,3,0.0,0,19.742888200636123,0.49729832577682465,0.2687917510749768,0.022765043589042522,36493327.28679241,62.763636962209034,2.1643052813030077,35.893839858118184,-1.2249062555232724,0.2951630096178518,3.878468551638402
dumbbell,3,0.0,0,20.93109518575691,0.49952727194396584,0.22228432701779488,0.022765043589042522,41155879.54276977,62.473477391064165,3.255960513260495,31.92026976917092,-1.408099508695671,0.2951630096178518,3.8811397011657225
