anchor,ks,gamma,V,goal_acc,kappa0,frac0,ent0,kappaw,fracw,entw,kind,dim,seed,mode
676,-123.73268824969645,0.95,0.458592738495339,1.0,0.13777616890441358,0.9375,5.982611656188965,0.30462248034567563,0.5625,3.118722677230835,dumbbell,3,0,proxy
535,-52.756128616739964,0.95,0.5518087780194214,1.0,0.17504074280061066,0.6875,5.554250240325928,0.36317461272995377,0.4375,3.418867588043213,dumbbell,3,0,proxy
612,-14.869072970510835,0.95,0.5181981869065201,1.0,-0.22016146408990184,0.4375,5.534523010253906,0.12521633910613225,0.1875,3.904322624206543,dumbbell,3,0,proxy
894,5.431549965527312,0.95,0.6678007476109521,1.0,0.011712620049715503,0.25,5.281321048736572,0.533138994464543,0.25,3.7459475994110107,dumbbell,3,0,proxy
1380,9.298448521830508,0.95,0.6622322018237983,1.0,0.5344446413219259,0.0,5.10643196105957,0.6395940473675076,0.0,4.923269271850586,dumbbell,3,0,proxy
1044,9.734029362206519,0.95,0.4559243613517161,1.0,0.4351388675471567,0.0,5.132402420043945,0.7760852578059025,0.0,5.424804210662842,dumbbell,3,0,proxy
545,10.187353512545416,0.95,0.58059384114863,1.0,0.4474960306334227,0.0,5.062822341918945,0.7441409739901919,0.0,4.900374412536621,dumbbell,3,0,proxy
539,10.727248684091858,0.95,0.40532101329727954,1.0,0.564736115106419,0.0,5.082959175109863,0.39435675353022426,0.0,5.478123664855957,dumbbell,3,0,proxy
308,11.290719418418739,0.95,0.46957320977706846,1.0,0.5058837087712185,0.0,5.2476067543029785,0.6109414518387555,0.0,5.441167831420898,dumbbell,3,0,proxy
1211,11.816860442950112,0.95,0.32477754635568257,1.0,0.5040453527046498,0.0,5.170158386230469,0.3835469650330456,0.0,4.615131855010986,dumbbell,3,0,proxy
592,12.353508287602647,0.95,0.2998028214324421,1.0,0.5066326787840767,0.0,5.149140357971191,0.16240562794066882,0.0,4.797499179840088,dumbbell,3,0,proxy
922,13.08481043363165,0.95,0.5715625405539535,1.0,0.5640620003401472,0.0,5.072137355804443,0.8172896328715697,0.0,4.5216546058654785,dumbbell,3,0,proxy
623,13.896615576072982,0.95,0.46771346765531285,1.0,0.4960865641787035,0.0,5.1881818771362305,0.45060095573536585,0.0,4.600100994110107,dumbbell,3,0,proxy
31,14.795506979544653,0.95,0.3907897952497881,1.0,0.5516928773770023,0.0,5.138279914855957,0.26715765880161413,0.0,5.167682647705078,dumbbell,3,0,proxy
978,15.885198393084211,0.95,0.6048282823678925,1.0,0.512302774730724,0.0,5.201153755187988,0.6095515534750157,0.0,4.563004493713379,dumbbell,3,0,proxy
1224,17.139955319129093,0.95,0.41490648138931535,1.0,0.5052806511365759,0.0,5.097555637359619,0.6000444604545347,0.0,4.845108509063721,dumbbell,3,0,proxy
1356,17.86444450248348,0.95,0.19221919052507727,1.0,0.45332387503923216,0.0,5.09396505355835,0.3607254102308755,0.0,4.62967586517334,dumbbell,3,0,proxy
183,18.790907677459302,0.95,0.31640095235067456,1.0,0.5582445656517151,0.0,5.183116912841797,0.3196570480397366,0.0625,4.57277774810791,dumbbell,3,0,proxy
770,19.693368211359815,0.95,0.35036094392689604,1.0,0.4946939059784734,0.0,5.06705379486084,0.23716208015224444,0.0,4.4549407958984375,dumbbell,3,0,proxy
1450,21.192398490167747,0.95,0.5112984480166831,1.0,0.4312964313687968,0.0,4.975444316864014,0.5699204828028598,0.0,4.8293046951293945,dumbbell,3,0,proxy
1297,22.183995958877667,0.95,0.14817821752565163,1.0,0.4102029863763449,0.0,5.025828838348389,0.4476934045953538,0.0,4.458432674407959,dumbbell,3,0,proxy
329,23.563035656854442,0.95,0.29773393512043345,1.0,0.5258972226305196,0.0,5.224118709564209,0.05728529620279636,0.0,4.768455505371094,dumbbell,3,0,proxy
1154,25.370971992037134,0.95,0.0,1.0,0.5248258847434717,0.0,4.913895606994629,0.5937542349367706,0.0,4.317416191101074,dumbbell,3,0,proxy
1249,26.638318248049746,0.95,0.3186235653840446,1.0,0.5130776187516054,0.0,5.192132949829102,0.335438216961813,0.0,3.9678266048431396,dumbbell,3,0,proxy
1117,27.884008918879832,0.95,0.3748447253920559,1.0,0.012866602667449156,0.25,5.153010845184326,0.337695387569171,0.0625,4.132209777832031,dumbbell,3,0,proxy
229,29.282661796048142,0.95,0.4824755190388893,1.0,0.20649551581557657,0.3125,5.437863349914551,0.3847107058476902,0.0625,3.6028642654418945,dumbbell,3,0,proxy
663,30.171477332536107,0.95,0.7327573080386885,1.0,0.2130348288065404,0.125,5.158254623413086,0.5616623824466882,0.125,3.7232370376586914,dumbbell,3,0,proxy
518,31.158070337016014,0.95,0.2888286663493696,1.0,0.41734675467910276,0.0,5.088789939880371,0.10141798936838928,0.0625,4.658185958862305,dumbbell,3,0,proxy
1190,32.52797648270132,0.95,0.6007863327022936,1.0,0.38096557491178706,0.0,5.045560836791992,0.6556462439036199,0.0,4.457795143127441,dumbbell,3,0,proxy
170,33.93425705374371,0.95,0.34446103654880356,1.0,0.3975856354697153,0.0,5.0581159591674805,0.2895884865178467,0.0,4.930819511413574,dumbbell,3,0,proxy
1124,35.17052208313692,0.95,0.0849592417784187,1.0,0.4806489105570547,0.0,4.952242851257324,0.5130704053828601,0.0,4.2919392585754395,dumbbell,3,0,proxy
1410,36.16632769128221,0.95,0.3673600939182115,1.0,0.5254645875879533,0.0,5.052696228027344,0.40056522400492045,0.0625,4.98565673828125,dumbbell,3,0,proxy
107,37.095283943089456,0.95,0.2964315519095524,1.0,0.39539070113777924,0.0,5.083843231201172,0.2232012735533755,0.0,4.265108108520508,dumbbell,3,0,proxy
8,38.02496510354766,0.95,0.8782634236595956,1.0,0.05994326899020805,0.0625,5.230481147766113,0.5154291362785319,0.0,3.7039246559143066,dumbbell,3,0,proxy
1100,39.30184026927018,0.95,0.33807702596967226,1.0,0.4086112131782993,0.0625,5.011948108673096,0.3951937642266569,0.0,4.549864768981934,dumbbell,3,0,proxy
610,40.26435430885271,0.95,0.7195162356758146,1.0,0.1379174217058739,0.125,5.370110511779785,0.10587998912937525,0.125,3.341930389404297,dumbbell,3,0,proxy
365,41.172919210791385,0.95,0.5463341526163246,1.0,0.44968593060328177,0.1875,5.330501556396484,0.4025879837282452,0.0,4.107332706451416,dumbbell,3,0,proxy
725,41.995526232768704,0.95,0.4915390269637263,1.0,0.4381553874853372,0.0,4.967750072479248,0.6010600629728637,0.0,4.696765899658203,dumbbell,3,0,proxy
1439,42.81210292124083,0.95,0.2947020512443602,1.0,0.42357287068011623,0.0,5.195257186889648,0.036718036808241886,0.0,4.730655670166016,dumbbell,3,0,proxy
1003,43.6569644178917,0.95,0.3349214659511096,1.0,0.2693230468846303,0.0,5.065152168273926,0.2769542241321806,0.0,4.870002746582031,dumbbell,3,0,proxy
42,44.312955863146314,0.95,0.4073756786897062,1.0,0.28730218867797536,0.0,5.071758270263672,0.5174377501664414,0.0,4.40831184387207,dumbbell,3,0,proxy
836,44.89688883831238,0.95,0.0,1.0,0.1700271816921612,0.0,4.903633117675781,0.18251518452090587,0.0,3.2319657802581787,dumbbell,3,0,proxy
198,45.49239635782935,0.95,0.41160570654733214,1.0,0.44555002993382936,0.25,5.026820182800293,0.38338784922641983,0.0,4.891352653503418,dumbbell,3,0,proxy
724,45.81502293129721,0.95,0.8038589625851034,1.0,0.15295426651126304,0.0625,5.154259204864502,0.14193256348059408,0.0625,3.5312302112579346,dumbbell,3,0,proxy
439,46.19172058564673,0.95,0.17831252415513457,1.0,-0.27227084799466184,0.0,4.9770402908325195,0.364638443656227,0.0,4.371368408203125,dumbbell,3,0,proxy
1459,46.49110298165155,0.95,0.38230917431000117,1.0,-0.08209858555141375,0.125,5.268154144287109,0.5881675102324309,0.0,5.1154985427856445,dumbbell,3,0,proxy
813,46.73060276940405,0.95,0.44482790304986475,1.0,0.17572028194770303,0.0,5.124312400817871,0.3877847258948284,0.0,4.866219520568848,dumbbell,3,0,proxy
384,46.86483530289183,0.95,0.7306345661733292,1.0,0.2608816067937887,0.125,5.226502418518066,0.34557566863220757,0.125,3.8556854724884033,dumbbell,3,0,proxy
676,-123.73268824969645,0.99,0.458592738495339,1.0,0.13777616890441358,0.9375,5.982611656188965,0.038011616162952816,0.3125,2.3787755966186523,dumbbell,3,0,proxy
535,-52.756128616739964,0.99,0.5518087780194214,1.0,0.17504074280061066,0.6875,5.554250240325928,0.32101742265033867,0.1875,3.906672239303589,dumbbell,3,0,proxy
612,-14.869072970510835,0.99,0.5181981869065201,1.0,-0.22016146408990184,0.4375,5.534523010253906,0.275041481883305,0.0,5.1659979820251465,dumbbell,3,0,proxy
