kind,dim,seed,score,ks
hyperbolic,2,0,-0.0006565258482489136,-8.956077783870782
hyperbolic,2,0,0.06043636215662267,-8.956077783870782
hyperbolic,2,0,-0.006872069394778763,-8.956077783870782
hyperbolic,2,0,0.02277808649961122,-8.956077783870782
hyperbolic,2,0,0.031207954585781034,-8.956077783870782
hyperbolic,2,0,0.02159494292602062,-8.956077783870782
hyperbolic,2,0,0.022349045289845756,-8.956077783870782
hyperbolic,2,0,-0.006094605095768054,-8.956077783870782
hyperbolic,2,0,-0.008366489163688935,-8.956077783870782
hyperbolic,2,0,0.0745008575363415,-8.956077783870782
hyperbolic,2,0,0.06377108146957201,-8.956077783870782
hyperbolic,2,0,0.01650444328881889,-8.956077783870782
hyperbolic,2,0,0.0038602749038865528,-8.956077783870782
hyperbolic,2,0,-0.0029213471487884585,-8.956077783870782
hyperbolic,2,0,0.033287363884317085,-8.956077783870782
hyperbolic,2,0,-0.02150852815824823,-8.956077783870782
hyperbolic,2,0,0.024270184052165758,-8.956077783870782
hyperbolic,2,0,0.031575588168429605,-8.956077783870782
hyperbolic,2,0,0.022112211833100248,-8.956077783870782
hyperbolic,2,0,-0.0036311824017746797,-8.956077783870782
hyperbolic,2,0,0.06313157071659514,-8.956077783870782
hyperbolic,2,0,-0.0009977342346258397,-8.956077783870782
hyperbolic,2,0,-0.004245421842608406,-8.956077783870782
hyperbolic,2,0,0.043537465670323294,-8.956077783870782
hyperbolic,2,0,0.030955040769805216,-8.956077783870782
hyperbolic,2,0,0.021843926371596722,-8.956077783870782
hyperbolic,2,0,0.010505332115350853,-8.956077783870782
hyperbolic,2,0,0.02419453487669905,-8.956077783870782
hyperbolic,2,0,0.002853048346439905,-8.956077783870782
hyperbolic,2,0,0.010811982030611435,-8.956077783870782
hyperbolic,2,0,-0.009776960857955888,-8.956077783870782
hyperbolic,2,0,0.006726668478049074,-8.956077783870782
hyperbolic,2,0,0.04583747561741778,-8.956077783870782
hyperbolic,2,0,0.02191305547151768,-8.956077783870782
hyperbolic,2,0,0.006726398520715077,-8.956077783870782
hyperbolic,2,0,0.03173034758661064,-8.956077783870782
hyperbolic,2,0,0.043691032451273544,-8.956077783870782
hyperbolic,2,0,0.027119295619774667,-8.956077783870782
hyperbolic,2,0,0.013235663120306503,-8.956077783870782
hyperbolic,2,0,-0.003770318044351212,-8.956077783870782
hyperbolic,3,0,0.05056191395859558,-39.245911057546216
hyperbolic,3,0,0.08271699799779621,-39.245911057546216
hyperbolic,3,0,0.022491714143211695,-39.245911057546216
hyperbolic,3,0,0.0031580414103355298,-39.245911057546216
hyperbolic,3,0,0.07092066333594335,-39.245911057546216
