dim,branch,r_integ,sign_integ,r_v4_m60,r_v4_m120,r_v3_defect,r_sent,r_ent_cak,r_frac,r_kappa
3,A,0.8659923032081005,0.9375,0.9716076499851278,0.9423987029239823,0.5661476487697708,0.6160890359192481,0.6693644787663344,0.8777819900044729,0.38792483697095315
3,B,0.7519830017549395,0.775,0.7672684432442238,0.8748018510002332,0.46451312696238556,0.6708221215268908,0.6662970692330813,0.804232803893845,0.39998291645661266
3,C05,0.4054703801861261,0.6625,0.39594249653132213,0.588175881111036,0.3107399566907971,0.4725887581382956,0.5197905416408911,0.6753573618084303,0.30754040876185856
3,C17,0.22539741976023853,0.725,0.13245770716100358,0.08465167832076693,-0.19390543383048814,-0.07078135624449863,0.259318471632696,-0.09401814346196581,0.07469367578003402
3,D,-0.02117165497722825,0.525,0.18889723040823755,0.18038071033147923,-0.31795020440032845,0.0001784147033586575,0.12406422561990375,-0.05596034172734398,0.06562302002822928
3,E_C17,0.30609111571038344,0.475,0.12854676193695044,0.11688427030218962,-0.21838843246279327,-0.09500433376132182,0.2705950668540276,-0.047056387842391946,0.019245487107063322
3,E_D,0.013028655131357088,0.475,0.2792770780384277,0.31186676107452577,-0.17536239871217116,-0.062125186079499406,0.08455070216132349,0.03645546985299961,0.15627739671714422
4,A,0.9084400861865097,1.0,0.9722906532661351,0.9304119248261976,0.6026550341915266,0.5211088331186184,0.5909418049935601,0.8592575914402988,0.1932255097592103
4,B,0.42825346563493893,0.47619047619047616,0.751394386831282,0.8697730621455394,0.628715042950892,0.6245400403639358,0.5426685109476751,0.8270799607276109,0.33912332472142187
4,C05,-0.07645292180395342,0.5357142857142857,0.08264726769204644,0.11617932021857372,0.12273370142755727,0.290706186671058,0.002058474885115588,0.17723984393322215,0.264354370124739
4,C17,-0.12999470021893503,0.5476190476190477,-0.08649127282877263,0.11662810100017701,-0.05466638269814354,-0.09422397507345387,-0.10884533127953926,-0.1714251773168695,-0.2281704509906523
4,D,0.19443297949528662,0.4642857142857143,0.12693419150015223,0.1309342020408542,0.015634542413912992,0.15051164833367497,0.14439906677936284,0.058876179546324854,0.01775792641753264
4,E_C17,-0.1308062226140075,0.38095238095238093,0.029733442688033483,0.1593090860031275,-0.02174944466902086,0.023794296901577323,-0.06840412550545974,-0.06621120057039438,0.016271599613659055
4,E_D,0.14449899871428584,0.44047619047619047,-0.024130451913512173,0.020653462858862895,-0.08069724536428045,0.18574082022634433,0.08930231929345771,0.25984574553571443,-0.34702548270552325
5,A,0.864473933895831,0.9886363636363636,0.9494482678918944,0.9214508650043137,0.47561124837495783,0.46335531283653014,0.6404569954832305,0.8152000997105684,0.31709808872837103
5,B,0.32534195755687323,0.4659090909090909,0.7525400959954123,0.822157212365732,0.3964063160355188,0.7083340543400587,0.6138778494709867,0.8284135713100643,0.40339101504390784
5,C05,0.2283275792712662,0.8181818181818181,0.09373324221231906,0.24223193428329667,0.1225605506405828,0.3325857744307886,0.2956922351945756,0.4410771992719263,0.348615736404233
5,C17,-0.07720008929705026,0.48863636363636365,-0.005660536553937407,0.03122315253631075,0.04864475681110386,0.060337902780990466,-0.028418505611454748,0.16680478963750023,-0.1714770857344216
5,D,0.10155621662893462,0.6022727272727273,0.22832332887168236,0.17406490546896974,0.062327982263348666,0.09260751032354923,0.16465273840769468,-0.029270643727269178,0.009837851797729778
5,E_C17,-0.031761509847126806,0.5568181818181819,0.1349413877171019,0.21463769316339673,-0.24636768092452793,0.11846409326800716,0.0524200312628257,0.18913367794103064,-0.17398985655635946
5,E_D,0.11340993479675722,0.6590909090909092,0.150911131198989,0.18376361575927463,-0.017817060424284947,0.06609113671052338,0.10012684061452917,0.009981906600931777,-0.002425313204221281
6,A,0.8827638709311222,0.8222222222222222,0.9279354511421244,0.8944221432343118,0.04356642477409418,0.3292004132387796,0.45118933858866933,0.6910818396266764,0.017420487370627607
6,B,0.34224110711965816,0.25555555555555554,0.6961178541815863,0.8260362660160404,0.4788373266696233,0.5888789683414398,0.4866969926203697,0.7567633021719418,0.16021824870837093
6,C05,0.4241006672817161,0.7555555555555555,0.3774093181514956,0.48103008030867306,0.21993004788277118,0.3490349345906934,0.32128904724182583,0.44772544807213427,0.09370018935663411
6,C17,0.14708422794932785,0.4777777777777778,0.12098607375903711,0.1092838516861704,0.07723541898357006,-0.03755605735578765,0.07389290863083303,0.14658567724649213,-0.20179064418065903
6,D,0.2260497973679735,0.5,0.0891956878549794,0.11876900945157695,0.12115982575768046,0.17353314845983173,0.21514070952712105,0.1281638727890574,0.11984625935271712
6,E_C17,0.07348889199306516,0.32222222222222224,-0.025560565282449193,-0.0031371502911749045,-0.05503450611468548,-0.00011606160560423362,0.04637092835114177,-0.07774428920189846,-0.16848116620794193
6,E_D,0.23758515463334176,0.5888888888888889,-0.09857356446595385,-0.08748553598251498,-0.08602610357719492,0.21809401236107764,0.22996240326240766,0.09079769830705482,-0.06034753195840379
