d,seed,branch,est,ks,integ_sign,integ_mag,v4_m60,ent_cak,sent
3,0,B,plain,-22.548062598221478,-0.26025192674810427,0.14590795630311187,-1.3864894795880751,4.662093289737955,4.69555729522264
3,0,B,plain,-19.225024550522377,-0.28817911963614157,-0.2251320173049324,-3.586361007074537,3.122075626137075,3.982624246924048
3,0,B,plain,-11.762262800203482,-0.19558045664506918,0.4217974619754748,1.619613293307525,4.119053322085047,5.914081496823693
3,0,B,plain,-3.5550526795521264,0.20557833773197298,0.20347494923142348,1.2074024350144816,4.133473640690246,5.176748737566312
3,0,B,plain,2.5102588071524714,0.12252910456825539,0.25409299716743494,-0.8265236294891115,3.036567754737938,4.43188744470245
3,0,B,plain,6.159382675542515,-0.09726565551725724,0.3196408170209298,0.7506257284252378,5.669497033142311,14.731336962313478
3,0,B,plain,6.605360713324066,-0.20626992234433744,0.30891337152207404,-0.22735086145267744,7.497811571545123,16.427410751265192
3,0,B,plain,7.3857094587224115,-0.3222107281439043,0.08101114912300832,-0.400844659728915,4.515681114635843,6.992642314555214
3,0,B,plain,8.355744883799076,0.12307851892423838,0.4124246587500738,1.5312989964723105,5.234373797791369,14.969777885371794
3,0,B,plain,9.178669145217661,0.15773446697995308,0.5890425895606596,1.2595223591557234,8.264821129419753,16.10520544611953
3,0,B,plain,10.291751725325792,0.44810633495988106,0.6733491255759021,1.5590638090286693,6.314536118034042,13.529235839384505
3,0,B,plain,11.41168825762969,0.3409808996108997,0.640066375244652,2.008960997139406,7.501567805080779,14.438070156418682
3,0,B,plain,12.373259461365768,-0.020298759855928494,0.4348575821783494,1.282032913406966,7.9586666728786,14.29304562041639
3,0,B,plain,13.292811739534624,0.19365999712227666,0.6500235130642901,2.5231962217414425,9.237185736167039,15.43664324336154
3,0,B,plain,14.409416562572522,0.1489719836184853,0.6193523304863645,2.1873975513690445,10.86786716586809,16.29127167668258
3,0,B,plain,15.33757314504347,0.3334981634107175,0.5481288864587027,1.0637997326251154,5.44256149426062,7.2896873284375685
3,0,B,plain,16.176736933411025,0.42066103505942454,0.6703821157805309,1.716447196009305,7.961147024807722,14.35871705723344
3,0,B,plain,17.079064983670342,0.21271027447050572,0.7260611295641292,2.7057019354723404,9.842372563863615,11.947848826604083
3,0,B,plain,17.851715608550524,-0.22945210077868178,0.057880927520520334,2.142050201037701,6.522576231183134,10.414171500420641
3,0,B,plain,18.427504263358866,0.4247463822813411,0.6125526443903663,2.355651756423083,6.365728487120112,12.05536077187948
3,0,B,plain,18.86173140901876,0.4335478661800948,0.6935684112913809,1.4901067900928866,8.645676549722605,13.102222961888279
3,0,B,plain,19.292051405337936,0.011382478238449623,0.533932175133512,2.0706225928722706,8.891069525128678,14.667847757912142
3,0,B,plain,19.5323352139822,0.031766987664545776,0.6405762433724876,2.4914949392608823,8.970297964292667,14.012457047139842
3,0,B,plain,19.59838014117316,0.016146014389657903,0.6709580583971254,2.6042994195226243,6.454064245363583,10.603272102900933
3,0,B,pca,-22.548062598221478,0.13702183236732546,-0.27096143754096236,-1.130157941306402,5.413154327530902,5.393527619943867
3,0,B,pca,-19.225024550522377,-0.376337645839256,-0.23802241769797194,-3.0151393300122837,3.4769801858532827,4.111622383372122
3,0,B,pca,-11.762262800203482,0.0963483210089896,-0.027094041000149276,1.2921738708504669,4.5680779540445,7.042811204764346
3,0,B,pca,-3.5550526795521264,0.13197821157042933,0.40405929898828097,1.658149617498488,4.972403883004872,6.672571890213293
