variant,mani,seed,ks,dH
asym,dumbbell3,0,-100.98038770763571,0.07167371326499872
asym,dumbbell3,0,-35.10373318412146,0.11406791019058016
asym,dumbbell3,0,-3.2698901084480125,0.1459045277817319
asym,dumbbell3,0,9.21237395187421,0.25486938842875073
asym,dumbbell3,0,9.572592024326834,0.295040828916302
asym,dumbbell3,0,10.084506710193684,0.28701405754577625
asym,dumbbell3,0,10.771652356371833,0.2687638178664553
asym,dumbbell3,0,11.949148307862986,0.27343696506942816
asym,dumbbell3,0,12.911744989550959,0.2806545877226423
asym,dumbbell3,0,13.63039744661815,0.2774432560330675
asym,dumbbell3,0,14.512584609323081,0.28095345822651385
asym,dumbbell3,0,16.18792184907144,0.2483402765104561
asym,dumbbell3,0,17.36463723140334,0.2877266096962954
asym,dumbbell3,0,18.677811041217137,0.27484047257798316
asym,dumbbell3,0,19.941080272606268,0.25727618199135716
asym,dumbbell3,0,21.15811157942714,0.28532631560091737
asym,dumbbell3,0,22.441566198805248,0.2604090597319324
asym,dumbbell3,0,24.222374429972405,0.242318696605051
asym,dumbbell3,0,25.355393493804936,0.27473881728427685
asym,dumbbell3,0,26.66994041952738,0.21402226367995603
asym,dumbbell3,0,28.03275788542517,0.2710448177215703
asym,dumbbell3,0,29.362790845230446,0.2810099959295034
asym,dumbbell3,0,30.9442907685624,0.28833657879953556
asym,dumbbell3,0,32.490847551427265,0.26765563395364644
asym,dumbbell3,0,33.829051560588866,0.2711230234104356
asym,dumbbell3,0,34.88100112359251,0.2503577538806887
asym,dumbbell3,0,36.210822375595235,0.1760201286269556
asym,dumbbell3,0,37.671841522123,0.1664825797448275
asym,dumbbell3,0,38.75477816406666,0.2583230795926692
asym,dumbbell3,0,40.17035708617723,0.24953111888025603
asym,dumbbell3,0,41.34855413853904,0.26014001964053257
asym,dumbbell3,0,42.152672214680265,0.2616391957212514
asym,dumbbell3,0,43.170516128082774,0.23756824841238888
asym,dumbbell3,0,44.31022148978964,0.25531431328302556
asym,dumbbell3,0,44.863477913583516,0.26453872028729286
asym,dumbbell3,0,45.456158609640035,0.24502442675533587
asym,dumbbell3,0,45.88779143198147,0.27058349191796793
asym,dumbbell3,0,46.334131442996664,0.2627331713512264
asym,dumbbell3,0,46.65239052329245,0.25670150473274056
asym,dumbbell3,0,46.814414954583306,0.19331845550645532
asym,dumbbell3,1,-96.68718184725542,0.054063745848102585
asym,dumbbell3,1,-39.6736085784557,0.1284214613967407
asym,dumbbell3,1,-5.8862746268669985,0.1655004812535834
asym,dumbbell3,1,9.165791320229987,0.2460590165847627
asym,dumbbell3,1,9.698268251062341,0.16581777456281088
asym,dumbbell3,1,10.13439702565429,0.23949617862959194
asym,dumbbell3,1,10.636742126372084,0.28039320017409075
asym,dumbbell3,1,11.209912244530914,0.27891083938005234
asym,dumbbell3,1,12.180200518504115,0.269070516460145
asym,dumbbell3,1,13.033042377350315,0.23330204705399105
asym,dumbbell3,1,14.055784678142047,0.26431235397126684
asym,dumbbell3,1,15.362374471104665,0.2661855333581915
asym,dumbbell3,1,17.03810527017445,0.25768989300325984
asym,dumbbell3,1,18.60402029882903,0.2544900328190547
asym,dumbbell3,1,19.73898493257124,0.2801320342060736
asym,dumbbell3,1,21.171548262890234,0.24813472486238908
asym,dumbbell3,1,22.7313056282228,0.24567724357845044
asym,dumbbell3,1,23.85917098237987,0.24314794154492692
asym,dumbbell3,1,25.160766623930208,0.24958732951252927
asym,dumbbell3,1,27.1739472461733,0.23545647249033053
asym,dumbbell3,1,28.458590508600253,0.24291610865144797
asym,dumbbell3,1,29.815818697326506,0.25655951677540045
asym,dumbbell3,1,30.683526081379387,0.2322968119967479
asym,dumbbell3,1,32.43022099682599,0.23432144121109566
asym,dumbbell3,1,33.68240281991516,0.24419765009855965
asym,dumbbell3,1,35.35486772056233,0.2443935214150148
asym,dumbbell3,1,36.66652705630159,0.2173266257005082
asym,dumbbell3,1,37.91157906484404,0.24964416702252912
asym,dumbbell3,1,39.043871243823816,0.19156576168021555
asym,dumbbell3,1,40.13318695236076,0.24067610442656928
asym,dumbbell3,1,41.237624687817856,0.23212016833451798
asym,dumbbell3,1,42.75505996539783,0.21031633493405355
asym,dumbbell3,1,43.839611551124236,0.1941660974263355
asym,dumbbell3,1,44.51740443973556,0.2522637897233997
asym,dumbbell3,1,45.17322949392105,0.20829516583667385
asym,dumbbell3,1,45.84702931406754,0.23342072633098354
asym,dumbbell3,1,46.30391300208129,0.2360580050564831
asym,dumbbell3,1,46.687370710967485,0.21350978916099983
asym,dumbbell3,1,46.93604962309567,0.23698996519931015
asym,dumbbell3,1,47.01515765286487,0.25854663641153053
asym,dumbbell4,0,-79.8966034611902,0.198591208891866
asym,dumbbell4,0,-7.1513175246713745,0.1161715628852189
asym,dumbbell4,0,18.614947133673546,0.22903241696311838
asym,dumbbell4,0,19.989997952940993,0.2659159597656977
asym,dumbbell4,0,21.35467378302166,0.2444320440042187
asym,dumbbell4,0,22.99057125597468,0.23872589979907488
asym,dumbbell4,0,25.349116839417114,0.23369817048344466
asym,dumbbell4,0,28.062642311470753,0.2371949363383452
asym,dumbbell4,0,29.67703943349243,0.28553330657229914
asym,dumbbell4,0,31.733566777124395,0.22096208301343978
asym,dumbbell4,0,33.414435021929904,0.18452630921266966
asym,dumbbell4,0,36.19760334000514,0.24498495047494728
asym,dumbbell4,0,38.74534452468957,0.25603385000300527
asym,dumbbell4,0,40.52409215745411,0.25018379082532327
asym,dumbbell4,0,42.45442893677087,0.26319440545700257
asym,dumbbell4,0,44.40805057591748,0.19263820271730125
asym,dumbbell4,0,46.79315006865085,0.26899927658760436
asym,dumbbell4,0,48.79161914148184,0.2358827531769947
asym,dumbbell4,0,50.223495257405624,0.19968844868633084
asym,dumbbell4,0,52.37608396939409,0.17344931173263411
asym,dumbbell4,0,54.318135739714904,0.26091774934980094
asym,dumbbell4,0,56.61646729558276,0.2075331338824178
asym,dumbbell4,0,58.775775249891595,0.24599338852208952
asym,dumbbell4,0,60.424426862188575,0.21800816854131
asym,dumbbell4,0,62.1809477324657,0.2780624175546258
asym,dumbbell4,0,63.4473206275391,0.25805621115172084
asym,dumbbell4,0,65.33378923099642,0.21916855169461869
asym,dumbbell4,0,66.99559980102565,0.20129870215936307
asym,dumbbell4,0,68.35349923968586,0.23949091107134102
asym,dumbbell4,0,69.93803728903356,0.1974563355849721
asym,dumbbell4,0,71.14116090302271,0.23917844949366884
asym,dumbbell4,0,72.21729422592698,0.22698078311559922
asym,dumbbell4,0,73.46199129907342,0.24762505940841617
asym,dumbbell4,0,74.72884812324571,0.23397389768099686
asym,dumbbell4,0,75.42567874166147,0.243136166773386
asym,dumbbell4,0,76.12014035191383,0.25694757013716973
asym,dumbbell4,0,76.64965955606776,0.22786519517452408
asym,dumbbell4,0,77.12879216216118,0.2666017097473805
asym,dumbbell4,0,77.51469634544125,0.25879515431239764
asym,dumbbell4,0,77.69475268997364,0.20595437864716093
asym,dumbbell4,1,-74.55294981038384,0.17664153139639893
asym,dumbbell4,1,-11.771959512371572,0.17039976287401348
asym,dumbbell4,1,18.63833024291244,0.2332200797798869
asym,dumbbell4,1,20.531109659671127,0.20074942938176843
asym,dumbbell4,1,21.966427735892044,0.23910341697937731
asym,dumbbell4,1,23.413484348060535,0.2143136188016168
asym,dumbbell4,1,24.911624673822608,0.200970951959766
asym,dumbbell4,1,27.01387871770214,0.21659746794844104
asym,dumbbell4,1,28.97773310443366,0.2200204908141039
asym,dumbbell4,1,30.802000821620684,0.2091915486785183
asym,dumbbell4,1,33.237020574054455,0.2160825313625443
asym,dumbbell4,1,35.607516048229435,0.21365925522096152
asym,dumbbell4,1,37.555630143775154,0.22274284562396218
asym,dumbbell4,1,40.055327023135085,0.21965026740540505
asym,dumbbell4,1,41.88278894694478,0.20934505311622242
asym,dumbbell4,1,44.01296280267439,0.2225028980371757
asym,dumbbell4,1,46.79006796692536,0.2001444360800102
asym,dumbbell4,1,48.97795472300792,0.21657675538259546
asym,dumbbell4,1,50.795553968758085,0.20035921902244613
