kind_ok,m,rate_deform,rate_channel,static_score,ks,delocal_r,kind,dim,seed,point,config
1.0,120,-0.0008776968878354183,-1.4774657045357742e-05,-0.006663680693843034,-162.58837866467266,-0.0571266136571388,dumbbell,3,0,208,allpairs
1.0,120,-0.0011477551183776784,-1.104529673797335e-05,-0.008877148347592833,-76.54376649368484,-0.06179038750486109,dumbbell,3,0,595,allpairs
1.0,120,-0.0032813196949284433,-8.27700843005393e-06,0.004330559791383602,-29.818401645150427,-0.3054187494715896,dumbbell,3,0,34,allpairs
1.0,120,0.0002755206931905895,-4.620984208614232e-06,-0.0061197197219169126,5.223564145134746,-0.12999814129683063,dumbbell,3,0,593,allpairs
1.0,121,-0.0027334213416311402,5.646028035914223e-06,0.003851049348515098,9.427481819720276,-0.2052449597451253,dumbbell,3,0,781,allpairs
1.0,120,-0.0027416953575379426,4.11792440916751e-06,-0.0070054548535705575,9.808983825972199,-0.017735507522314408,dumbbell,3,0,198,allpairs
1.0,120,-0.0008651856304859685,-5.113932414720542e-06,-0.00817772370430566,10.426289623503726,-0.07052354325075702,dumbbell,3,0,744,allpairs
1.0,120,-0.0007398720280856216,-7.274647154294674e-06,-0.005104993922230643,11.815381734802955,-0.10627533353770528,dumbbell,3,0,156,allpairs
1.0,120,0.0002849401041749845,-6.60844424900849e-06,-0.002442486587476818,12.70083357459393,-0.07161962513683912,dumbbell,3,0,1047,allpairs
1.0,120,0.0006242308660797093,5.866045424814577e-06,-0.00574950191268962,13.483820822848784,-0.11289688545978335,dumbbell,3,0,949,allpairs
1.0,120,-0.00034797031624494057,-2.1790535310965233e-06,0.0006319659813635188,14.458031237419936,-0.05847325456264711,dumbbell,3,0,767,allpairs
1.0,120,0.0003621612053362714,-9.61184426155152e-06,0.00021017322366101389,16.191747919914384,-0.03319548165235064,dumbbell,3,0,592,allpairs
1.0,120,0.0008146977785448958,2.232298862854994e-05,-0.003043997459588268,17.329527664168435,-0.16908386685601423,dumbbell,3,0,88,allpairs
1.0,120,0.0004589799493718479,2.8519221683491005e-06,0.004248429900452489,18.713290944173508,0.06102425763229643,dumbbell,3,0,157,allpairs
1.0,120,0.0005464159564989302,-8.360971492630634e-06,-0.0047208985279168225,19.928704441853984,0.026183623846299933,dumbbell,3,0,622,allpairs
1.0,120,0.0007602149934715734,-6.1226744622426095e-06,-0.00027699135086007285,21.318898592553104,-0.01843809341810441,dumbbell,3,0,1081,allpairs
1.0,120,-0.0019792262391381253,6.34562650099942e-06,-0.003946296468613518,22.696870266673333,-0.10954340506793121,dumbbell,3,0,889,allpairs
1.0,120,0.00013738083020204469,1.0121774855302117e-06,0.001557840489337484,24.313067665490568,0.12708134439339977,dumbbell,3,0,423,allpairs
