dim,n,r_integ,sign_integ,r_iso,r_v4_m60,sign_v4_m60,r_v4_m120,sign_v4_m120,r_v3_defect,sign_v3_defect,r_sent,sign_sent,r_ent_cak,sign_ent_cak,r_frac,sign_frac,r_kappa,sign_kappa
2,60,0.26963524680443796,0.5,0.2084334919220082,0.21738722739194724,0.5,0.1817220666805523,0.5,0.1816464313869982,0.5421245421245421,0.3418652868646924,0.5293040293040293,0.6733798945153333,0.5,0.11405824623739365,0.5219780219780219,0.39693669040381097,0.684981684981685
3,60,0.1926148938018317,0.5,0.11245708819033648,0.15613721218855173,0.5,0.24444875662610302,0.5,0.2506050234135609,0.5,0.15001022516092002,0.5934065934065934,0.5492093570461914,0.5,0.19210014550276658,0.3974358974358974,0.16071994771523007,0.5
4,60,0.3528382844326129,0.5,,0.2012916024223063,0.5,0.3225017250849331,0.5,0.5646691080244719,0.5,0.5836009308837211,0.5555555555555556,0.7707400077088885,0.5,0.5447606607515211,0.45555555555555555,0.6025675451036517,0.5
5,60,-0.09600504065097207,0.5,0.12325656772930692,0.19749143796069238,0.5,0.19578644954615576,0.6145833333333334,0.2896109217639078,0.5,0.5906262431174737,0.5,0.5806335882631295,0.5,0.5268145142152095,0.4791666666666667,0.5117508350440267,0.5
6,60,0.3816768784149453,0.5,0.337330392563072,0.26788924199456116,0.6699999999999999,0.294985259784286,0.5,-0.04218599092408011,0.5,0.6304179087997346,0.5,0.6300027337357497,0.5,0.7386489992618022,0.49,0.5509052857744836,0.5
