config,kind,dim,rate_deform_r,rate_deform_bal,rate_channel_r,rate_channel_bal,static_r,deform_vs_static,band_ok,m_med,delocal_r,rate_deform_flatmed,rate_channel_flatmed
rq0.05|clamped|allpairs,dumbbell,3,0.10040734522402725,0.05555555555555555,-0.1295574561186234,0.0,0.12101979146294305,0.9495516931723385,1.0,30.0,0.02771496102911336,,
rq0.05|clamped|allpairs,necklace,3,-0.021775544262377707,0.09375,-0.03726255141754288,0.0625,-0.13623653619452944,-0.7675053067672932,1.0,30.0,-0.0388410526436422,,
rq0.05|clamped|allpairs,torus,3,,,,,,-0.6628645421945945,1.0,30.0,-0.060446871106295624,0.0,0.0
rq0.05|clamped|center,dumbbell,3,-0.20755714603667313,0.5555555555555556,0.005236015365520836,0.4722222222222222,-0.10402277781873778,-0.14861394394365704,1.0,30.0,-0.3675879860925405,,
rq0.05|clamped|center,necklace,3,-0.5131239275133271,0.28125,0.06123208776284156,0.75,-0.15225173163150324,-0.3470744284187208,1.0,30.0,-0.3580431577993413,,
rq0.05|clamped|center,torus,3,,,,,,-0.24823111179799284,1.0,30.0,-0.37031209032735396,0.0005824132491475354,2.3156145794918834e-06
rq0.05|free|allpairs,dumbbell,3,0.10027893246983029,0.05555555555555555,-0.12955429124853268,0.0,0.12101979146294305,0.9490591512978336,1.0,30.0,0.028309011411148596,,
rq0.05|free|allpairs,necklace,3,0.15226203074677122,0.125,-0.2525921159226133,0.15625,-0.13623653619452944,-0.648225576235065,1.0,30.0,0.040466906124865844,,
rq0.05|free|allpairs,torus,3,,,,,,-0.8548919254875791,1.0,30.0,-0.0035210693039525575,0.0,0.0
rq0.05|free|center,dumbbell,3,-0.07878077619461388,0.5277777777777778,-0.018784378513424873,0.4722222222222222,-0.10402277781873778,-0.34732564606051936,1.0,30.0,-0.35773061235412307,,
rq0.05|free|center,necklace,3,-0.40874708210790817,0.40625,0.06503663805179342,0.71875,-0.15225173163150324,-0.39297500266191365,1.0,30.0,-0.3421118338284485,,
rq0.05|free|center,torus,3,,,,,,-0.2544557221560325,1.0,30.0,-0.34998950350759916,0.0004070155972830371,2.3272044630632633e-06
rq0.1|clamped|allpairs,dumbbell,3,0.04005669389821184,0.6388888888888888,-0.033434185330456945,0.41666666666666663,0.12927554949460746,-0.017242597716192437,1.0,60.0,-0.08303397429002814,,
rq0.1|clamped|allpairs,necklace,3,0.8131014299730832,0.75,-0.8517124462440588,0.15625,0.2811093474386281,0.10495897762297769,1.0,60.0,-0.059495929453079424,,
rq0.1|clamped|allpairs,torus,3,,,,,,-0.02148742127322059,1.0,60.0,-0.0945806509992099,4.9763363973703795e-05,5.266442190491697e-07
rq0.1|clamped|center,dumbbell,3,-0.17555937140617095,0.5,-0.09937596810531012,0.4166666666666667,0.12927554949460746,-0.0038905660390577586,1.0,60.0,-0.4287250941427822,,
rq0.1|clamped|center,necklace,3,-0.41150338714806806,0.375,0.22866400982344845,0.75,0.2811093474386281,-0.2763015733514806,1.0,60.0,-0.4363073602327212,,
rq0.1|clamped|center,torus,3,,,,,,-0.13295126249529057,1.0,60.0,-0.4100146326071859,0.0021048023523001576,1.009648525910715e-05
rq0.1|free|allpairs,dumbbell,3,0.02134829153344033,0.6666666666666667,0.10101716545360379,0.5833333333333334,0.12927554949460746,-0.02449184367523083,1.0,60.0,0.009367789293717248,,
rq0.1|free|allpairs,necklace,3,0.7530873714428857,0.75,-0.6168384822101076,0.28125,0.2811093474386281,0.12027612537464631,1.0,60.0,0.015402965316051134,,
rq0.1|free|allpairs,torus,3,,,,,,0.006184449502220242,1.0,60.0,-0.015726778587754505,7.249112752183754e-05,5.284883184408784e-07
rq0.1|free|center,dumbbell,3,-0.16011640349792122,0.5,-0.11020409430048742,0.4166666666666667,0.12927554949460746,-0.00841809477627204,1.0,60.0,-0.42590590876855156,,
rq0.1|free|center,necklace,3,-0.40674907414789596,0.375,0.23082738033971784,0.75,0.2811093474386281,-0.28094597629129237,1.0,60.0,-0.43557860597607523,,
rq0.1|free|center,torus,3,,,,,,-0.13405853010866958,1.0,60.0,-0.40885466227206696,0.002100049168696955,1.0097477279646938e-05
rq0.2|clamped|allpairs,dumbbell,3,0.19179729882741905,0.6944444444444444,-0.32120866785780167,0.4444444444444444,0.34222834237383004,0.3170037864351631,1.0,120.0,-0.29836020645082273,,
rq0.2|clamped|allpairs,necklace,3,0.31569945330110977,0.53125,0.015495978049357777,0.34375,0.41229930937060477,0.21082299684383704,1.0,120.0,-0.32989089563979124,,
rq0.2|clamped|allpairs,torus,3,,,,,,-0.4999691144150205,1.0,120.0,-0.35125170462987426,0.0006611102721038588,5.091495311138061e-06
rq0.2|clamped|center,dumbbell,3,0.3492904179827185,0.2777777777777778,-0.2418100907042077,0.3055555555555556,0.34222834237383004,-0.028874904701489342,1.0,120.0,-0.4016721216028355,,
rq0.2|clamped|center,necklace,3,-0.42531141213313617,0.25,0.16261584195180015,0.65625,0.41229930937060477,-0.062396439479073446,1.0,120.0,-0.42926220411727867,,
rq0.2|clamped|center,torus,3,,,,,,-0.24197330186991278,1.0,120.0,-0.42557673945740976,0.0028764315038586133,1.0373665433031457e-05
rq0.2|free|allpairs,dumbbell,3,-0.04326578649540311,0.5277777777777778,-0.01946317184092981,0.5833333333333334,0.34222834237383004,0.2147655642905914,1.0,120.0,-0.035178805872347244,,
