dim,n,dhat_err_absmean,sigma_rel_mean,sign_integ_oracle,sign_v4_m60_oracle,sign_ent_cak_oracle,sign_sent_oracle,sign_integ_est,sign_v4_m60_est,sign_ent_cak_est,sign_sent_est
2,60,0.0,0.8881166666666668,0.5238095238095238,0.5,0.5934065934065934,0.5293040293040293,0.5,0.46703296703296704,0.5,0.5
3,60,0.0,0.4481333333333332,0.717948717948718,0.5,0.663003663003663,0.5421245421245421,0.5,0.4725274725274725,0.5,0.5
4,60,0.0,0.29733333333333334,0.7555555555555555,0.5,0.8111111111111111,0.5,0.5,0.5,0.5,0.5
5,60,0.0,0.23409999999999995,0.6979166666666667,0.5,0.65625,0.5,0.5,0.5,0.5,0.5416666666666666
6,60,0.0,0.20013333333333333,0.66,0.5,0.79,0.5,0.5,0.5,0.55,0.82
