v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,inst_id,ks,dim,shape,name,integ_sign,integ_mag,iso
1.8002098476706003,3.761132155253549,0.7871067307963674,-2.49734889245141,-6.419737584700269,-999999999.9999999,-22.246461802480727,5.0,0.294606725959969,0.2593443778999203,0.4500516166682546,0,2000,5,221,0.0,5,Plane,5-Plane,-0.4161350716764604,0.33055186451503077,-0.1852260236229677
-3.609198888325768,0.1169577947192355,1.7620544157026161,-0.10719459177425587,-6.850618583594562,-999999999.9999999,-9.528682964769342,6.0,0.3125025754149071,0.3098527343229859,0.4390828836483142,0,2000,5,222,-16.0,5,Saddle,5-Saddle,-0.49511123128905743,-0.9892661151264273,-0.9286293301593072
0.7736027324999398,3.0049679404346215,1.116783296081717,1.9528334689401843,-0.47548086584715604,-0.0,-17.592196156091262,6.0,0.1903567155523013,0.3831940316987303,0.6086739230871573,0,2000,5,223,2.0,5,Sphere,5-Sphere,0.11326916861926184,-0.11018950433135573,-0.4093685519537737
1.8002095024108469,3.761132231258293,1.1363131757750384,-2.6212623359657488,-6.407847518045561,-999999999.9999999,-23.99009216035092,5.0,0.3063339561587128,0.2800697240631727,0.4549473983268254,0,2000,5,224,0.0,5,Plane,5-Plane,-0.4161350716764604,0.32143088717462015,-0.1852260236229677
-3.4635445129461355,-0.37236155265419923,1.5137180604149816,-0.7329778472048402,-6.104850293549817,-999999999.9999999,-14.86794958947015,6.0,0.2833240423765433,0.2423340687049235,0.4501612133011222,0,2000,5,225,-16.0,5,Saddle,5-Saddle,-0.4976010954577791,-1.042076794008379,-0.9286293301593072
1.0467235656015161,3.1305843392911337,1.0787347459916907,3.58325297644914,-2.142911987123222,-0.0,-23.120941790832457,6.0,0.2177043669773808,0.3563309718032362,0.5812574422923137,0,2000,5,226,2.0,5,Sphere,5-Sphere,-0.32588947301745763,-0.5344964530802908,-0.32424936617179817
1.8002104294793226,3.76113240031966,0.4536731843981895,-2.662237146647813,-6.834113691823541,-999999999.9999999,-20.65235603959942,5.0,0.3112078251514545,0.3168868135800671,0.4590508467896599,0,2000,5,227,0.0,5,Plane,5-Plane,-0.42807232741597945,0.13803562513880438,-0.1852260236229677
-3.0457483250033976,-0.23378136861852733,1.9954422897834767,-0.4515773957535337,-6.268722531713613,-999999999.9999999,-10.882207277902213,6.0,0.2950837794594607,0.2389391598292085,0.4400450835508311,0,2000,5,228,-16.0,5,Saddle,5-Saddle,-0.49429399618946884,-0.662934940601314,-0.9286293301593072
0.641585986028625,2.994193494382166,0.028005420686919916,2.3027950217479267,0.014858310850983696,-0.0,-17.371835785221474,6.0,0.1667196881556166,0.3825283651695918,0.6095696035175836,0,2000,5,229,2.0,5,Sphere,5-Sphere,0.15419863654557264,-0.09643671589367848,-0.4093685519537737
1.8002082955981664,3.7611320686754035,0.9631377089374457,-2.568047960232761,-6.285730594071624,-999999999.9999999,-24.23062660542331,5.0,0.2943239317780277,0.2760959888493702,0.4709126580099037,0,2000,5,230,0.0,5,Plane,5-Plane,-0.4272946401004227,0.2953547166911565,-0.1852260236229677
-3.550130724430413,-0.6009860177172168,1.6644342688875935,-0.5607691108706311,-5.374232032826938,-999999999.9999999,-11.146583002727942,6.0,0.2681885903081353,0.2271481135114603,0.4623491133720231,0,2000,5,231,-16.0,5,Saddle,5-Saddle,-0.46921281804111153,-0.900217122075651,-0.9286293301593072
0.6309951583380126,2.8818080710878395,1.2410963153037635,5.182097643970992,-1.2300070136587764,-0.0,-19.862830117026046,6.0,0.209547000167584,0.340326404902086,0.599477430928323,0,2000,5,232,2.0,5,Sphere,5-Sphere,-0.2809144575178798,-0.37814625429892373,-0.4093685519537737
1.8002094562817712,3.7611318516513017,0.3624194186659151,-2.5711689279547185,-6.1183473682707685,-999999999.9999999,-23.437891308977168,5.0,0.2889290465968175,0.2692695625614255,0.4720230575579129,0,2000,5,233,0.0,5,Plane,5-Plane,-0.42807232741597945,0.32143088717462015,-0.1852260236229677
-5.377800763565785,-1.0656403662763843,1.7919659214848414,-0.6578921070006375,-6.215661008053507,-999999999.9999999,-14.53509594284889,6.0,0.2851538334187812,0.2444840168466409,0.4418968180660937,0,2000,5,234,-16.0,5,Saddle,5-Saddle,-0.4970984668396592,-1.2832913739647196,-1.0907780242636238
1.1583809725621275,3.1096256061638354,2.491375328548331,5.404037532409036,-2.6334506390206585,-0.0,-17.75530864032418,6.0,0.2389732965514143,0.3442961224185948,0.5686110384669146,0,2000,5,235,2.0,5,Sphere,5-Sphere,-0.297137919341476,-0.2907053605992566,-0.32424936617179817
1.8002090088906575,3.761132194747892,1.6236095515586868,-2.6313626551488865,-6.526862490605716,-999999999.9999999,-22.675514351643855,5.0,0.3093406770588813,0.2753080274440778,0.4587972741332479,0,2000,5,236,0.0,5,Plane,5-Plane,-0.4127850564019919,0.43204778548262823,-0.1852260236229677
-4.010811530570533,-0.3119131324358059,1.8996837976986183,-0.4092303086841889,-6.778484765457878,-999999999.9999999,-9.899496268996332,6.0,0.319937311869193,0.2632632289630782,0.4334458140837179,0,2000,5,237,-16.0,5,Saddle,5-Saddle,-0.49543734192055167,-1.0270405320238842,-1.0907780242636238
0.42232645025172627,2.854714978887572,0.5732533153238015,5.993579969076788,-1.3534434996954758,-0.0,-19.216751425785134,6.0,0.2185997173094669,0.315122472800209,0.6080137621250811,0,2000,5,238,2.0,5,Sphere,5-Sphere,-0.30534617902129946,-0.345990109212944,-0.4093685519537737
1.8002088493810888,3.761131873018301,2.1421584537582956,-2.791405818107283,-6.821495204497245,-999999999.9999999,-25.00212058881713,5.0,0.3164037622568773,0.2943004445489854,0.4611896897328413,0,2000,5,239,0.0,5,Plane,5-Plane,-0.4158289900757217,0.6247325985985249,-0.1852260236229677
0.308433616293021,2.776651979188928,1.360071316498087,-1.0674345110663874,-6.614082343358364,-999999999.9999999,-52.973271279982036,7.0,0.2948867500349164,0.2726240868156477,0.4754353930089297,0,2000,6,240,-24.0,6,Saddle,6-Saddle,-0.451558988331994,-0.18673386967598143,-0.4093685519537737
