branch,estimator,true_dim,v4_m60,ent_cak,sent
B,diffdist_t4,3,0.0777230736730744,4.8834168910980225,6.99377630179198
B,diffdist_t4,4,0.02595840980345705,5.108701944351196,7.105242588439487
B,diffdist_t4,5,0.00632862740845325,4.129150867462158,7.132232183781429
B,diffdist_t8,3,0.0226198731101908,5.171066999435425,6.945754739897276
B,diffdist_t8,4,0.00414001862213485,5.059656143188477,7.1043594029400055
B,diffdist_t8,5,0.0001778512325583,4.1652162075042725,7.126321487796976
B,fb_potential,3,0.0204880401101529,5.173876047134399,6.866783092541413
B,fb_potential,4,0.01789010001091515,5.010264158248901,6.979756105370919
B,fb_potential,5,0.04827786926966825,4.768806219100952,7.0643156045164455
B,heatgeo_4t,3,3.5352646934884957,0.0028177063213661,7.158122774607426
B,heatgeo_4t,4,3.9507309303191587,9.101541581909996e-05,7.1582249962555915
B,heatgeo_4t,5,4.008959015891854,4.1854551113829075e-06,7.15825095122257
B,heatgeo_t,3,3.9512483618172283,0.00146771193249145,7.15813498761927
B,heatgeo_t,4,4.336558878420716,4.495923712966032e-05,7.158229718175573
B,heatgeo_t,5,4.3327074302835005,4.4290717582384787e-07,7.15825479068897
B,pca_denoise,3,0.0211857281713424,5.213047742843628,6.942563084405263
B,pca_denoise,4,0.03552581479956185,5.143506050109863,7.084368859167716
B,pca_denoise,5,0.026025755090963,4.934131622314453,7.117786071437304
B,plain,3,0.021185728171342302,5.213047742843628,6.942563084405263
B,plain,4,0.03552581479956185,5.143506050109863,7.084368859167716
B,plain,5,0.0260257550909629,4.934131622314453,7.117786071437305
C05,diffdist_t4,3,0.03570724523785485,5.082064628601074,6.9802271070477575
C05,diffdist_t4,4,0.00987668521071805,4.958786964416504,7.131533627455509
C05,diffdist_t4,5,0.00112720960244425,4.0491156578063965,7.144109717856146
C05,diffdist_t8,3,0.00837573936459215,5.1953089237213135,6.948312429540872
C05,diffdist_t8,4,0.0004844572761283,4.895322799682617,7.128468092207858
C05,diffdist_t8,5,3.2819450527673774e-06,4.153574705123901,7.140610740017985
C05,fb_potential,3,0.048346699676901,5.180189609527588,6.891629007927898
C05,fb_potential,4,0.00980284970657095,5.032350063323975,7.010397905700156
C05,fb_potential,5,0.0306082456340229,4.9535746574401855,7.0924924710929345
C05,heatgeo_4t,3,4.808041243400172,0.00039344702963715005,7.158181368734244
C05,heatgeo_4t,4,4.7541238351376,2.8377614285091117e-06,7.158255937687082
C05,heatgeo_4t,5,4.610670079955834,3.865579145667653e-08,7.158260747376941
C05,heatgeo_t,3,5.297085617194272,0.00021559806191354998,7.158188198555134
C05,heatgeo_t,4,5.159333965790481,3.865579145667653e-08,7.158259298455218
C05,heatgeo_t,5,4.9453097658533185,3.865579145667653e-08,7.15826323134895
C05,pca_denoise,3,0.02512739373751835,5.078142404556274,6.967204909788217
C05,pca_denoise,4,0.03904659495176905,5.190603256225586,7.113298381216792
C05,pca_denoise,5,0.03424923390916695,4.767141342163086,7.1302894823870355
C05,plain,3,0.08204319440264095,5.102267265319824,6.999570877499235
C05,plain,4,0.0904323981354994,5.145813941955566,7.120802196100088
C05,plain,5,0.0356205280029666,4.941033124923706,7.133750814961031
D,diffdist_t4,3,7.272556120445246e-06,5.447221755981445,6.520809860784656
D,diffdist_t4,4,6.4400929958545365e-06,5.5086870193481445,6.260961196374098
D,diffdist_t4,5,8.7824684947087e-06,5.470449924468994,6.254159122801599
D,diffdist_t8,3,4.7795359368051385e-11,5.521830797195435,5.980205094214837
D,diffdist_t8,4,6.875494492674011e-12,5.553053379058838,5.007106037854405
D,diffdist_t8,5,9.165371735480484e-12,5.533520936965942,5.011285355162689
D,fb_potential,3,0.16312964654483336,4.922070026397705,6.877008944014104
D,fb_potential,4,0.0448332205043544,4.9646453857421875,7.001683357325707
D,fb_potential,5,0.01899333835499415,5.018620491027832,7.046003732580891
D,heatgeo_4t,3,14.420607081681833,3.865579145667653e-08,7.158277934572234
D,heatgeo_4t,4,10.763324252404841,3.865579145667653e-08,7.158278305837859
D,heatgeo_4t,5,8.583096948169308,3.865579145667653e-08,7.1582780017373695
D,heatgeo_t,3,14.760913783119868,3.865579145667653e-08,7.158278166662187
D,heatgeo_t,4,11.002087207205722,3.865579145667653e-08,7.158278498111356
D,heatgeo_t,5,8.763016966298903,3.865579145667653e-08,7.158278226251213
D,pca_denoise,3,0.21443112117775637,5.172391891479492,7.037571362401081
D,pca_denoise,4,0.09191128608877674,5.156938076019287,7.093630993269249
D,pca_denoise,5,0.0621311275938312,5.191675186157227,7.120745110375842
D,plain,3,0.6280258253081522,5.008214950561523,7.141272250145592
D,plain,4,0.39617284678832143,5.180057048797607,7.148139441156118
D,plain,5,0.30701406485125526,5.142202615737915,7.141753430096793
