anchor,ks,V,ent0,entw,frac0,fracw,d_ent,d_frac,kind,dim,seed,mode,goal_acc
449,12.82042931327384,0.7162178357420299,6.279978,3.7070746,0.0,1.0,-2.5729032,1.0,dumbbell,3,2,proxy,1.0
101,13.714708028124635,0.8866427489922861,6.1544333,4.70982,0.0,0.5625,-1.4446135,0.5625,dumbbell,3,2,proxy,1.0
831,14.725174522212512,0.48465564979268283,6.2352066,4.575423,0.0,0.9375,-1.6597838,0.9375,dumbbell,3,2,proxy,1.0
1299,15.840421206216279,0.8239958383318724,6.160616,4.4589386,0.0,0.3125,-1.7016773,0.3125,dumbbell,3,2,proxy,1.0
792,16.63718415692145,0.5838092383258531,6.2257767,4.126874,0.0,0.0,-2.0989027,0.0,dumbbell,3,2,proxy,1.0
1405,17.635985366943924,0.8073173521919622,6.2842207,3.8787715,0.0,1.0,-2.4054492,1.0,dumbbell,3,2,proxy,1.0
900,18.34590721736632,0.3565954351165053,6.2605133,3.501068,0.0,0.875,-2.7594452,0.875,dumbbell,3,2,proxy,1.0
1326,19.52390372753703,0.30923037761230804,6.2745943,4.0999413,0.0,0.0625,-2.174653,0.0625,dumbbell,3,2,proxy,1.0
396,20.6871572175587,0.6304161722192407,6.2477603,4.0197754,0.0,0.0625,-2.227985,0.0625,dumbbell,3,2,proxy,1.0
284,21.91585625197931,0.6102551047361482,6.2537775,4.1166916,0.0,0.0,-2.137086,0.0,dumbbell,3,2,proxy,1.0
901,23.44585625186358,0.5082675590745249,6.2641764,3.8026605,0.0,1.0,-2.461516,1.0,dumbbell,3,2,proxy,1.0
1458,24.549714546895707,0.6972535050874872,6.216394,3.829534,0.0,1.0,-2.38686,1.0,dumbbell,3,2,proxy,1.0
1284,25.55038957726139,0.6514219862655042,6.2392845,4.064987,0.0,0.3125,-2.1742973,0.3125,dumbbell,3,2,proxy,1.0
1388,26.561196047542655,0.3983477560315827,6.569672,4.34307,0.3125,0.3125,-2.226602,0.0,dumbbell,3,2,proxy,1.0
127,27.768742746266398,0.30597540531788275,6.6119585,3.928174,0.125,0.1875,-2.6837845,0.0625,dumbbell,3,2,proxy,1.0
111,29.882253016076113,0.9187766179948343,6.2195807,4.502777,0.0,0.75,-1.7168036,0.75,dumbbell,3,2,proxy,1.0
1417,30.937341936615745,0.0,6.1935577,4.144086,0.0,0.5,-2.0494719,0.5,dumbbell,3,2,proxy,1.0
1462,32.120047420248305,0.38991240559660345,6.286139,4.3368073,0.0,0.375,-1.9493318,0.375,dumbbell,3,2,proxy,1.0
728,33.36074304377957,0.5721877276308591,6.2244015,3.7089894,0.0,1.0,-2.515412,1.0,dumbbell,3,2,proxy,1.0
1346,34.71664022590806,0.983190671610328,6.354746,3.8342571,0.0,0.875,-2.5204887,0.875,dumbbell,3,2,proxy,1.0
328,36.131382873626684,0.8580219828519529,6.293107,4.0394263,0.0,1.0,-2.2536807,1.0,dumbbell,3,2,proxy,1.0
1068,37.14718994756327,0.663500173340088,6.1373663,4.2039847,0.0,0.0625,-1.9333816,0.0625,dumbbell,3,2,proxy,1.0
1206,38.100170918530225,0.1653213468984623,6.2370644,4.3214808,0.0,0.6875,-1.9155836,0.6875,dumbbell,3,2,proxy,1.0
262,39.19645508582031,0.5869745297377524,6.37587,3.542564,0.0625,0.6875,-2.8333063,0.625,dumbbell,3,2,proxy,1.0
1456,39.88582782178432,0.31009513318899207,6.2171335,4.2126093,0.0,0.0625,-2.0045242,0.0625,dumbbell,3,2,proxy,1.0
365,40.4846184228996,0.5994761537792614,6.2664113,3.3915024,0.0,0.125,-2.874909,0.125,dumbbell,3,2,proxy,1.0
640,41.322663792160135,0.792458814157699,6.381513,4.6974297,0.0625,0.9375,-1.6840835,0.875,dumbbell,3,2,proxy,1.0
740,41.816268497392144,0.8196371553918186,6.3004847,4.470708,0.0,1.0,-1.8297768,1.0,dumbbell,3,2,proxy,1.0
669,42.55309436516004,0.855345517694568,6.4516406,4.6385803,0.0625,1.0,-1.8130603,0.9375,dumbbell,3,2,proxy,1.0
849,43.30804105347824,0.7634599292030817,6.2399144,4.6360335,0.0,0.75,-1.6038809,0.75,dumbbell,3,2,proxy,1.0
1469,43.935730350503356,0.3617317020880567,6.314404,3.3811443,0.0,0.5,-2.9332597,0.5,dumbbell,3,2,proxy,1.0
810,44.51833485119414,0.45585541768355986,6.293654,4.6761236,0.0,1.0,-1.6175303,1.0,dumbbell,3,2,proxy,1.0
1160,44.9934201443465,0.9191602700325693,6.326379,4.9723816,0.0625,1.0,-1.3539972,0.9375,dumbbell,3,2,proxy,1.0
1413,45.44253688655823,1.057487521377804,6.3440623,5.116618,0.0625,1.0,-1.2274442,0.9375,dumbbell,3,2,proxy,1.0
572,45.80301317641556,0.9271398643062388,6.334337,4.816436,0.0625,1.0,-1.5179014,0.9375,dumbbell,3,2,proxy,1.0
1001,45.99990059097455,1.0441448820406956,6.3167515,5.0326085,0.0,0.8125,-1.284143,0.8125,dumbbell,3,2,proxy,1.0
1341,46.119206786426425,0.6913851555453671,6.424229,4.1406302,0.25,0.4375,-2.283599,0.1875,dumbbell,3,2,proxy,1.0
599,46.18157932334591,0.05335776505574038,6.3116674,3.4084597,0.0,0.4375,-2.9032078,0.4375,dumbbell,3,2,proxy,1.0
338,-100.4865205510218,0.24539920205218224,6.958789,4.3353987,0.875,0.9375,-2.6233902,0.0625,dumbbell,3,2,random,0.9666666666666667
1340,-45.64175449353797,0.173789367862249,6.853966,4.250559,0.6875,0.875,-2.6034074,0.1875,dumbbell,3,2,random,0.9666666666666667
794,-17.021994135603165,0.200748356806386,6.773042,4.4504614,0.25,0.875,-2.3225808,0.625,dumbbell,3,2,random,0.9666666666666667
1232,2.8282630004963543,0.2769360279158468,6.569928,4.154831,0.25,0.5625,-2.4150972,0.3125,dumbbell,3,2,random,0.9666666666666667
1177,9.040940704596613,0.0,6.408844,4.0538616,0.0,0.875,-2.3549824,0.875,dumbbell,3,2,random,0.9666666666666667
738,9.465931633652058,0.3132260548328401,6.327864,4.2617283,0.0,0.625,-2.066136,0.625,dumbbell,3,2,random,0.9666666666666667
788,9.909061578479333,0.32891901451305994,6.3524094,4.031082,0.0,0.8125,-2.3213272,0.8125,dumbbell,3,2,random,0.9666666666666667
1368,10.49659367764139,0.0908734336109548,6.188147,3.824541,0.0,0.0,-2.363606,0.0,dumbbell,3,2,random,0.9666666666666667
341,11.252825018720136,0.2317388200152033,6.372893,4.01287,0.0,0.375,-2.360023,0.375,dumbbell,3,2,random,0.9666666666666667
1286,11.992224735191686,0.16936623465044598,6.3071465,3.8732872,0.0,0.5625,-2.4338593,0.5625,dumbbell,3,2,random,0.9666666666666667
449,12.82042931327384,0.194327676634597,6.279978,3.7698703,0.0,0.1875,-2.5101075,0.1875,dumbbell,3,2,random,0.9666666666666667
101,13.714708028124635,0.11713364685159476,6.1544333,3.7550535,0.0,0.0625,-2.3993797,0.0625,dumbbell,3,2,random,0.9666666666666667
831,14.725174522212512,0.28988300962294083,6.2352066,4.2319427,0.0,0.375,-2.003264,0.375,dumbbell,3,2,random,0.9666666666666667
1299,15.840421206216279,0.1945415754040083,6.160616,3.791857,0.0,0.0625,-2.368759,0.0625,dumbbell,3,2,random,0.9666666666666667
792,16.63718415692145,0.37572189771384923,6.2257767,4.0654235,0.0,0.375,-2.1603532,0.375,dumbbell,3,2,random,0.9666666666666667
1405,17.635985366943924,0.3241568548751332,6.2842207,4.2243795,0.0,0.6875,-2.0598412,0.6875,dumbbell,3,2,random,0.9666666666666667
900,18.34590721736632,0.1944883333716207,6.2605133,3.9888425,0.0,0.1875,-2.2716708,0.1875,dumbbell,3,2,random,0.9666666666666667
1326,19.52390372753703,0.3548348076253251,6.2745943,4.1540556,0.0,0.8125,-2.1205387,0.8125,dumbbell,3,2,random,0.9666666666666667
396,20.6871572175587,0.26195431802078467,6.2477603,4.0268245,0.0,0.5,-2.2209358,0.5,dumbbell,3,2,random,0.9666666666666667
284,21.91585625197931,0.4915151234674421,6.2537775,4.309749,0.0,0.9375,-1.9440284,0.9375,dumbbell,3,2,random,0.9666666666666667
901,23.44585625186358,0.4784734143995902,6.2641764,4.2475863,0.0,0.75,-2.01659,0.75,dumbbell,3,2,random,0.9666666666666667
1458,24.549714546895707,0.23713434969670666,6.216394,3.6674204,0.0,0.0625,-2.5489736,0.0625,dumbbell,3,2,random,0.9666666666666667
1284,25.55038957726139,0.28044308319816724,6.2392845,4.0218716,0.0,0.5,-2.217413,0.5,dumbbell,3,2,random,0.9666666666666667
1388,26.561196047542655,0.2059898022385381,6.569672,3.9486432,0.3125,0.375,-2.621029,0.0625,dumbbell,3,2,random,0.9666666666666667
127,27.768742746266398,0.11146733432723722,6.6119585,3.5791354,0.125,0.3125,-3.032823,0.1875,dumbbell,3,2,random,0.9666666666666667
111,29.882253016076113,0.16945160628983102,6.2195807,3.7818253,0.0,0.375,-2.4377553,0.375,dumbbell,3,2,random,0.9666666666666667
1417,30.937341936615745,0.5274776592143211,6.1935577,4.0909023,0.0,0.9375,-2.1026554,0.9375,dumbbell,3,2,random,0.9666666666666667
1462,32.120047420248305,0.19473175647687518,6.286139,3.950075,0.0,0.25,-2.336064,0.25,dumbbell,3,2,random,0.9666666666666667
728,33.36074304377957,0.1635182359181388,6.2244015,3.7403677,0.0,0.125,-2.4840338,0.125,dumbbell,3,2,random,0.9666666666666667
1346,34.71664022590806,0.4084671415039647,6.354746,4.2182655,0.0,0.6875,-2.1364803,0.6875,dumbbell,3,2,random,0.9666666666666667
328,36.131382873626684,0.3979028274611723,6.293107,3.7630796,0.0,0.3125,-2.5300274,0.3125,dumbbell,3,2,random,0.9666666666666667
1068,37.14718994756327,0.301290260424959,6.1373663,3.9804525,0.0,0.25,-2.1569138,0.25,dumbbell,3,2,random,0.9666666666666667
1206,38.100170918530225,0.41267938141390714,6.2370644,3.970981,0.0,0.75,-2.2660835,0.75,dumbbell,3,2,random,0.9666666666666667
262,39.19645508582031,0.3183502518838377,6.37587,3.9876091,0.0625,0.375,-2.388261,0.3125,dumbbell,3,2,random,0.9666666666666667
1456,39.88582782178432,0.150736719736691,6.2171335,3.7391438,0.0,0.0625,-2.4779897,0.0625,dumbbell,3,2,random,0.9666666666666667
365,40.4846184228996,0.15121806962020343,6.2664113,3.8680954,0.0,0.125,-2.398316,0.125,dumbbell,3,2,random,0.9666666666666667
640,41.322663792160135,0.3660712100427269,6.381513,4.172675,0.0625,0.4375,-2.208838,0.375,dumbbell,3,2,random,0.9666666666666667
740,41.816268497392144,0.23434570608484334,6.3004847,4.0914135,0.0,0.5625,-2.2090712,0.5625,dumbbell,3,2,random,0.9666666666666667
669,42.55309436516004,0.07076060827977289,6.4516406,4.261813,0.0625,0.3125,-2.1898274,0.25,dumbbell,3,2,random,0.9666666666666667
849,43.30804105347824,0.36728339507251695,6.2399144,3.9052973,0.0,0.5625,-2.3346171,0.5625,dumbbell,3,2,random,0.9666666666666667
1469,43.935730350503356,0.2277256796310131,6.314404,3.8915265,0.0,0.0625,-2.4228776,0.0625,dumbbell,3,2,random,0.9666666666666667
810,44.51833485119414,0.15105848019626694,6.293654,3.1970491,0.0,0.1875,-3.0966048,0.1875,dumbbell,3,2,random,0.9666666666666667
1160,44.9934201443465,0.2408351079597323,6.326379,3.9351964,0.0625,0.5,-2.3911824,0.4375,dumbbell,3,2,random,0.9666666666666667
1413,45.44253688655823,0.2781275729696853,6.3440623,3.7415702,0.0625,0.0,-2.602492,-0.0625,dumbbell,3,2,random,0.9666666666666667
572,45.80301317641556,0.48381506502123306,6.334337,4.3636427,0.0625,0.5625,-1.9706945,0.5,dumbbell,3,2,random,0.9666666666666667
1001,45.99990059097455,0.0,6.3167515,3.3921666,0.0,0.625,-2.9245849,0.625,dumbbell,3,2,random,0.9666666666666667
1341,46.119206786426425,0.48244767695898927,6.424229,4.319586,0.25,0.8125,-2.1046433,0.5625,dumbbell,3,2,random,0.9666666666666667
599,46.18157932334591,0.1627237801634519,6.3116674,3.6490133,0.0,0.25,-2.6626542,0.25,dumbbell,3,2,random,0.9666666666666667
1429,-124.22097461094185,0.4413883482312845,7.218891,4.8178916,0.625,0.875,-2.4009995,0.25,dumbbell,4,0,proxy,1.0
658,-41.26833952783466,0.3557873328626,7.1529245,4.610322,0.5,0.8125,-2.5426025,0.3125,dumbbell,4,0,proxy,1.0
858,-2.5063014294922756,0.708265056941858,7.1672316,4.7986746,0.4375,0.6875,-2.368557,0.25,dumbbell,4,0,proxy,1.0
259,18.77073292870703,0.5949296442535204,6.7015076,4.6657434,0.0,0.0,-2.0357642,0.0,dumbbell,4,0,proxy,1.0
287,19.86177820867767,0.34580297368348273,7.125518,4.318778,0.3125,0.9375,-2.8067398,0.625,dumbbell,4,0,proxy,1.0
309,21.018974740731277,0.9021232131682014,6.7337637,4.060108,0.0,0.0,-2.6736555,0.0,dumbbell,4,0,proxy,1.0
16,22.41873702949533,0.7926757321566233,6.7498317,3.844471,0.0,0.0,-2.9053607,0.0,dumbbell,4,0,proxy,1.0
617,23.786151005642594,0.5160442989644876,6.713856,4.544648,0.0,0.25,-2.169208,0.25,dumbbell,4,0,proxy,1.0
1183,25.20575650968239,0.8221319001067955,6.75525,4.0040007,0.0,0.0,-2.7512493,0.0,dumbbell,4,0,proxy,1.0
548,27.18211491458461,0.5135391741009783,7.147262,4.522117,0.5625,0.875,-2.625145,0.3125,dumbbell,4,0,proxy,1.0
76,29.00249346829463,0.5217586929694996,6.71327,4.638747,0.0,0.5,-2.074523,0.5,dumbbell,4,0,proxy,1.0
532,30.41647193639673,0.48635266740586375,6.7419753,4.6157584,0.0,0.0,-2.126217,0.0,dumbbell,4,0,proxy,1.0
723,32.11862276613711,0.512832808141116,6.7481785,4.561422,0.0,0.1875,-2.1867566,0.1875,dumbbell,4,0,proxy,1.0
260,33.88239941385354,0.26242951407490706,6.773988,4.575491,0.0,0.1875,-2.1984968,0.1875,dumbbell,4,0,proxy,1.0
457,35.45114581424134,0.7350163089319037,6.751241,4.0372243,0.0,0.0625,-2.714017,0.0625,dumbbell,4,0,proxy,1.0
453,37.05621836307845,0.39886906807563915,7.0861835,4.5979633,0.125,0.5,-2.4882202,0.375,dumbbell,4,0,proxy,1.0
191,38.87980650917191,0.4141707038109165,6.754113,4.653533,0.0,0.1875,-2.1005802,0.1875,dumbbell,4,0,proxy,1.0
729,40.7086271456449,0.755270003808936,6.700224,4.5406675,0.0,0.1875,-2.1595564,0.1875,dumbbell,4,0,proxy,1.0
315,42.70837749959867,0.2522867173348337,6.73812,4.587396,0.0,0.25,-2.150724,0.25,dumbbell,4,0,proxy,1.0
795,44.36567792070182,0.9304122287132125,6.7957196,3.9916055,0.0,0.3125,-2.804114,0.3125,dumbbell,4,0,proxy,1.0
683,46.66510615905435,0.3820139159089477,6.7957764,3.8276157,0.0,0.0625,-2.9681606,0.0625,dumbbell,4,0,proxy,1.0
45,48.44291997521592,0.38381315341434086,6.7549324,4.4530926,0.0,0.25,-2.3018398,0.25,dumbbell,4,0,proxy,1.0
347,50.393065993904266,0.43178537868298816,6.7997103,3.9918823,0.0,0.1875,-2.807828,0.1875,dumbbell,4,0,proxy,1.0
587,52.21490931669625,0.732184601157631,6.835202,4.020426,0.0625,0.4375,-2.8147764,0.375,dumbbell,4,0,proxy,1.0
711,53.661867570734216,0.37258250563804995,6.7625446,4.555019,0.0,0.125,-2.2075257,0.125,dumbbell,4,0,proxy,1.0
445,55.53204122592698,0.7406683307759959,6.812771,4.063483,0.0,0.1875,-2.7492876,0.1875,dumbbell,4,0,proxy,1.0
825,56.933720278313174,0.5058951277211183,6.836351,4.041513,0.0625,0.0625,-2.794838,0.0,dumbbell,4,0,proxy,1.0
937,58.177177523815786,0.543228894572126,7.0578375,4.44787,0.0625,0.875,-2.6099677,0.8125,dumbbell,4,0,proxy,1.0
1281,59.71348852756927,0.7587683695820964,6.744465,4.174079,0.0,0.4375,-2.570386,0.4375,dumbbell,4,0,proxy,1.0
1052,61.3815811776446,0.4578476428903022,6.8090143,3.8665311,0.0,0.0625,-2.9424832,0.0625,dumbbell,4,0,proxy,1.0
663,63.026919728047105,0.903940774531319,6.856497,4.2882624,0.0625,0.5625,-2.5682344,0.5,dumbbell,4,0,proxy,1.0
232,64.23072613329994,0.8291439789275956,6.7827854,4.744228,0.0,0.9375,-2.0385575,0.9375,dumbbell,4,0,proxy,1.0
1228,65.5373806157595,1.054069754811696,6.911533,4.887679,0.1875,1.0,-2.0238538,0.8125,dumbbell,4,0,proxy,1.0
208,66.99517712153488,0.8729126755725,6.7947664,4.014842,0.0,0.375,-2.7799244,0.375,dumbbell,4,0,proxy,1.0
632,68.6399431002526,0.5447190566303703,6.9263954,4.2765765,0.125,0.75,-2.649819,0.625,dumbbell,4,0,proxy,1.0
1003,70.0240792685493,0.36362010149718826,6.871407,4.6729918,0.0625,0.25,-2.1984153,0.1875,dumbbell,4,0,proxy,1.0
218,71.32024137860758,0.310143975517294,6.927329,4.681191,0.0625,0.375,-2.246138,0.3125,dumbbell,4,0,proxy,1.0
185,72.15227538141214,0.28433545674456656,6.9076376,4.427875,0.0625,0.9375,-2.4797626,0.875,dumbbell,4,0,proxy,1.0
157,73.35409518317233,0.8099150963058265,6.875995,4.0315332,0.0625,0.25,-2.844462,0.1875,dumbbell,4,0,proxy,1.0
266,74.30845590672851,0.6903548674672275,6.958582,4.822939,0.0,0.9375,-2.135643,0.9375,dumbbell,4,0,proxy,1.0
826,75.16876133231663,0.0,6.97649,4.6682787,0.125,0.75,-2.3082113,0.625,dumbbell,4,0,proxy,1.0
284,75.57300477880315,0.0,6.8471212,3.475206,0.0,0.5,-3.3719153,0.5,dumbbell,4,0,proxy,1.0
1330,76.14862705922984,0.7419210460625514,6.9374266,4.736445,0.0625,0.875,-2.2009816,0.8125,dumbbell,4,0,proxy,1.0
484,76.78270529710801,0.6677878224535263,6.941705,4.5063777,0.0625,0.75,-2.4353275,0.6875,dumbbell,4,0,proxy,1.0
618,77.0953745690754,0.5501277510760023,6.9288006,4.4172564,0.0625,0.5625,-2.5115442,0.5,dumbbell,4,0,proxy,1.0
1479,77.39583562834444,0.4793088085506778,6.9424524,4.1159296,0.0625,0.1875,-2.8265228,0.125,dumbbell,4,0,proxy,1.0
1392,77.58133894518299,0.36656561265993076,6.9758844,4.151025,0.25,0.6875,-2.8248596,0.4375,dumbbell,4,0,proxy,1.0
670,77.72251132236879,0.0,6.881192,4.348636,0.0625,0.5,-2.532556,0.4375,dumbbell,4,0,proxy,1.0
1429,-124.22097461094185,0.3630340794937831,7.218891,5.1291804,0.625,0.6875,-2.0897107,0.0625,dumbbell,4,0,random,0.8833333333333333
658,-41.26833952783466,0.1486540653717925,7.1529245,5.0775833,0.5,1.0,-2.0753412,0.5,dumbbell,4,0,random,0.8833333333333333
858,-2.5063014294922756,0.23330594905137264,7.1672316,5.04251,0.4375,0.75,-2.1247215,0.3125,dumbbell,4,0,random,0.8833333333333333
259,18.77073292870703,0.2004503832893162,6.7015076,4.570796,0.0,0.0625,-2.1307116,0.0625,dumbbell,4,0,random,0.8833333333333333
287,19.86177820867767,0.2756947909661841,7.125518,5.039521,0.3125,0.5625,-2.0859966,0.25,dumbbell,4,0,random,0.8833333333333333
309,21.018974740731277,0.18038933734456536,6.7337637,4.5657954,0.0,0.0625,-2.1679683,0.0625,dumbbell,4,0,random,0.8833333333333333
16,22.41873702949533,0.4493983526725382,6.7498317,4.5580254,0.0,0.0,-2.1918063,0.0,dumbbell,4,0,random,0.8833333333333333
617,23.786151005642594,0.26437114294727715,6.713856,4.6207924,0.0,0.0625,-2.0930638,0.0625,dumbbell,4,0,random,0.8833333333333333
1183,25.20575650968239,0.0,6.75525,4.0755267,0.0,0.75,-2.6797233,0.75,dumbbell,4,0,random,0.8833333333333333
548,27.18211491458461,0.3746352808555059,7.147262,5.1144753,0.5625,1.0,-2.0327868,0.4375,dumbbell,4,0,random,0.8833333333333333
76,29.00249346829463,0.41508615905892593,6.71327,4.75774,0.0,0.0,-1.9555302,0.0,dumbbell,4,0,random,0.8833333333333333
532,30.41647193639673,0.6244457720094855,6.7419753,4.70564,0.0,0.0,-2.0363355,0.0,dumbbell,4,0,random,0.8833333333333333
723,32.11862276613711,0.38311407683009024,6.7481785,4.6994467,0.0,0.0,-2.0487318,0.0,dumbbell,4,0,random,0.8833333333333333
260,33.88239941385354,0.4823501298744637,6.773988,4.774663,0.0,0.125,-1.9993248,0.125,dumbbell,4,0,random,0.8833333333333333
457,35.45114581424134,0.4009390140741274,6.751241,4.211881,0.0,0.0,-2.53936,0.0,dumbbell,4,0,random,0.8833333333333333
453,37.05621836307845,0.0,7.0861835,5.042428,0.125,0.875,-2.0437555,0.75,dumbbell,4,0,random,0.8833333333333333
191,38.87980650917191,0.46213996892139986,6.754113,4.597325,0.0,0.0,-2.1567883,0.0,dumbbell,4,0,random,0.8833333333333333
729,40.7086271456449,0.0,6.700224,4.618429,0.0,0.5625,-2.0817947,0.5625,dumbbell,4,0,random,0.8833333333333333
315,42.70837749959867,0.40686235654326136,6.73812,4.791049,0.0,0.125,-1.9470711,0.125,dumbbell,4,0,random,0.8833333333333333
795,44.36567792070182,0.12752366936107462,6.7957196,4.6064606,0.0,0.0625,-2.189259,0.0625,dumbbell,4,0,random,0.8833333333333333
683,46.66510615905435,0.4561371474126855,6.7957764,4.733585,0.0,0.1875,-2.0621915,0.1875,dumbbell,4,0,random,0.8833333333333333
45,48.44291997521592,0.39160207207588776,6.7549324,4.625684,0.0,0.0625,-2.1292486,0.0625,dumbbell,4,0,random,0.8833333333333333
347,50.393065993904266,0.42598504300423523,6.7997103,4.73934,0.0,0.375,-2.0603704,0.375,dumbbell,4,0,random,0.8833333333333333
587,52.21490931669625,0.26452407885632956,6.835202,4.5573006,0.0625,0.125,-2.2779016,0.0625,dumbbell,4,0,random,0.8833333333333333
711,53.661867570734216,0.3585485762098226,6.7625446,4.8173013,0.0,0.1875,-1.9452434,0.1875,dumbbell,4,0,random,0.8833333333333333
445,55.53204122592698,0.21072875633858087,6.812771,4.682016,0.0,0.0625,-2.130755,0.0625,dumbbell,4,0,random,0.8833333333333333
825,56.933720278313174,0.0,6.836351,4.629814,0.0625,0.9375,-2.2065368,0.875,dumbbell,4,0,random,0.8833333333333333
937,58.177177523815786,0.4840350217108354,7.0578375,4.9911695,0.0625,0.3125,-2.066668,0.25,dumbbell,4,0,random,0.8833333333333333
1281,59.71348852756927,0.23448823271125113,6.744465,4.7095075,0.0,0.0625,-2.0349574,0.0625,dumbbell,4,0,random,0.8833333333333333
1052,61.3815811776446,0.5132264246423129,6.8090143,4.3570805,0.0,0.125,-2.4519339,0.125,dumbbell,4,0,random,0.8833333333333333
663,63.026919728047105,0.3577774564093324,6.856497,4.6773834,0.0625,0.0625,-2.1791134,0.0,dumbbell,4,0,random,0.8833333333333333
232,64.23072613329994,0.26224273083031,6.7827854,4.744338,0.0,0.125,-2.0384474,0.125,dumbbell,4,0,random,0.8833333333333333
1228,65.5373806157595,0.491442575223472,6.911533,4.6037593,0.1875,0.25,-2.3077736,0.0625,dumbbell,4,0,random,0.8833333333333333
208,66.99517712153488,0.16275382145584136,6.7947664,4.1788397,0.0,0.0,-2.6159267,0.0,dumbbell,4,0,random,0.8833333333333333
632,68.6399431002526,0.6610641735356804,6.9263954,4.9800787,0.125,0.5625,-1.9463167,0.4375,dumbbell,4,0,random,0.8833333333333333
1003,70.0240792685493,0.36362010149718826,6.871407,4.6557627,0.0625,0.25,-2.2156444,0.1875,dumbbell,4,0,random,0.8833333333333333
218,71.32024137860758,0.4118318362479376,6.927329,4.755387,0.0625,0.1875,-2.1719422,0.125,dumbbell,4,0,random,0.8833333333333333
185,72.15227538141214,0.562987353865277,6.9076376,4.956652,0.0625,0.1875,-1.9509854,0.125,dumbbell,4,0,random,0.8833333333333333
157,73.35409518317233,0.25171846174810103,6.875995,4.7679234,0.0625,0.1875,-2.1080718,0.125,dumbbell,4,0,random,0.8833333333333333
266,74.30845590672851,0.21506595790622843,6.958582,4.920932,0.0,0.375,-2.03765,0.375,dumbbell,4,0,random,0.8833333333333333
826,75.16876133231663,0.14751338449932885,6.97649,4.671979,0.125,0.25,-2.304511,0.125,dumbbell,4,0,random,0.8833333333333333
284,75.57300477880315,0.16610650321090842,6.8471212,4.8082266,0.0,1.0,-2.0388947,1.0,dumbbell,4,0,random,0.8833333333333333
1330,76.14862705922984,0.1771714460000303,6.9374266,4.813763,0.0625,0.3125,-2.1236634,0.25,dumbbell,4,0,random,0.8833333333333333
484,76.78270529710801,0.42492291336696963,6.941705,4.74672,0.0625,0.25,-2.1949854,0.1875,dumbbell,4,0,random,0.8833333333333333
618,77.0953745690754,0.19772352477620964,6.9288006,4.7919145,0.0625,0.25,-2.1368861,0.1875,dumbbell,4,0,random,0.8833333333333333
1479,77.39583562834444,0.35940770864374383,6.9424524,4.8066874,0.0625,0.1875,-2.135765,0.125,dumbbell,4,0,random,0.8833333333333333
1392,77.58133894518299,0.4901280501284043,6.9758844,5.0883646,0.25,0.8125,-1.8875198,0.5625,dumbbell,4,0,random,0.8833333333333333
670,77.72251132236879,0.45502791132762294,6.881192,4.6996937,0.0625,0.125,-2.1814985,0.0625,dumbbell,4,0,random,0.8833333333333333
1145,-101.75821013469202,0.6463771357035083,7.1946783,4.974569,0.6875,1.0,-2.2201095,0.3125,dumbbell,4,1,proxy,1.0
1120,-25.02363663815223,0.6373420066088388,7.146668,4.7861547,0.3125,0.9375,-2.3605132,0.625,dumbbell,4,1,proxy,1.0
1073,9.529215295097089,0.8339015429055294,7.1383295,4.7960205,0.0625,0.9375,-2.342309,0.875,dumbbell,4,1,proxy,1.0
7,18.896641273675158,0.5434145356584761,6.7242894,4.582131,0.0,0.25,-2.1421585,0.25,dumbbell,4,1,proxy,1.0
275,19.734391664184674,0.5255812893666402,6.687203,4.5148826,0.0,0.375,-2.1723204,0.375,dumbbell,4,1,proxy,1.0
934,20.983366895129947,0.459176621862207,6.7640977,3.7421813,0.0,0.125,-3.0219164,0.125,dumbbell,4,1,proxy,1.0
1070,22.513675367806055,0.7796768327531399,7.054933,4.9156036,0.0625,1.0,-2.1393294,0.9375,dumbbell,4,1,proxy,1.0
220,24.08244545312524,0.903980586381042,6.7673798,3.76925,0.0,0.6875,-2.9981298,0.6875,dumbbell,4,1,proxy,1.0
410,25.364717166745777,0.5270237205865981,7.1588283,4.33827,0.25,1.0,-2.820558,0.75,dumbbell,4,1,proxy,1.0
316,26.852251252055584,0.20971088859839773,6.7320023,4.3135743,0.0,0.125,-2.418428,0.125,dumbbell,4,1,proxy,1.0
296,28.59699624854496,0.7440400162392223,6.7208347,3.9740114,0.0,0.4375,-2.7468233,0.4375,dumbbell,4,1,proxy,1.0
339,29.93927203842097,0.739659913576307,6.7551556,4.6576014,0.0,0.5,-2.0975542,0.5,dumbbell,4,1,proxy,1.0
1092,31.734101218547913,0.7425113348038168,6.729401,3.9856417,0.0,0.4375,-2.7437594,0.4375,dumbbell,4,1,proxy,1.0
951,33.50678589672378,0.46418472486226026,6.7470694,2.6198523,0.0,0.125,-4.1272173,0.125,dumbbell,4,1,proxy,1.0
881,35.278585206284205,0.21037952310923225,7.099074,4.059328,0.0625,0.4375,-3.0397458,0.375,dumbbell,4,1,proxy,1.0
395,37.720727593205254,0.6733932896767432,6.722098,4.5697956,0.0,0.5,-2.1523023,0.5,dumbbell,4,1,proxy,1.0
1036,39.279572726370986,0.5219209891460174,7.060165,4.4731817,0.0625,0.1875,-2.5869832,0.125,dumbbell,4,1,proxy,1.0
732,41.23069263666887,0.6594661499585528,6.747411,4.3774505,0.0,0.25,-2.3699603,0.25,dumbbell,4,1,proxy,1.0
