regime,kind,true_d,noise,rdhat,dhat_err,ks,iid,integ_sign_A_warped,integ_mag_A_warped,integ_sign_A_aug,integ_mag_A_aug,v4_m60_A,v4_m120_A,v3_defect_A,sent_A,ent_cak_A,frac_A,kappa_A,integ_sign_B_warped,integ_mag_B_warped,integ_sign_B_aug,integ_mag_B_aug,v4_m60_B,v4_m120_B,v3_defect_B,sent_B,ent_cak_B,frac_B,kappa_B,integ_sign_C_warped,integ_mag_C_warped,integ_sign_C_aug,integ_mag_C_aug,v4_m60_C,v4_m120_C,v3_defect_C,sent_C,ent_cak_C,frac_C,kappa_C,integ_sign_D_warped,integ_mag_D_warped,integ_sign_D_aug,integ_mag_D_aug,v4_m60_D,v4_m120_D,v3_defect_D,sent_D,ent_cak_D,frac_D,kappa_D
tier2,dumbbell,3,0.0,3,0,-162.54995942432336,tier2-dumbbell-d3-nz0.0-s0-g0,-0.4966131642628802,-3.122022426927484,-0.49454688255252693,-3.295542064416094,-192364835.733507,-282.99959321300213,-1.5716174734071946,-3.0049527428283764,-5.230732782639672,-56.376134837009694,-15.382034916829584,-0.4966131642628802,-3.122022426927484,-0.49454688255252693,-3.295542064416094,-192364835.733507,-282.99959321300213,-1.5716174734071946,-3.0049527428283764,-5.230732782639672,-56.376134837009694,-15.382034916829584,-0.4966131642628802,-3.122022426927484,-0.49454688255252693,-3.295542064416094,-192364835.733507,-282.99959321300213,-1.5716174734071946,-3.0049527428283764,-5.230732782639672,-56.376134837009694,-15.382034916829584,-0.4966131642628802,-3.122022426927484,-0.49454688255252693,-3.295542064416094,-192364835.733507,-282.99959321300213,-1.5716174734071946,-3.0049527428283764,-5.230732782639672,-56.376134837009694,-15.382034916829584
tier2,dumbbell,3,0.0,3,0,-36.43864559268296,tier2-dumbbell-d3-nz0.0-s0-g0,-0.4907795745387609,-0.22875373804749868,-0.4772976000078574,-0.320417968759607,-37458391.4105883,-91.68957926698909,-1.5373789025940077,11.499221571037092,-2.741925466754389,-42.20831037535281,-14.269755015299731,-0.4907795745387609,-0.22875373804749868,-0.4772976000078574,-0.320417968759607,-37458391.4105883,-91.68957926698909,-1.5373789025940077,11.499221571037092,-2.741925466754389,-42.20831037535281,-14.269755015299731,-0.4907795745387609,-0.22875373804749868,-0.4772976000078574,-0.320417968759607,-37458391.4105883,-91.68957926698909,-1.5373789025940077,11.499221571037092,-2.741925466754389,-42.20831037535281,-14.269755015299731,-0.4907795745387609,-0.22875373804749868,-0.4772976000078574,-0.320417968759607,-37458391.4105883,-91.68957926698909,-1.5373789025940077,11.499221571037092,-2.741925466754389,-42.20831037535281,-14.269755015299731
tier2,dumbbell,3,0.0,3,0,9.154292174181743,tier2-dumbbell-d3-nz0.0-s0-g0,0.4886333660368152,0.08818695430371681,0.4935299739319067,0.1159367910813168,21072717.212553505,33.606666687933846,0.8550305360542361,31.50324437744983,-2.36715242782768,0.2951630096178518,3.4704943552818373,0.4886333660368152,0.08818695430371681,0.4935299739319067,0.1159367910813168,21072717.212553505,33.606666687933846,0.8550305360542361,31.50324437744983,-2.36715242782768,0.2951630096178518,3.4704943552818373,0.4886333660368152,0.08818695430371681,0.4935299739319067,0.1159367910813168,21072717.212553505,33.606666687933846,0.8550305360542361,31.50324437744983,-2.36715242782768,0.2951630096178518,3.4704943552818373,0.4886333660368152,0.08818695430371681,0.4935299739319067,0.1159367910813168,21072717.212553505,33.606666687933846,0.8550305360542361,31.50324437744983,-2.36715242782768,0.2951630096178518,3.4704943552818373
tier2,dumbbell,3,0.0,3,0,9.8066659868358,tier2-dumbbell-d3-nz0.0-s0-g0,0.4948991196048267,0.19487989067947625,0.49298537646407936,0.15006473645820717,23445702.47947314,38.58736320490636,1.6763630720682514,33.230085940609285,-1.1139949597684426,0.2951630096178518,3.4722122187431905,0.4948991196048267,0.19487989067947625,0.49298537646407936,0.15006473645820717,23445702.47947314,38.58736320490636,1.6763630720682514,33.230085940609285,-1.1139949597684426,0.2951630096178518,3.4722122187431905,0.4948991196048267,0.19487989067947625,0.49298537646407936,0.15006473645820717,23445702.47947314,38.58736320490636,1.6763630720682514,33.230085940609285,-1.1139949597684426,0.2951630096178518,3.4722122187431905,0.4948991196048267,0.19487989067947625,0.49298537646407936,0.15006473645820717,23445702.47947314,38.58736320490636,1.6763630720682514,33.230085940609285,-1.1139949597684426,0.2951630096178518,3.4722122187431905
tier2,dumbbell,3,0.0,3,0,10.838726982351952,tier2-dumbbell-d3-nz0.0-s0-g0,0.49914386053821247,0.16966822740961443,0.49849733585629596,0.1408023294350502,26374527.842064343,41.18241781162323,2.4528647415328124,31.526101871000474,-1.4053590532445719,0.2951630096178518,4.152939473617172,0.49914386053821247,0.16966822740961443,0.49849733585629596,0.1408023294350502,26374527.842064343,41.18241781162323,2.4528647415328124,31.526101871000474,-1.4053590532445719,0.2951630096178518,4.152939473617172,0.49914386053821247,0.16966822740961443,0.49849733585629596,0.1408023294350502,26374527.842064343,41.18241781162323,2.4528647415328124,31.526101871000474,-1.4053590532445719,0.2951630096178518,4.152939473617172,0.49914386053821247,0.16966822740961443,0.49849733585629596,0.1408023294350502,26374527.842064343,41.18241781162323,2.4528647415328124,31.526101871000474,-1.4053590532445719,0.2951630096178518,4.152939473617172
tier2,dumbbell,3,0.0,3,0,12.917043599952592,tier2-dumbbell-d3-nz0.0-s0-g0,0.4987659887012933,0.4386671621107744,0.49752688334746176,0.3063272194718348,28788891.95406347,50.97808555505543,3.0298971433600124,36.012884651637556,-1.4269567108758348,0.2951630096178518,6.1517070171668635,0.4987659887012933,0.4386671621107744,0.49752688334746176,0.3063272194718348,28788891.95406347,50.97808555505543,3.0298971433600124,36.012884651637556,-1.4269567108758348,0.2951630096178518,6.1517070171668635,0.4987659887012933,0.4386671621107744,0.49752688334746176,0.3063272194718348,28788891.95406347,50.97808555505543,3.0298971433600124,36.012884651637556,-1.4269567108758348,0.2951630096178518,6.1517070171668635,0.4987659887012933,0.4386671621107744,0.49752688334746176,0.3063272194718348,28788891.95406347,50.97808555505543,3.0298971433600124,36.012884651637556,-1.4269567108758348,0.2951630096178518,6.1517070171668635
tier2,dumbbell,3,0.0,3,0,14.44658785259342,tier2-dumbbell-d3-nz0.0-s0-g0,0.4995665153187019,0.18850118168054966,0.49861520892747657,0.160390338101965,29795570.011469405,49.43973112642133,2.3625453190073795,30.699712670991403,-1.9044653172409307,0.2951630096178518,1.4118221433523632,0.4995665153187019,0.18850118168054966,0.49861520892747657,0.160390338101965,29795570.011469405,49.43973112642133,2.3625453190073795,30.699712670991403,-1.9044653172409307,0.2951630096178518,1.4118221433523632,0.4995665153187019,0.18850118168054966,0.49861520892747657,0.160390338101965,29795570.011469405,49.43973112642133,2.3625453190073795,30.699712670991403,-1.9044653172409307,0.2951630096178518,1.4118221433523632,0.4995665153187019,0.18850118168054966,0.49861520892747657,0.160390338101965,29795570.011469405,49.43973112642133,2.3625453190073795,30.699712670991403,-1.9044653172409307,0.2951630096178518,1.4118221433523632
tier2,dumbbell,3,0.0,3,0,16.797610223826386,tier2-dumbbell-d3-nz0.0-s0-g0,0.4982737171931866,0.0697222657742717,0.4588960198685067,0.1510569280147803,36220177.85052888,54.309016444144376,-0.16137129657033514,33.95238701179138,-0.6952355462737358,0.2951630096178518,0.9906703021569985,0.4982737171931866,0.0697222657742717,0.4588960198685067,0.1510569280147803,36220177.85052888,54.309016444144376,-0.16137129657033514,33.95238701179138,-0.6952355462737358,0.2951630096178518,0.9906703021569985,0.4982737171931866,0.0697222657742717,0.4588960198685067,0.1510569280147803,36220177.85052888,54.309016444144376,-0.16137129657033514,33.95238701179138,-0.6952355462737358,0.2951630096178518,0.9906703021569985,0.4982737171931866,0.0697222657742717,0.4588960198685067,0.1510569280147803,36220177.85052888,54.309016444144376,-0.16137129657033514,33.95238701179138,-0.6952355462737358,0.2951630096178518,0.9906703021569985
tier2,dumbbell,3,0.0,3,0,19.1007228678702,tier2-dumbbell-d3-nz0.0-s0-g0,0.49988261447764004,0.2887774594041831,0.49919347340914644,0.284676836818398,44589647.7298865,63.80738503480249,4.037278140253556,32.353292264111644,-2.1477616917103917,0.2951630096178518,5.906791096480568,0.49988261447764004,0.2887774594041831,0.49919347340914644,0.284676836818398,44589647.7298865,63.80738503480249,4.037278140253556,32.353292264111644,-2.1477616917103917,0.2951630096178518,5.906791096480568,0.49988261447764004,0.2887774594041831,0.49919347340914644,0.284676836818398,44589647.7298865,63.80738503480249,4.037278140253556,32.353292264111644,-2.1477616917103917,0.2951630096178518,5.906791096480568,0.49988261447764004,0.2887774594041831,0.49919347340914644,0.284676836818398,44589647.7298865,63.80738503480249,4.037278140253556,32.353292264111644,-2.1477616917103917,0.2951630096178518,5.906791096480568
tier2,dumbbell,3,0.0,3,0,21.283702961270645,tier2-dumbbell-d3-nz0.0-s0-g0,0.49986432973989947,0.35952905416371955,0.49923949230826337,0.3022736950478662,46360228.302404195,64.60635273583883,3.9585156879716257,32.26622859999732,-1.7540923322862148,0.2951630096178518,0.11607311350990218,0.49986432973989947,0.35952905416371955,0.49923949230826337,0.3022736950478662,46360228.302404195,64.60635273583883,3.9585156879716257,32.26622859999732,-1.7540923322862148,0.2951630096178518,0.11607311350990218,0.49986432973989947,0.35952905416371955,0.49923949230826337,0.3022736950478662,46360228.302404195,64.60635273583883,3.9585156879716257,32.26622859999732,-1.7540923322862148,0.2951630096178518,0.11607311350990218,0.49986432973989947,0.35952905416371955,0.49923949230826337,0.3022736950478662,46360228.302404195,64.60635273583883,3.9585156879716257,32.26622859999732,-1.7540923322862148,0.2951630096178518,0.11607311350990218
