kind,dim,seed,noise,p,score,ks
dumbbell,3,0,0.0,208,-0.005856678753997327,-162.54995942432336
dumbbell,3,0,0.0,511,0.005309668942828829,-74.95970203819603
dumbbell,3,0,0.0,636,-0.002594653207464409,-27.1880401803554
dumbbell,3,0,0.0,1356,0.01750795076200842,6.24938970303236
dumbbell,3,0,0.0,1148,0.00887263794292082,9.357205730340135
dumbbell,3,0,0.0,1060,0.0009136228415071099,9.73978173531225
dumbbell,3,0,0.0,1328,0.0036049922354694855,10.343539587606124
dumbbell,3,0,0.0,957,0.005879096566848652,11.113889196786833
dumbbell,3,0,0.0,248,0.010985539938518037,12.499387785590539
dumbbell,3,0,0.0,291,0.0019498963331603253,13.201132412371196
dumbbell,3,0,0.0,282,0.00019200172935886217,14.33135331399123
dumbbell,3,0,0.0,1390,-0.0027205490482683295,15.412582687607921
dumbbell,3,0,0.0,417,-0.0007552536475823046,16.94999942537549
dumbbell,3,0,0.0,21,-0.004114410620266379,18.407492805442413
dumbbell,3,0,0.0,1026,0.0003234174282068028,19.742888200636123
dumbbell,3,0,0.0,944,0.0015536159568511829,20.93109518575691
dumbbell,3,0,0.0,759,-0.0022292181233169936,22.262073710848544
dumbbell,3,0,0.0,49,0.0015643430406639888,23.946187561847466
dumbbell,3,0,0.0,1197,-0.004335660546060067,25.32533056307868
dumbbell,3,0,0.0,1039,-0.0008119589085327887,26.66994041952738
dumbbell,3,0,0.0,769,-0.0059734774119816585,28.08929574552609
dumbbell,3,0,0.0,994,0.0005332795549938089,29.45990972926113
dumbbell,3,0,0.0,662,0.01715360261174542,31.275425390450874
dumbbell,3,0,0.0,973,-0.008011714779488761,32.66678464124537
dumbbell,3,0,0.0,1326,-0.0037342255001833746,34.09772237779084
dumbbell,3,0,0.0,1123,-0.004243505795543015,35.112467794463434
dumbbell,3,0,0.0,1035,0.007538640111138608,36.73115980052288
dumbbell,3,0,0.0,235,-0.005594100009759625,38.10959482144626
dumbbell,3,0,0.0,1302,-0.01730342973334108,39.18817135356253
dumbbell,3,0,0.0,430,-0.037790574889080934,40.712697724084435
dumbbell,3,0,0.0,1388,-0.004175718014965021,41.681986434549394
dumbbell,3,0,0.0,491,0.01671075972416486,42.77001054169692
dumbbell,3,0,0.0,604,-0.009337335155644465,43.79716356336398
dumbbell,3,0,0.0,1337,-0.015027246728890862,44.68615129783242
dumbbell,3,0,0.0,65,0.014557400902478698,45.233125417757044
dumbbell,3,0,0.0,493,0.013288158041579012,45.780305866886444
dumbbell,3,0,0.0,874,-0.002712357876231763,46.19927172362648
dumbbell,3,0,0.0,47,0.004081088986938923,46.58109716146477
dumbbell,3,0,0.0,858,0.011148150291470958,46.78366100056525
dumbbell,3,0,0.0,463,0.007173917939740905,46.88050407989436
