label,region,contr_meridian,contr_parallel,n_mer,n_par
c=1.0 s=0 dense,interior,2.374599832264802,2.1179847780448307,4076,454
c=1.0 s=0 dense,exterior,0.5675982090865024,0.7261654212882234,3510,442
c=1.0 s=0 sparse,interior,1.7782501400983717,2.0407610504050906,4076,454
c=1.0 s=0 sparse,exterior,1.6368574194643013,0.8048951348378208,3510,442
c=1.0 s=1 dense,interior,2.425630088084336,2.17940831616692,3902,488
c=1.0 s=1 dense,exterior,0.5676471088017584,0.7266056138789456,3544,442
c=1.0 s=1 sparse,interior,1.856851484479457,2.1103409702854723,3902,488
c=1.0 s=1 sparse,exterior,1.9529622216060951,1.0734037568365058,3544,442
c=2.0 s=0 dense,interior,2.8813252413156016,2.6412378230586,4582,354
c=2.0 s=0 dense,exterior,0.7395549233040358,0.8842125965897645,3988,340
c=2.0 s=0 sparse,interior,2.845679621711195,1.3827136354984302,4582,354
c=2.0 s=0 sparse,exterior,3.330229748694009,1.3258529792974314,3988,340
c=2.0 s=1 dense,interior,2.9585568377777554,2.5033927121652795,4310,390
c=2.0 s=1 dense,exterior,0.7283003077286683,0.8543456620429482,3968,364
c=2.0 s=1 sparse,interior,2.852443820238186,1.4563838833109297,4310,390
c=2.0 s=1 sparse,exterior,3.285083262774185,1.2445662822319332,3968,364
