kind,dim,seed,branch,ks,integ_sign,integ_mag,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
dumbbell,3,0,A,-22.548062598221478,-0.49118367422983056,-0.43397982845667804,-27546759.019421447,-41.651222365819216,-0.18950638660867775,2.137112515074344,-2.5085086406439263,-38.666354259938586,-10.508142153846103
dumbbell,3,0,A,-19.225024550522377,-0.48851776123087753,-0.2393245448601271,-36573272.88041438,-40.67764317890406,-0.006096345025096744,1.9458712675435073,-2.755201788999246,-49.29222260618125,-16.278486703417787
dumbbell,3,0,A,-11.762262800203482,-0.48361221827474354,-0.4288906704833239,-10406373.30066086,-20.40764886313104,1.5045484319419669,2.3561414737097404,-2.906118083916511,-28.040485913695925,-13.95282352981645
dumbbell,3,0,A,-3.5550526795521264,-0.49645577809728175,-0.5559335488674003,-3353577.702458511,-2.781018469289226,-0.2109252968222891,2.2380897188067035,-2.8309783160959325,-13.872661452039035,-10.36186938361294
dumbbell,3,0,A,2.5102588071524714,0.3968617214610437,0.1692418728602746,11714033.663815,14.562134290296793,1.354490158690403,2.458539642342905,-3.150025138783877,-24.4985297982817,-6.502432850347543
dumbbell,3,0,A,6.159382675542515,0.4933124042308681,0.16920503202540402,24009834.195963956,37.17883210739274,1.7453065237144914,14.345927976996723,-1.7649693977364533,0.2951630096178518,4.827236179051344
dumbbell,3,0,A,6.605360713324066,0.47271550039143584,0.09095419467629567,26797364.126611512,45.031410290113115,0.2920846426581677,16.926952900022954,-0.7801222948224504,0.2951630096178518,4.25007516649847
dumbbell,3,0,A,7.3857094587224115,0.4799058343531094,0.20347222411927116,19296786.58778909,22.563585874821275,1.8090333033763386,4.963599937296217,-2.293023216537443,-10.330705336624813,-20.734592421695744
dumbbell,3,0,A,8.355744883799076,0.49527912023869547,0.20253120951430426,34403482.0741885,54.5671148519795,2.607241384861913,15.21935666650953,-1.8026512034990279,0.2951630096178518,2.798556922681251
dumbbell,3,0,A,9.178669145217661,0.40739848034526593,0.18595235216733685,32559104.691356644,58.554172480144956,1.8089399129179342,16.477390294200028,-0.46354644584418,0.2951630096178518,1.4823396226162113
