instance,point,kind,dataset,dim,noise,seed,name,ks_true,kappa,frac,ent2,ent4
1,951,sphere,tier1,2,0.05,0,S2(r=0.7),4.940754995073699,0.1015923478599357,0.125,4.586010456085205,5.282186031341553
2,1269,sphere,tier1,2,0.15,0,S2(r=0.7),4.940754995073699,0.1333039056602694,0.0,4.453150749206543,5.136410713195801
2,112,sphere,tier1,2,0.15,0,S2(r=0.7),4.940754995073699,0.0869127896276705,0.0,4.560341835021973,5.15287446975708
2,24,sphere,tier1,2,0.15,0,S2(r=0.7),4.940754995073699,0.1213978482593931,0.0,4.690529823303223,5.365066051483154
2,764,sphere,tier1,2,0.15,0,S2(r=0.7),4.940754995073699,0.1733475957176865,0.0,4.676044464111328,5.329892635345459
2,460,sphere,tier1,2,0.15,0,S2(r=0.7),4.940754995073699,0.1524678926041286,0.0625,4.822486877441406,5.444971084594727
2,403,sphere,tier1,2,0.15,0,S2(r=0.7),4.940754995073699,0.1170273195698947,0.0,4.838593482971191,5.446403980255127
2,61,sphere,tier1,2,0.15,0,S2(r=0.7),4.940754995073699,0.0659845501955674,0.0,4.6446943283081055,5.288542747497559
2,951,sphere,tier1,2,0.15,0,S2(r=0.7),4.940754995073699,0.0654708158979156,0.0,4.617569446563721,5.320229530334473
3,1421,sphere,tier1,2,0.0,1,S2(r=0.7),4.937568035254563,0.1053650999569428,0.0625,4.708377838134766,5.376908302307129
3,706,sphere,tier1,2,0.0,1,S2(r=0.7),4.937568035254563,0.0858824508418144,0.0,4.643606662750244,5.336644172668457
3,52,sphere,tier1,2,0.0,1,S2(r=0.7),4.937568035254563,0.1161807829530183,0.0,4.56411075592041,5.265590667724609
3,1422,sphere,tier1,2,0.0,1,S2(r=0.7),4.937568035254563,0.1023350833314434,0.0,4.639654636383057,5.320455551147461
3,1233,sphere,tier1,2,0.0,1,S2(r=0.7),4.937568035254563,0.0819893164974537,0.0,4.503821849822998,5.240214347839356
3,215,sphere,tier1,2,0.0,1,S2(r=0.7),4.937568035254563,0.073416402313285,0.0,4.499955177307129,5.126189231872559
3,1128,sphere,tier1,2,0.0,1,S2(r=0.7),4.937568035254563,0.0875636256671552,0.0,4.463980674743652,5.117692947387695
3,764,sphere,tier1,2,0.0,1,S2(r=0.7),4.937568035254563,0.1049258708953708,0.0,4.66152286529541,5.282241821289063
4,1421,sphere,tier1,2,0.05,1,S2(r=0.7),4.937568035254563,0.1333199709169856,0.0625,4.718219757080078,5.384208679199219
4,706,sphere,tier1,2,0.05,1,S2(r=0.7),4.937568035254563,0.1103798045787658,0.0,4.6544694900512695,5.344034671783447
4,52,sphere,tier1,2,0.05,1,S2(r=0.7),4.937568035254563,0.114092978647686,0.0,4.574939250946045,5.2734694480896
4,1422,sphere,tier1,2,0.05,1,S2(r=0.7),4.937568035254563,0.0979328509211916,0.0,4.641270637512207,5.323409080505371
4,1233,sphere,tier1,2,0.05,1,S2(r=0.7),4.937568035254563,0.0814568584851525,0.0,4.514915466308594,5.249063968658447
4,215,sphere,tier1,2,0.05,1,S2(r=0.7),4.937568035254563,0.0823403611292952,0.0,4.507037162780762,5.133164882659912
4,1128,sphere,tier1,2,0.05,1,S2(r=0.7),4.937568035254563,0.096537526092201,0.0,4.470146179199219,5.1245646476745605
4,764,sphere,tier1,2,0.05,1,S2(r=0.7),4.937568035254563,0.0770855029526799,0.0,4.661372184753418,5.28590202331543
5,1421,sphere,tier1,2,0.15,1,S2(r=0.7),4.937568035254563,0.11101326894226,0.0625,4.778873920440674,5.437021255493164
5,706,sphere,tier1,2,0.15,1,S2(r=0.7),4.937568035254563,0.090700882594064,0.0,4.714653968811035,5.3969807624816895
5,52,sphere,tier1,2,0.15,1,S2(r=0.7),4.937568035254563,0.0946574219507492,0.0,4.638277530670166,5.329695224761963
5,1422,sphere,tier1,2,0.15,1,S2(r=0.7),4.937568035254563,0.1343188907390995,0.0,4.677412033081055,5.3642578125
5,1233,sphere,tier1,2,0.15,1,S2(r=0.7),4.937568035254563,0.1042349169100867,0.0,4.579129219055176,5.307654857635498
5,215,sphere,tier1,2,0.15,1,S2(r=0.7),4.937568035254563,0.0789890067380035,0.0,4.55678653717041,5.188200950622559
5,1128,sphere,tier1,2,0.15,1,S2(r=0.7),4.937568035254563,0.1133209778767425,0.0,4.517902851104736,5.178880214691162
5,764,sphere,tier1,2,0.15,1,S2(r=0.7),4.937568035254563,0.1040611833797279,0.0,4.688080310821533,5.323263168334961
6,137,sphere,tier1,2,0.0,2,S2(r=0.7),4.925490064133889,0.1233940879854475,0.0,4.753661632537842,5.390251159667969
6,390,sphere,tier1,2,0.0,2,S2(r=0.7),4.925490064133889,0.0977646706593923,0.0625,4.633875370025635,5.4657301902771
6,1250,sphere,tier1,2,0.0,2,S2(r=0.7),4.925490064133889,0.0423120151738765,0.0,4.553589344024658,5.229544639587402
6,1219,sphere,tier1,2,0.0,2,S2(r=0.7),4.925490064133889,0.0871013855812114,0.0,4.664724349975586,5.296665191650391
6,446,sphere,tier1,2,0.0,2,S2(r=0.7),4.925490064133889,0.1086606342348121,0.0,4.465879440307617,5.073156833648682
6,676,sphere,tier1,2,0.0,2,S2(r=0.7),4.925490064133889,0.0270062085029683,0.0,4.709306716918945,5.360766410827637
6,619,sphere,tier1,2,0.0,2,S2(r=0.7),4.925490064133889,0.0707981926672182,0.0,4.610819339752197,5.312617778778076
6,163,sphere,tier1,2,0.0,2,S2(r=0.7),4.925490064133889,0.0769883753782457,0.0,4.637338161468506,5.317867755889893
7,137,sphere,tier1,2,0.05,2,S2(r=0.7),4.925490064133889,0.0764145977331602,0.0,4.756124496459961,5.394158363342285
7,390,sphere,tier1,2,0.05,2,S2(r=0.7),4.925490064133889,0.099086094351296,0.125,4.640659809112549,5.470049858093262
7,1250,sphere,tier1,2,0.05,2,S2(r=0.7),4.925490064133889,0.0393264543601179,0.0,4.5551862716674805,5.234567642211914
7,1219,sphere,tier1,2,0.05,2,S2(r=0.7),4.925490064133889,0.0750900083440934,0.0,4.66943359375,5.303315162658691
7,446,sphere,tier1,2,0.05,2,S2(r=0.7),4.925490064133889,0.1009627171463635,0.0,4.473870277404785,5.079809188842773
7,676,sphere,tier1,2,0.05,2,S2(r=0.7),4.925490064133889,0.0169525059814872,0.0,4.712635517120361,5.365804672241211
7,619,sphere,tier1,2,0.05,2,S2(r=0.7),4.925490064133889,0.1315604218334589,0.0,4.621967315673828,5.320652008056641
7,163,sphere,tier1,2,0.05,2,S2(r=0.7),4.925490064133889,0.1040959257366796,0.0,4.64239501953125,5.3234171867370605
8,137,sphere,tier1,2,0.15,2,S2(r=0.7),4.925490064133889,0.0866051580783549,0.0,4.800478935241699,5.438301086425781
8,390,sphere,tier1,2,0.15,2,S2(r=0.7),4.925490064133889,0.0639617863090817,0.125,4.693513870239258,5.518248558044434
8,1250,sphere,tier1,2,0.15,2,S2(r=0.7),4.925490064133889,0.0995330936273979,0.0,4.600149631500244,5.289258003234863
8,1219,sphere,tier1,2,0.15,2,S2(r=0.7),4.925490064133889,0.1136827258359572,0.0,4.724383354187012,5.359426021575928
8,446,sphere,tier1,2,0.15,2,S2(r=0.7),4.925490064133889,0.0856443815770085,0.0,4.523982048034668,5.1328630447387695
8,676,sphere,tier1,2,0.15,2,S2(r=0.7),4.925490064133889,0.0229920453048071,0.0,4.7655768394470215,5.420777797698975
8,619,sphere,tier1,2,0.15,2,S2(r=0.7),4.925490064133889,0.100192761408822,0.0,4.689797401428223,5.381417751312256
8,163,sphere,tier1,2,0.15,2,S2(r=0.7),4.925490064133889,0.1253770732975194,0.0,4.698846817016602,5.375308990478516
9,1269,sphere,tier1,2,0.0,0,S2(r=1),4.9407549950737,0.1078408561844087,0.0,4.421715259552002,5.090067863464356
9,112,sphere,tier1,2,0.0,0,S2(r=1),4.9407549950737,0.0621241146471401,0.0,4.510766983032227,5.103941917419434
9,24,sphere,tier1,2,0.0,0,S2(r=1),4.9407549950737,0.098599640209949,0.0,4.668021202087402,5.326056957244873
9,764,sphere,tier1,2,0.0,0,S2(r=1),4.9407549950737,0.0684043747588864,0.0625,4.601192474365234,5.260908126831055
9,460,sphere,tier1,2,0.0,0,S2(r=1),4.9407549950737,0.1287840609257768,0.125,4.7879791259765625,5.406104564666748
9,403,sphere,tier1,2,0.0,0,S2(r=1),4.9407549950737,0.0471820636239687,0.0,4.7927446365356445,5.399823188781738
9,61,sphere,tier1,2,0.0,0,S2(r=1),4.9407549950737,0.0937530136907945,0.0,4.601351737976074,5.2421698570251465
9,951,sphere,tier1,2,0.0,0,S2(r=1),4.9407549950737,0.0888212201720772,0.125,4.588430404663086,5.282225131988525
