dim,n_pts,sign_integ,r_integ,sign_v4_m60,sign_v4_m120,sign_v3_defect,sign_sent,sign_ent_cak,sign_frac,sign_kappa
2,32,1.0,0.7391560250861868,1.0,1.0,0.46875,0.5,0.5,0.09375,0.5625
3,32,0.90625,0.7239925592663143,1.0,1.0,0.46875,0.5,0.5,0.5625,0.46875
4,32,0.90625,0.7601920244413432,1.0,1.0,0.5,0.5,0.53125,0.09375,0.5625
5,32,0.9375,0.9625213690965265,1.0,1.0,0.46875,0.5,0.65625,0.03125,0.0
6,32,1.0,0.9646022781929142,1.0,1.0,0.375,0.5,0.46875,0.0,0.5
