v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,ks,manifold,family
-165460609.43028387,-240.45271133269327,-0.992698039248424,-2.7903839080251087,-5.119804100966041,-56.376134837009694,-15.78358117821387,6.0,0.2541360934027741,0.2038853153105562,0.4076475098566305,896,1400,3,-167.84511340654507,0,dumbbell
-90858299.73960309,-158.010635315214,-1.7331360227811736,0.4424450863208969,-4.814676879518611,-52.83417872159547,-6.583156578736567,3.0,0.2697726128572183,0.2140785576416367,0.4318003462121937,504,1400,3,-107.77848311893732,0,dumbbell
-40184544.89176635,-49.08157083322948,1.209183123001318,7.559703020189161,-3.10032097017001,-28.040485913695925,-11.90094928351282,3.0,0.2397644789227777,0.1922973139896032,0.4486542396583673,540,1400,3,-19.63056864974318,0,dumbbell
21787086.13301941,34.391132341594655,0.869590630846003,28.802317353654924,-1.6716809039268754,0.2951630096178518,6.659757715679627,3.0,0.2404456180644094,0.222455310407122,0.4997050064960533,837,1400,3,9.3240835360448,0,dumbbell
24440390.23735054,34.73173063670357,0.9584649666678482,27.11918689731144,-2.345617794152073,0.2951630096178518,3.9622437221411513,3.0,0.2393095064241722,0.193783684548972,0.4819943621112696,1280,1400,3,9.474472115919555,0,dumbbell
25332929.67344172,38.026725746440064,2.472976378905728,30.26671753394136,-1.7400944944110928,0.2951630096178518,0.3691657195620967,3.0,0.2363755740543827,0.2017938202136695,0.4866684573258082,965,1400,3,9.80223705319992,0,dumbbell
25054799.00817022,41.92461633078028,1.1268918433905917,30.245086166281524,-0.975737786978578,0.2951630096178518,2.00573912806935,3.0,0.2252122323377787,0.1876045303640952,0.5122998286369068,626,1400,3,10.430794862490243,0,dumbbell
32515651.821364585,53.31743892818733,1.314772485703247,25.52927787615376,-1.3781109720027958,0.2951630096178518,5.203093806278156,3.0,0.2330275803609287,0.2332158600688219,0.5192313510689494,729,1400,3,11.194689428557044,0,dumbbell
31144384.63262521,48.3844071259076,2.082721497391676,28.198911942884195,-2.1034384649656133,0.2951630096178518,3.441973456408462,3.0,0.2554681728407633,0.1860454055323122,0.4712898729227602,135,1400,3,11.846922847902226,0,dumbbell
31941337.655516207,46.20236107484079,2.571702217994695,28.128540578489265,-1.5366053542776996,0.2951630096178518,5.512126496619759,3.0,0.2322603551357795,0.2043235323618064,0.4668271261588406,1154,1400,3,12.445389798107149,0,dumbbell
36918992.14210687,62.56899613607845,1.5692197204757294,25.36960679745735,-2.1051162061299658,0.2951630096178518,3.621840094269477,3.0,0.2600849476336118,0.2187472981589854,0.5027394469486742,512,1400,3,13.490172831477771,0,dumbbell
36641450.36777719,51.72852321322559,2.031538961961517,26.98258085833462,-1.8844150063830083,0.2951630096178518,1.9769166693049127,3.0,0.2482651690110246,0.2026831023091529,0.4950702761981549,1225,1400,3,14.548901754747993,0,dumbbell
41670683.33985048,59.07392160357204,2.383519566837216,28.56512737640288,-1.2615514258773026,0.2951630096178518,5.1845312355150766,3.0,0.2474501733477467,0.2177056478533735,0.5034013070985062,1333,1400,3,16.062151154972028,0,dumbbell
43576176.504364334,64.66753509520169,3.06252812302412,27.85270993343644,-1.3783630678254186,0.2951630096178518,3.393372603147338,3.0,0.2537056272810417,0.2172870543840742,0.5083073245069479,1186,1400,3,17.498675443243403,0,dumbbell
40658323.37254771,66.89321591640066,2.861660788900295,28.739027692474043,-1.0030249865376577,0.2951630096178518,-2.5529031599815077,3.0,0.2393170346421747,0.197393125831072,0.4959995276826915,812,1400,3,18.878552571208463,0,dumbbell
52576299.22594437,70.92177031544962,3.331807300134896,27.99629742448892,-0.3296466189539611,0.2951630096178518,4.139016783531701,3.0,0.2125097345338881,0.1821465269179187,0.5231294270076035,772,1400,3,20.42653938876267,0,dumbbell
44093440.62846826,68.92229680373372,3.63872486981235,26.359189563803177,-1.9114283777209635,0.2951630096178518,2.5624285434370324,3.0,0.2550443424025246,0.2020390805958085,0.4980103983275774,743,1400,3,21.645617608389152,0,dumbbell
51145978.80070173,73.89269968291077,3.300207994050399,28.21841678591428,-0.6967068296523196,0.2951630096178518,-0.5890760423384203,3.0,0.2224017117871377,0.1993887961774725,0.5192435618283407,1284,1400,3,22.988835640482648,0,dumbbell
49480380.57268281,70.52333884214347,2.728356800088211,27.00045723908184,-1.4023078244948946,0.2951630096178518,1.0548886679710243,3.0,0.23983080912509,0.2012135136887466,0.5016647983638486,448,1400,3,24.460960470311267,0,dumbbell
65261255.50654193,89.22044325842029,3.5896626633115107,23.53679766462465,-1.256405193912035,0.2951630096178518,2.297630642984374,3.0,0.2579710378700078,0.229491790024778,0.554746779484571,861,1400,3,25.836097737225156,0,dumbbell
52005304.60921538,76.5720736735196,4.531208316884558,29.526997076485763,-1.2629031810641256,0.2951630096178518,4.964179985633427,3.0,0.2341189127778435,0.1839656772564005,0.5032051945378295,842,1400,3,27.661107184598453,0,dumbbell
57625507.50100061,83.03687456183619,2.030742838572753,26.3259349683573,-0.5353394242954546,0.2951630096178518,0.7679852558270499,3.0,0.2184347992400614,0.2184929530602409,0.5450660167001067,88,1400,3,29.19622702507281,0,dumbbell
59465348.652155474,79.10551947628328,4.276389726740822,26.64697441317148,-1.4453857848055096,0.2951630096178518,-1.0091595473480874,3.0,0.2445246619160508,0.2020300556681238,0.5107829518114179,615,1400,3,30.63138135943616,0,dumbbell
53762006.756760135,78.57440561179477,3.8328656889728814,26.443952879072352,-0.995368662545412,0.2951630096178518,1.0462065986435496,3.0,0.2209366259474512,0.1810258009166659,0.5017069762190736,964,1400,3,32.41496488611515,0,dumbbell
57731579.112207286,80.45809255528054,3.46028087648072,24.986620625884758,-1.4374708452710905,0.2951630096178518,-4.883872706071562,3.0,0.2399185857113299,0.2026863076969113,0.5039572835361992,692,1400,3,34.18947788859427,0,dumbbell
47095081.17316013,25.21851550036277,0.1399485768746523,13.310105360115632,-1.342352483507646,-10.330705336624812,-5.9941496426333964,3.0,0.2383099041803653,0.2256590918536743,0.5037839651754542,865,1400,3,35.55994748272012,0,dumbbell
56843547.14005674,79.33592775776727,3.815019446408213,27.609792339607647,-1.391637216830425,0.2951630096178518,4.061797752003845,3.0,0.2531586672338945,0.2150472554341516,0.5170156373088107,57,1400,3,37.1295971124415,0,dumbbell
65230338.61218821,88.10205679037507,3.785870083667016,25.87135405657932,-1.4724947786968732,-3.2467931057963697,-0.0358807071102465,3.0,0.2612606934505544,0.2249702145399849,0.5343636659057126,1283,1400,3,38.38598186736268,0,dumbbell
55441177.45214781,76.71851904122647,4.063678352381044,26.50046332281516,-0.8162502340921337,0.2951630096178518,-18.76192228676024,3.0,0.2133622517797164,0.1671359043337432,0.4981847000224275,531,1400,3,39.87372760803324,0,dumbbell
54531826.57764386,37.41025523017786,2.4259942789595894,17.104723525994313,-1.9786836313650256,-6.788749221210592,-9.11554385520911,3.0,0.2690473169018119,0.2420480235688988,0.5124269122659008,500,1400,3,41.42993963674647,0,dumbbell
59208090.354841806,74.2788911746346,3.647614155280048,24.73337389970936,-1.4080973354558208,0.2951630096178518,-20.008703581321623,3.0,0.2448613923513865,0.1969828045537954,0.5062736080912719,10,1400,3,42.89216805968619,0,dumbbell
65833293.36824992,83.67850807412647,2.669086056447978,23.920688821612213,-1.3136048667692333,-3.2467931057963697,-5.094399502490052,3.0,0.2406324786653109,0.2166070256180527,0.5256059700475542,401,1400,3,44.29722032032886,0,dumbbell
