kind,dim,noise,seed,ks,integ_sign,integ_mag,iso,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
dumbbell,3,0.0,0,-162.54995942432336,-0.4966131642628802,-3.122022426927484,-2.3534488149400543,-192364835.73350722,-282.9995932130022,-1.5716174734071946,-3.0049527428283764,-5.230734955879522,-56.376134837009694,-15.382034916829587
dumbbell,3,0.0,0,-74.95970203819603,-0.4956275380666354,-1.1586088060407491,-1.0111551417900366,-72927511.14701273,-119.17184570468821,-2.4082599832922313,4.103446204767251,-3.5776383314282887,-42.20831037535281,-18.90094991289216
dumbbell,3,0.0,0,-27.1880401803554,-0.4952310985789503,-0.30417630239066906,-1.0111551417900366,-29720177.23802026,-55.80652859707772,-2.182285348515618,11.013957960599859,-2.879050381582301,-28.040485913695925,-7.275541126272519
dumbbell,3,0.0,0,6.24938970303236,-0.45280129364084065,-0.42357149001982336,-1.0111551417900366,-19987466.36444344,-40.896902059379606,1.740891378290694,12.79054939335377,-2.86671072571288,-17.41461756745326,-12.199385840222876
dumbbell,3,0.0,0,9.357205730340135,0.4973384240001808,0.3913342699428758,0.2433635019652748,19467784.750938516,32.457835180297025,2.8860895667419686,37.05128674808183,-1.216617518734619,0.2951630096178518,2.9411855372489097
dumbbell,3,0.0,0,9.73978173531225,0.4985188972045359,0.3691100928841812,0.2433635019652748,23944019.180181496,36.39312393299285,2.0340178968255924,36.60527998520644,-1.3261075156274196,0.2951630096178518,3.588395534452152
dumbbell,3,0.0,0,10.343539587606124,0.499599251828171,0.4386671621107744,0.2433635019652748,23888987.642401762,36.974627945210464,2.938692368653109,36.02571842950587,-2.0852832192570636,0.2951630096178518,7.558086202794781
dumbbell,3,0.0,0,11.113889196786833,0.4992713896953406,0.24538389181961642,0.2433635019652748,26123880.759621434,41.71862240898142,3.155364245885288,34.50757009288027,-2.245496634253474,0.2951630096178518,7.9555557763679
dumbbell,3,0.0,0,12.499387785590539,0.49945770748792795,0.41585522334566427,0.2433635019652748,29183700.518284727,48.12332677643435,3.0505684804647517,35.3194261524859,-1.9376463432737463,0.2951630096178518,5.400315023115802
dumbbell,3,0.0,0,13.201132412371196,0.49949422651637054,0.2173715160587955,0.2433635019652748,35760839.08626578,53.16242407615934,1.2978245622912052,33.39516748337629,-2.0615449203733562,0.2951630096178518,4.110572858604335
dumbbell,3,0.0,0,14.33135331399123,0.4993872152939167,0.19410983001672694,0.2433635019652748,33945901.74489102,55.951153394432794,2.312513277054776,30.97203119737562,-1.6922267134706426,0.2951630096178518,2.6124233766038265
dumbbell,3,0.0,0,15.412582687607921,0.499793955503366,0.2632351685908626,0.2433635019652748,36497960.208224244,53.5232361800084,2.343788064058557,33.246238608308396,-0.6400439470381201,0.2951630096178518,4.813016490234652
dumbbell,3,0.0,0,16.94999942537549,0.49923421283922853,0.18767249687235824,0.2433635019652748,36335502.97384116,55.30440700979256,1.3508017947649855,31.587757027050973,-0.8797153574374514,0.2951630096178518,5.249828216053225
dumbbell,3,0.0,0,18.407492805442413,0.49958123575610114,0.46603422802264755,0.2433635019652748,39804213.480589055,65.17959442167715,2.776524152229278,35.07199525726043,-1.2458801933175285,0.2951630096178518,6.473938860828648
dumbbell,3,0.0,0,19.742888200636123,0.4993217764298321,0.44309335576023545,0.2433635019652748,36493327.28679241,62.763636962209034,2.1643052813030077,35.893839858118184,-1.2249062555232724,0.2951630096178518,3.878468551638406
dumbbell,3,0.0,0,20.93109518575691,0.4998507055329776,0.28733530909918825,0.2433635019652748,41155879.54276977,62.473477391064165,3.255960513260495,31.92026976917092,-1.408099508695671,0.2951630096178518,3.8811397011657225
dumbbell,3,0.0,0,22.262073710848544,0.4998642902541116,0.2611266790799946,0.2433635019652748,43711013.368600346,67.2213435728832,2.4362748254053974,30.777383621988875,-0.7172569856757872,0.2951630096178518,0.833745715286829
dumbbell,3,0.0,0,23.946187561847466,0.49993492763226666,0.35568545259308443,0.2433635019652748,56471717.018476754,80.15884985037319,4.322544925498308,27.036096093874512,-2.023943524485239,0.2951630096178518,-0.40688266410811536
dumbbell,3,0.0,0,25.32533056307868,0.4989668982816614,0.31533621215621355,0.2433635019652748,43180618.051384166,75.46404667712916,2.081156000916383,33.453993994356814,-1.1702753521690075,0.2951630096178518,5.26976125723012
dumbbell,3,0.0,0,26.66994041952738,0.48641141354965,0.11988032988336321,0.2433635019652748,32958376.115261354,8.263584829403717,-0.32201038388814057,22.57383077303232,-0.51295288059857,-6.788749221210592,-2.588453156950143
dumbbell,3,0.0,0,28.08929574552609,0.4998046985334349,0.36153078699470986,0.2433635019652748,50536605.66302337,76.5729280952731,2.0333973038643003,32.96961183422081,-1.2122949446725764,0.2951630096178518,-5.52028559292255
dumbbell,3,0.0,0,29.45990972926113,0.49890327941450563,0.27033073385289513,0.2433635019652748,47679955.05984595,31.298617991672394,0.806053872958236,15.080591502539265,-2.596446617942318,-31.582442029110144,-19.896827613015667
dumbbell,3,0.0,0,31.275425390450874,0.499969971405817,0.353872637359621,0.2433635019652748,52169278.480721205,71.06446682908795,3.911237598175088,32.63125849178343,-0.6599899423832327,0.2951630096178518,-1.1374306184734966
dumbbell,3,0.0,0,32.66678464124537,0.4999100087280667,0.3389434532421296,0.2433635019652748,51611929.43725361,80.45102415486174,3.011777895902512,28.713262355582888,-1.5869549751270755,0.2951630096178518,-1.7196952382881647
dumbbell,3,0.0,0,34.09772237779084,0.49930608471141635,0.3726238910791632,0.2433635019652748,57813105.05184875,81.1157611472816,2.0566357195260725,32.9183535644521,-0.4984486778383519,0.2951630096178518,4.553669012842061
dumbbell,3,0.0,0,35.112467794463434,0.4997356651315914,0.3295241814900859,0.2433635019652748,56096773.81097626,80.76355359073878,2.3672862044299046,30.07731615768408,-0.6395940863891292,0.2951630096178518,4.436983022625463
dumbbell,3,0.0,0,36.73115980052288,0.49997048253770215,0.34258114889861524,0.2433635019652748,56101814.29302116,78.30890286992158,3.5336143744692237,32.32628870724455,-1.02197346479153,0.2951630096178518,1.798046899567528
dumbbell,3,0.0,0,38.10959482144626,0.49932817651552164,0.35351697094817414,0.2433635019652748,46365188.439251766,47.52211935859889,1.9447163648067547,18.15165224174224,-2.1679836885164794,-3.2467931057963697,-20.812398110942567
dumbbell,3,0.0,0,39.18817135356253,0.4963798978540671,0.28420156291091353,0.2433635019652748,46408720.64527336,52.465837253434735,1.286413228124719,19.336442112675616,-1.7928890100919408,0.2951630096178518,-2.633452382017344
dumbbell,3,0.0,0,40.712697724084435,0.49873858298242224,0.34662564841335225,0.2433635019652748,56666038.81602952,52.66389571398582,-0.26454979413329516,24.10725642499826,-0.29192569487408304,-10.330705336624813,-15.48260385221362
dumbbell,3,0.0,0,41.681986434549394,0.4996722072272489,0.38184076062011063,0.2433635019652748,46612876.54894241,52.77045079770116,2.735772130698615,17.903590680081955,-2.277573654442389,-10.330705336624813,-17.304556135509944
dumbbell,3,0.0,0,42.77001054169692,0.49996818480217453,0.4286664255490572,0.2433635019652748,55029234.12311979,78.27985751815493,4.505973241189961,31.28206763415122,-0.7051107481530333,0.2951630096178518,-6.00820219656356
dumbbell,3,0.0,0,43.79716356336398,0.4998487597518956,0.3666895156131946,0.2433635019652748,57422424.13127926,76.90534349411925,3.0154497880262605,28.405774685663282,-0.9332792000252693,0.2951630096178518,-1.1080700498746368
dumbbell,3,0.0,0,44.68615129783242,0.49881423533972413,0.39874225286728865,0.2433635019652748,56814065.247144565,58.304739368212466,2.011234423428016,25.926736232688945,-0.24394055898172215,-3.2467931057963697,0.18838333124953383
dumbbell,3,0.0,0,45.233125417757044,0.49995164339945775,0.47054148236571974,0.2433635019652748,61910567.54863787,79.52504167937389,5.435724376438501,27.751592685472435,-1.5051542271656413,-3.2467931057963697,-6.629640225527154
dumbbell,3,0.0,0,45.780305866886444,0.4999457461509421,0.46668045052562357,0.2433635019652748,50345933.02697128,65.26588027571943,4.086997528838427,21.145767798787503,-2.3651356612466965,-6.788749221210592,-11.452679558224371
dumbbell,3,0.0,0,46.19927172362648,0.49995840478367426,0.3946883144310175,0.2433635019652748,59623071.45421577,77.88990303641322,4.143863412244857,25.411953660240595,-1.7370367459418647,0.2951630096178518,-6.173997303335833
dumbbell,3,0.0,0,46.58109716146477,0.4998704736926046,0.4100549626476438,0.2433635019652748,61072566.36510222,74.02167073908205,2.536219985464125,23.38043478946687,-1.16050881228222,-6.788749221210592,-3.517096750599371
dumbbell,3,0.0,0,46.78366100056525,0.49996620435330974,0.3819690740675245,0.2433635019652748,56644070.543476924,73.09606941991848,4.980606970661286,24.301871008030567,-1.9607239772429936,-3.2467931057963697,-3.172982015013997
dumbbell,3,0.0,0,46.88050407989436,0.49992277201859425,0.4297220497540397,0.2433635019652748,55959781.27890099,69.82375601266163,5.056134224867189,23.031144146759207,-2.548183307349132,-3.2467931057963697,-17.96279241782979
dumbbell,3,0.15,0,-162.54995942432336,-0.49840363793278275,-2.544959093198384,-1.9774223701482319,-156246486.51279035,-290.9239003735881,-4.888018206255031,-2.999501400531794,-5.710003886523278,-56.376134837009694,-18.309597570566165
dumbbell,3,0.15,0,-74.95970203819603,-0.497243828663831,-1.0887312801051086,-1.0111551417900366,-64097275.3363959,-75.44044821096175,-1.5620189102092863,4.102198105972535,-4.238646617784661,-31.582442029110144,-17.793400508093782
dumbbell,3,0.15,0,-27.1880401803554,-0.4961967919125671,-0.3252069577837442,-1.0111551417900366,-37212696.08862287,-49.039888849995485,-5.474035247850335,8.976211631234309,-3.1567643555593397,-20.95657368286748,-9.787834391146577
dumbbell,3,0.15,0,6.24938970303236,-0.49349690448633377,-0.19581501609996713,-1.0111551417900366,-3671593.914801285,-39.58826012582012,-2.931016728005278,9.953305409287815,-3.211212706766188,-20.95657368286748,-10.186173989606848
dumbbell,3,0.15,0,9.357205730340135,0.44698867668104414,0.18100647355781588,0.2433635019652748,21401414.55222326,25.550568463370713,1.6101715816383109,33.54133126029709,-1.5485581734537859,0.2951630096178518,6.3415355489130025
dumbbell,3,0.15,0,9.73978173531225,0.49343797402037604,0.0738789865553275,0.2433635019652748,25704620.227179598,33.53564998668978,0.11573544440979404,33.001790655408364,-1.6822102510010821,0.2951630096178518,3.84111082944181
dumbbell,3,0.15,0,10.343539587606124,0.49692445856438594,0.026414613514159916,0.2433635019652748,32957351.69115755,42.34949894672565,0.5763756837849683,32.16224499453703,-2.4325126163223696,0.2951630096178518,4.659956965627272
dumbbell,3,0.15,0,11.113889196786833,0.499696987996059,0.33036160205758186,0.2433635019652748,55236771.00369192,49.057186242293405,2.2865986235468823,31.42581084228703,-2.5811470093969278,0.2951630096178518,7.252996603564989
dumbbell,3,0.15,0,12.499387785590539,0.4997008097582588,0.1414902199601897,0.2433635019652748,41145980.71009002,51.95003977436432,1.0056082281822218,31.408783943284167,-2.203387938916047,0.2951630096178518,0.6633096543193836
dumbbell,3,0.15,0,13.201132412371196,0.4996398477029089,0.2820211144472038,0.2433635019652748,67732569.54395026,68.72603387717703,2.243816024118571,29.865714380602185,-2.4346489110951137,0.2951630096178518,9.815862685362408
dumbbell,3,0.15,0,14.33135331399123,0.49935389747925896,0.14313721847697905,0.2433635019652748,42533545.61926431,51.76763597392469,0.8936023099204735,27.766726694913608,-2.1026713112984936,0.2951630096178518,4.331859449820778
dumbbell,3,0.15,0,15.412582687607921,0.49979423944128587,0.2448580857235138,0.2433635019652748,43775581.09045474,51.35420223061818,2.8485374054863817,29.738658024056708,-1.0071606619725837,0.2951630096178518,4.415061499896435
dumbbell,3,0.15,0,16.94999942537549,0.4972874061779087,-0.08988383333593354,0.2433635019652748,45641377.30783791,55.6274332160171,-0.8327650648453002,28.769178756528493,-1.1697407351658589,0.2951630096178518,-1.3143865004946953
dumbbell,3,0.15,0,18.407492805442413,0.49856804042342584,-0.19285765244003217,0.2433635019652748,48107620.305848725,70.38695102830565,-1.1117108629804895,31.83203085384538,-1.481965757964034,0.2951630096178518,8.355404268968783
dumbbell,3,0.15,0,19.742888200636123,0.49936259934709837,0.22290690236284483,0.2433635019652748,51386068.87135201,71.47914384208765,1.7327270267379262,31.93761742130413,-1.53803969257883,0.2951630096178518,7.154142535867456
dumbbell,3,0.15,0,20.93109518575691,0.49991592981791266,0.27434273521420294,0.2433635019652748,47581317.12825807,63.10940144009228,2.5013797165875498,28.511451071178133,-1.678070229086456,0.2951630096178518,-2.0618526649441784
dumbbell,3,0.15,0,22.262073710848544,0.49881057703406795,0.18020025005199097,0.2433635019652748,38180243.72793781,73.33412149143172,0.9582779151252069,26.701252218919954,-1.1192628931653215,0.2951630096178518,-4.820428702759164
dumbbell,3,0.15,0,23.946187561847466,0.49987392709363154,0.35173927713008657,0.2776048441057828,80525817.53378786,84.85308756645627,2.773322422286244,24.548249889152164,-2.2124047110545164,0.2951630096178518,-5.171936538243058
dumbbell,3,0.15,0,25.32533056307868,0.49995145527803553,0.40367213425799436,0.2433635019652748,64453837.37123019,89.11337415378524,3.6278648167189713,30.147351658837618,-1.5985231308496768,0.2951630096178518,0.6132996427519446
dumbbell,3,0.15,0,26.66994041952738,0.4508797030066518,0.017545259121118893,0.2433635019652748,34359380.145648174,26.273368110262602,-5.087233036949323,18.510798353836385,-0.8079006465876749,-3.2467931057963697,-4.253389220278408
dumbbell,3,0.15,0,28.08929574552609,0.4997601159830032,0.3104187739642164,0.2433635019652748,63478853.54255591,82.11408309757151,2.242876827253092,29.22882928244016,-1.595421917583445,0.2951630096178518,-4.556722563460074
dumbbell,3,0.15,0,29.45990972926113,0.49757764465778553,0.4175644776752004,0.2433635019652748,51003408.249882594,18.53858325296273,-3.487387818114162,13.1233424516866,-3.1353405571160926,-17.41461756745326,-17.633212549045556
dumbbell,3,0.15,0,31.275425390450874,0.49995402952285706,0.3894496902154898,0.2433635019652748,58771719.20681997,88.50668959563855,3.408315390560304,29.11656496886207,-1.088007357639781,0.2951630096178518,-1.853062433634814
dumbbell,3,0.15,0,32.66678464124537,0.49536766384116493,-0.1627174767460298,0.2433635019652748,51397382.2077682,79.283784557054,-1.480586334452435,24.43457013126729,-1.96816732372992,0.2951630096178518,3.2464489688862463
dumbbell,3,0.15,0,34.09772237779084,0.4992780298498448,0.3046218855022549,0.2433635019652748,57724310.05249421,81.49931044238949,0.5379341862120298,28.7088664264869,-0.8852853711735076,0.2951630096178518,-10.976222212432234
dumbbell,3,0.15,0,35.112467794463434,0.49809801315371693,0.28270453326620776,0.2433635019652748,49351975.51665005,76.54660281177986,1.405038374655651,26.893469754992392,-1.0246574160065238,0.2951630096178518,-4.258159128590296
dumbbell,3,0.15,0,36.73115980052288,0.49995273078232705,0.4179517912872918,0.2433635019652748,64429593.34933105,89.07222954560459,3.8953771410193485,29.624653817577965,-1.2476122654781359,0.2951630096178518,-1.101051512897303
dumbbell,3,0.15,0,38.10959482144626,0.49634945276326004,0.37714276451032436,0.2433635019652748,64945917.036047675,41.00168702237484,-0.7768695078612575,15.508694526596626,-2.5084347504890196,-3.2467931057963697,-21.060788233602135
dumbbell,3,0.15,0,39.18817135356253,0.49399097462351416,-0.04099437064654235,0.2433635019652748,60472786.71643826,49.039000402590695,-3.011022633634697,16.751461248589592,-2.3403455142754934,-3.2467931057963697,3.267938235552473
dumbbell,3,0.15,0,40.712697724084435,0.49924596389280196,0.44333901272984017,0.2776048441057828,80466403.43549433,54.34955674059356,1.6435474009536264,21.501368891763082,-0.8052666798892355,-10.330705336624813,-17.373559674149078
dumbbell,3,0.15,0,41.681986434549394,0.4995557986926238,0.38450098258815646,0.2433635019652748,56117314.9072827,54.67704907496077,2.031530584318926,16.275816112063584,-2.654057033131204,-10.330705336624813,-25.345827491263638
dumbbell,3,0.15,0,42.77001054169692,0.4971619081876222,0.2371623796203658,0.2433635019652748,66516087.24304565,85.30242396668277,0.49137824971575644,27.48102541240921,-1.01251335172362,0.2951630096178518,3.787621881270938
dumbbell,3,0.15,0,43.79716356336398,0.4963339043004764,0.260965963324285,0.2433635019652748,68385449.45488435,71.97331597424245,-0.015293953928224571,24.68640173055819,-1.30300380277997,0.2951630096178518,-1.6102037591154013
dumbbell,3,0.15,0,44.68615129783242,0.48992927005826514,0.2647626954660294,0.2433635019652748,69226483.7061199,41.46213002674324,-1.8213866544016002,19.612390411218264,-0.6501017010648341,0.2951630096178518,-7.851666565109091
dumbbell,3,0.15,0,45.233125417757044,0.4993357141726056,0.33909489646701074,0.2433635019652748,70133034.17274716,80.47119231093578,1.5072191934249681,24.067469677132888,-1.858418711294946,-3.2467931057963697,-18.490593799836805
dumbbell,3,0.15,0,45.780305866886444,0.4978482864660939,0.4332593498855005,0.2644808549167421,74740099.6515625,80.9856714036589,2.2421428499422094,17.926209853223355,-2.699327792450668,-3.2467931057963697,-15.259639010540456
dumbbell,3,0.15,0,46.19927172362648,0.4999181626280418,0.36717833214231194,0.2776048441057828,75742175.60415892,81.26935120570204,2.588683761891366,22.361938592129018,-2.0535930357614833,0.2951630096178518,-11.961215115923697
dumbbell,3,0.15,0,46.58109716146477,0.49272920783739904,0.19565076510315588,0.2776048441057828,81123395.3999646,69.5578888273623,-1.6615278857451892,19.30761163856431,-1.6378826777766038,-3.2467931057963697,-5.66975208853379
dumbbell,3,0.15,0,46.78366100056525,0.49992348936742004,0.4735131093099733,0.2433635019652748,66335573.23149646,73.8449709972645,6.124846853627416,20.683461917997032,-2.375649795641952,0.2951630096178518,-12.556154094282187
dumbbell,3,0.15,0,46.88050407989436,0.49958050611050797,0.5230982752679063,0.2433635019652748,66360744.28727383,70.45766852283087,3.940340029358357,19.549843536446897,-2.8630010052885924,-6.788749221210592,-22.223819281119535
dumbbell,3,0.0,1,-163.05027066742417,-0.4965770418443297,-3.1874344275200523,-2.3534488149400543,-190232239.5869126,-270.71065049864706,-1.0396385192152193,-2.9975820801159982,-5.129046890048931,-56.376134837009694,-16.282177521277625
dumbbell,3,0.0,1,-76.88003186380682,-0.49627822656236115,-0.43954431455219695,-1.0111551417900366,-71681113.25353345,-102.96835964035692,-0.9824695818457367,5.216928882237554,-4.063579108412151,-49.29222260618125,-30.028987477540614
dumbbell,3,0.0,1,-24.09841975894752,-0.48982640615266043,-0.267022316376019,-1.0111551417900366,-33074200.876143575,-86.69568687773643,0.012055528290595885,8.601247540396306,-3.0307903344027913,-24.4985297982817,-19.091221704662836
dumbbell,3,0.0,1,2.5730277625487803,-0.45212383065064093,-0.1718120780170308,-1.0111551417900366,-10430434.090771275,-23.338695652547838,0.5098813911357053,11.82049212314585,-2.2284932056655284,-17.41461756745326,-35.009899608203504
dumbbell,3,0.0,1,9.319119850840071,0.4701535947661285,0.10901725721351221,0.2433635019652748,18954058.727862466,30.866449894820267,0.32271795833625533,34.35434469321006,-1.2759513131247113,0.2951630096178518,4.3894628850784185
dumbbell,3,0.0,1,9.827566486525761,0.49899621485236645,0.15526078319345896,0.2433635019652748,24756320.767578077,38.86497908180556,2.745574128872295,30.06628182228675,-2.3408410129613384,0.2951630096178518,6.923910855953653
dumbbell,3,0.0,1,10.438812379393847,0.49468462739834385,0.2550757540420641,0.2433635019652748,23127480.066843808,38.50135923962112,2.2827356364003455,34.18635391263403,-1.1464436039717416,0.2951630096178518,4.631931277490488
dumbbell,3,0.0,1,10.919434269402588,0.4390123011439796,0.29166286619327403,0.2433635019652748,4485175.757692184,-12.951156073399272,1.7815016189767077,10.009668263400654,-2.935033040123389,-24.4985297982817,-19.20930244304371
dumbbell,3,0.0,1,11.652628213180689,0.4987846932768554,0.15643285387184783,0.2433635019652748,30712662.65477215,47.93996163654954,1.9821840646548938,30.63121458504973,-2.0444393495124515,0.2951630096178518,5.049518482770299
dumbbell,3,0.0,1,12.65772894428148,0.4905272916165996,0.26113201495039257,0.2433635019652748,27495917.13886812,54.71349689027391,2.1301536538623354,30.83521124058391,-2.2986758133878067,0.2951630096178518,5.0619624456739185
dumbbell,3,0.0,1,13.627705823524463,0.49986133895781326,0.3044803367402215,0.2433635019652748,32372047.99453032,48.36111811785097,3.0321986743479634,33.33488865261323,-1.3201854370356314,0.2951630096178518,0.8167540884816566
dumbbell,3,0.0,1,15.005789679021255,0.4873627144385366,0.2263069964866188,0.2433635019652748,33470299.398651347,53.80860401406605,1.468259228890292,33.78745634096736,-1.1423405271345688,0.2951630096178518,4.866490703794438
