true_d,assumed_d,delta,abs_z_median
3,2,-1,374208360.0201824
3,3,0,8.73552629611477e-08
3,4,1,0.7916593724897769
4,3,-1,228988459.02310413
4,4,0,0.48372017155343194
4,5,1,3.402300719380723
5,4,-1,31.343768842868947
5,5,0,0.7278940698868104
5,6,1,3.5889084881064948
