inst_id,dim,noise,ks,dhat,dhat_err,sigma_rel,integ_oracle,v4_m60_oracle,ent_cak_oracle,sent_oracle,integ_est,v4_m60_est,ent_cak_est,sent_est
300,2,0.01,-4.073403328580132,2,0,0.322,-0.4768304626690432,-1096423.312590661,-2.8815632937484206,-0.19269676436102362,-0.4806577071229608,0.8822415690027275,-1.4415831078797758,-1.8489954943436666
301,2,0.01,24.29147882731491,2,0,0.326,0.023377521341824692,-2429930.679406321,3.069523957081808,12.710938146883514,-0.47700337224846673,0.30066426112371825,-0.6061057232843805,-0.8452403549872135
302,2,0.01,2.4353057851002236,2,0,0.354,-0.13928316358713289,-709303.365236635,-1.2648969755980626,1.8633427686626005,-0.44906495979943745,1.0573926928009765,-1.2149077412861915,-1.6980595659720354
303,2,0.01,-1.7047521511958421,2,0,0.311,-0.46554571196379324,-362679.97474572976,-3.4831868801706323,2.1333046678181224,-0.4564441172748326,1.2022461566916707,-1.5260454723703667,-1.6680591994345675
304,2,0.01,-10.811957593661983,2,0,0.324,-0.4555966466362736,-942078.9742722982,-3.055992291952059,3.5667930684503593,-0.45058483687758394,0.9495551564633725,-1.46607131937364,-1.5565502053224818
305,2,0.01,17.833593420006732,2,0,0.315,-0.23452809028574562,-2745570.9418726745,0.727315011651942,10.84933203728573,-0.47341680413349957,0.16300531849503314,-0.9349301080437677,-0.9900520078911412
306,2,0.01,-8.964351133510938,2,0,0.352,-0.4021639414053021,-1026885.2668151467,-1.1572351154105123,-0.5088870958010981,-0.433293284666589,0.9210527494713319,-1.1998062295791139,-1.883048055584935
307,2,0.01,-4.119639039475162,2,0,0.326,-0.4471314049222987,-4112370.1240676395,-2.9042705947723872,2.277747757465495,-0.4860916220503243,-0.43309141750602403,-1.4447710020697118,-1.6568231799272477
308,2,0.01,-4.802158035650685,2,0,0.316,-0.4367333474747055,-1953637.6384036008,-3.185246469533571,2.0940650722343803,-0.48111284585152403,0.508388066361729,-1.4842174055730595,-1.67111159095094
309,2,0.01,-8.930072585381469,2,0,0.356,-0.49205641589770915,-2859068.373879816,-6.344570568758814,-5.440373499839585,-0.48772884652391274,0.1344848129953468,-1.9274232978780796,-2.267609532992973
310,2,0.01,-13.010242390174653,2,0,0.339,-0.46360072688186843,-1370007.3415091743,-7.149073219556719,1.5167058212074065,-0.49170616077693224,0.7629244456207486,-2.040701870766642,-1.716023533939059
311,2,0.01,6.656586154585676,2,0,0.319,-0.46425513801131113,-245235.49887362757,-2.573612008583898,7.3042150097908065,-0.4518825214236535,1.2534667526948724,-1.3983496072658919,-1.2658215457340944
312,2,0.01,-0.8978601744396698,2,0,0.349,-0.38317682673530157,-904813.9272439638,-1.281969413115554,2.080233057559951,-0.4268633703206839,0.9658074144321276,-1.21701498184205,-1.6721875634123906
313,2,0.01,-2.9443229796812913,2,0,0.344,-0.47850721249950523,-742209.0456903046,-3.784987771763194,-0.4932820126661975,-0.4830148857656696,1.0367236400303288,-1.5684155148430485,-1.872377587054468
314,2,0.01,-2.853722380261491,2,0,0.37,-0.4261532032891668,-1237425.7266920041,-0.10347967248575102,0.5333248750049706,-0.45297874949094574,0.8306663822837431,-1.0519980816425685,-1.801775485323501
330,2,0.05,0.16411331195517892,2,0,1.0,-0.4871918315857524,-9888785.082775986,-2.630296337644782,-13.300846722339132,-0.48006612312038777,-1.2500484456848424,-1.452945030678099,-2.929194354189702
331,2,0.05,0.7737598105819261,2,0,0.987,-0.4828187875956228,-23277545.664036714,-3.0213079087090096,-11.667730885286916,-0.49121912635730003,-5.132841781392675,-1.5080351874286286,-2.7976225390272096
332,2,0.05,1.728836197424718,2,0,0.912,-0.48647661631104305,-9766051.316972017,-2.3190840250892775,-8.540592985578192,-0.47029328612306404,-1.433300575018646,-1.3947853998491035,-2.53723345320539
333,2,0.05,-0.020139871171428105,2,0,0.984,-0.48995140189562536,-15143813.373525346,-1.410000705425448,-15.875820105279905,-0.48207653900578934,-2.7740273608680743,-1.281015904698584,-3.1366468289634115
334,2,0.05,5.496937541713086,2,0,0.889,-0.15337435869014993,-14572636.787392555,-1.552550763067984,-4.487914438717372,-0.4901520567076509,-2.8700793182512423,-1.2877385387065705,-2.2152594365436267
335,2,0.05,-6.985728960248757,2,0,0.954,-0.4775268840847656,-21263343.56429177,-5.102430848648421,-13.121295616993542,-0.4820728765878365,-4.548715234189755,-1.8012474539258592,-2.9147288372258884
336,2,0.05,-2.880567788146728,2,0,0.833,-0.4862208976277357,-9703601.219619183,-4.977133064592731,-4.0352984439284905,-0.49506644788840404,-1.7162737110600508,-1.7636533473396727,-2.187741153753872
337,2,0.05,0.013149415250463092,2,0,1.026,-0.32427645929562,-20568459.217844684,-1.018821287363155,-15.927159446048563,-0.489771644974059,-4.34719603507518,-1.2259020997541958,-3.1407829778518885
338,2,0.05,13.350834999027843,2,0,0.872,-0.17941347953565306,-9102048.484564416,-0.5581652011731502,1.574821559049722,-0.4849237097096893,-1.2348176476015646,-1.1488719579066635,-1.733591956976816
339,2,0.05,-11.98291658411206,2,0,0.909,-0.48470076770050463,-13934313.889235884,-8.153745404618693,-10.086626360544157,-0.48823933790758683,-2.6792726058700547,-2.2095995996415665,-2.660061496405736
340,2,0.05,-1.3523409226359646,2,0,0.875,-0.47414691928258035,-23751884.002456117,-2.5288687945282255,-6.54443959165474,-0.4803394143613933,-5.613928846911854,-1.424081977305811,-2.378644628880208
341,2,0.05,-1.8164727412950512,2,0,0.971,-0.4626772828137683,-16652037.356938643,-1.1325016613384726,-13.967360466531158,-0.4600470478172786,-3.211418260198089,-1.2419186836233478,-2.982891967772571
342,2,0.05,-19.350068753652508,2,0,0.844,-0.47460975511126097,-12530267.557764454,-2.3056922324579303,-4.034906231438435,-0.4688408653216824,-2.71067122432056,-1.3909026093322345,-2.1877101264734455
