kernel,t,band,norm,field_r_dumbbell,field_r_necklace,sep_sphere_torus,flatnull_med,flatnull_iqr,balsign
adaptive_k10,2,0.5,dij2,0.8384500162393147,0.9492047789169132,-0.04101958830442737,0.33252047832554976,0.4270114811097456,0.5714285714285714
adaptive_k10,2,0.5,raw,0.8285297031826867,0.9133876297456843,-0.0108041483111958,0.01852880138648925,0.0392615901078749,0.5714285714285714
adaptive_k10,2,0.5,spread2,0.8294254279160892,0.9133683056844584,-0.008007980066771392,0.09441347108055985,0.11105913471099259,0.5714285714285714
adaptive_k10,2,1.0,dij2,0.7769325965372191,0.9333602503269838,-0.07260385460955676,0.3384335104410237,0.491732058833139,0.5476190476190477
adaptive_k10,2,1.0,raw,0.7755002020487018,0.9322432765142912,-0.04717985307155397,0.07219730857505043,0.15960591203107036,0.5476190476190477
adaptive_k10,2,1.0,spread2,0.7761644510944339,0.9322279064705289,-0.07175257303853194,0.3323260059248115,0.49386733412989475,0.5476190476190477
adaptive_k10,2,2.0,dij2,-0.11755558604751315,-0.051361195532707536,-0.1282356772605447,0.3129516651549001,0.6423606169621008,0.5
adaptive_k10,2,2.0,raw,-0.11824026563935568,-0.052936011058713886,-0.26303478526722524,0.3679921887621169,0.8155240465426078,0.5
adaptive_k10,2,2.0,spread2,-0.11804547562933893,-0.0529439932690711,-0.5138219723623015,1.248475169713035,2.5670764940336714,0.5
adaptive_k10,4,0.5,dij2,0.8459740686308937,0.9230012937038986,-0.08262735166161966,0.5630448795679752,0.766384967872485,0.5
adaptive_k10,4,0.5,raw,0.8549142529487924,0.8870245162921218,-0.03223013783251748,0.06212186818664565,0.12049574734492206,0.5
adaptive_k10,4,0.5,spread2,0.8540586061195679,0.8870229701266436,-0.02066844036705795,0.14115883761695344,0.1924785015005218,0.5
adaptive_k10,4,1.0,dij2,0.5088913789245543,0.7729960847751207,-0.09666175575903435,0.515733929003845,0.8517166219302236,0.5
adaptive_k10,4,1.0,raw,0.5066172146023215,0.7714696364941042,-0.13123326385348827,0.24833350803501447,0.49344977289587466,0.5
adaptive_k10,4,1.0,spread2,0.5064473698491802,0.7714737197277719,-0.09666418843882363,0.5153793821382228,0.8488413741847094,0.5
adaptive_k10,4,2.0,dij2,-0.5226970312297617,-0.9342756277134473,-0.10952284554964481,0.5055374519528799,0.8396498155114713,0.5
adaptive_k10,4,2.0,raw,-0.5174074249264597,-0.9330490012110798,-0.5291201844915652,1.0322241773474456,2.0522109952542915,0.5
adaptive_k10,4,2.0,spread2,-0.5212544712660058,-0.9330507928638898,-0.4283201158161898,1.9944896164992005,3.3436513093507116,0.5
adaptive_k10,8,0.5,dij2,0.838910975932977,0.9020515162944643,-0.06438070685848396,0.7261463536462031,0.7554530909458312,0.5
adaptive_k10,8,0.5,raw,0.8333962671626735,0.8858559151239095,-0.034056380709443584,0.10995489828548408,0.1941049040055483,0.5
adaptive_k10,8,0.5,spread2,0.834636768274841,0.8860584078142903,-0.016594538148017868,0.175536034867096,0.1899543376482015,0.5
adaptive_k10,8,1.0,dij2,0.12991632894404176,0.5802023905183301,-0.08157368167504075,0.6548603999683988,0.73854501814856,0.5
adaptive_k10,8,1.0,raw,0.13010103887205232,0.5793037455767449,-0.13552128696149685,0.44111057714957425,0.769939010578014,0.5
adaptive_k10,8,1.0,spread2,0.1299952829624695,0.5794123898285514,-0.08144991551186709,0.652416448461608,0.7381917850474957,0.5
adaptive_k10,8,2.0,dij2,-0.7872946319796384,-0.9317851843066293,-0.11890150598690674,0.7296822265902954,0.5984398272272307,0.5
adaptive_k10,8,2.0,raw,-0.14960447086329065,-0.03222956236444985,-0.12599972167884488,1.3644754145600335,2.131428075704036,0.5
adaptive_k10,8,2.0,spread2,-0.15930293020774894,-0.032126721097849295,0.030043544254407806,2.3454185599284902,1.381007537256784,0.5
adaptive_k10,16,0.5,dij2,0.7912159038346316,0.8666119355808477,-0.1097414797775661,0.8510169584965654,0.3675427623331019,0.5
adaptive_k10,16,0.5,raw,0.7832918247662003,0.7512962795437593,-0.022537775087132617,0.15001668178301814,0.1721182409596093,0.5
adaptive_k10,16,0.5,spread2,0.7839905004017088,0.751369600061339,-0.027611254886607817,0.2107224230451228,0.09284315884520244,0.5
adaptive_k10,16,1.0,dij2,0.014494969758612503,0.48314157843957234,-0.12266180155888129,0.8628107426625665,0.323473833806568,0.5
adaptive_k10,16,1.0,raw,0.015724180629135606,0.4825389150332737,-0.09521355896274908,0.6161574556698274,0.6661914100979216,0.5
adaptive_k10,16,1.0,spread2,0.015486961392781677,0.4825026312107768,-0.12251948513150912,0.8644457581392784,0.32203330100333993,0.5
adaptive_k10,16,2.0,dij2,-0.8530641094702561,-0.9195497704533855,-0.1384487076297226,0.908766675091191,0.20864542271079922,0.5
adaptive_k10,16,2.0,raw,0.576131148417628,0.7445767865113465,0.05840939326268746,1.8378751549847256,1.2030274777375332,0.5
adaptive_k10,16,2.0,spread2,0.5799172625976053,0.74754280886692,-0.05320981225156718,2.8872472821431776,0.5273112360959811,0.5
adaptive_k25,2,0.5,dij2,0.6395083204524149,0.9160334467498542,-0.10130796882993054,0.49772618165923366,0.722185093963515,0.5
adaptive_k25,2,0.5,raw,0.6439291717992577,0.8202959734275163,-0.030192252819665536,0.05432760851816772,0.10735477900522099,0.5
adaptive_k25,2,0.5,spread2,0.6421798129057168,0.8206618206451732,-0.025243375803222473,0.12299214401337999,0.18255632314386386,0.5
adaptive_k25,2,1.0,dij2,0.675613805186258,0.8741290394002899,-0.1121681807648286,0.48597814479068746,0.7668492969656205,0.5
adaptive_k25,2,1.0,raw,0.6748948842697172,0.8712871287053925,-0.1245114616713526,0.2279407752236391,0.44109276607980763,0.5
adaptive_k25,2,1.0,spread2,0.6747487406184859,0.8711731569580489,-0.11183459024842296,0.4881165803368075,0.7650333589408782,0.5
adaptive_k25,2,2.0,dij2,-0.44610664360856483,-0.9056830038817881,-0.1395294575930648,0.5243377818270177,0.7466676135321386,0.5
adaptive_k25,2,2.0,raw,-0.44529639941140414,-0.891891156848651,-0.5220788862365815,0.9735716304434654,1.8421349859493563,0.5
adaptive_k25,2,2.0,spread2,-0.446787809636264,-0.8922624312811818,-0.553626298751051,2.094120494250224,2.9822200640346974,0.5
adaptive_k25,4,0.5,dij2,0.6973784576849903,0.8944301553463823,-0.11266008023021212,0.7206468219608642,0.62743901759751,0.5
adaptive_k25,4,0.5,raw,0.6658284849039151,0.7233824590262702,-0.03932525926953215,0.11062120254158532,0.17529384738429668,0.5
adaptive_k25,4,0.5,spread2,0.6665163245701761,0.7242939928265053,-0.027926755536827802,0.17711781667448512,0.15706563914908495,0.5
adaptive_k25,4,1.0,dij2,0.2791813264470141,0.5920495711067624,-0.12746705141310755,0.7211494166379567,0.5998758983309436,0.5
adaptive_k25,4,1.0,raw,0.27995638678321794,0.5879026114308004,-0.15889298483304393,0.4530720205550095,0.694152401490856,0.5
adaptive_k25,4,1.0,spread2,0.2805340065523892,0.5884541138185496,-0.12725858929349687,0.7196586968629821,0.5999718844746159,0.5
adaptive_k25,4,2.0,dij2,-0.6307594502259769,-0.9149523494223709,-0.163846478703771,0.7841515712530269,0.4522816054226556,0.5
adaptive_k25,4,2.0,raw,0.05766299183693157,0.338285635100024,-0.2807950043786547,1.4691011045137528,1.8924873503640887,0.5
adaptive_k25,4,2.0,spread2,0.05848574632383403,0.34303258304240136,-0.19551588144087972,2.6132053470799965,0.8844820577301764,0.5
adaptive_k25,8,0.5,dij2,0.6951445926848564,0.9260635912044403,-0.11601172992703601,0.9063010845843468,0.23752697551985302,0.5
adaptive_k25,8,0.5,raw,0.7006212150526893,0.4233866351444221,-0.03102075527708581,0.1633987619017934,0.14022982406209222,0.5
adaptive_k25,8,0.5,spread2,0.6999807634957809,0.4278183556244522,-0.029252663915761062,0.22447560132209227,0.058691079465036045,0.5
adaptive_k25,8,1.0,dij2,0.05491424133851405,0.2829997686904009,-0.1254689378976125,0.9090048050948134,0.20838968310142436,0.5
adaptive_k25,8,1.0,raw,0.045726573054481884,0.2506638110471738,-0.12823188130100616,0.6646605838505817,0.5458678869226032,0.5
adaptive_k25,8,1.0,spread2,0.04589622919614403,0.25264604101924787,-0.12555145713554106,0.9069552722781522,0.20580303224028862,0.5
adaptive_k25,8,2.0,dij2,-0.675964206850889,-0.9150904969304439,-0.11523199910792048,0.9443608818823022,0.13678861783775353,0.5
adaptive_k25,8,2.0,raw,0.568254714511485,0.8384417753084724,0.005365538159499916,2.042482133833003,0.7917017690890611,0.5
adaptive_k25,8,2.0,spread2,0.5698313713207821,0.8446249753115292,0.08167281578413244,3.06137259675541,0.7982043793148708,0.5
adaptive_k25,16,0.5,dij2,0.6483181099369972,0.9183188799404671,-0.05165814558160531,0.9884903867397574,0.029024000505249004,0.5
adaptive_k25,16,0.5,raw,0.580123782252553,0.1567427158987261,-0.018362638533595182,0.20973204732968453,0.05502893432845807,0.5
adaptive_k25,16,0.5,spread2,0.6028421963190564,0.15733944066131517,-0.012840046011352607,0.2463001172980842,0.008091203390390767,0.5
adaptive_k25,16,1.0,dij2,-0.03219805145906616,0.08703939047837642,-0.04863160825297319,0.9907836188922333,0.02419485613376593,0.5
adaptive_k25,16,1.0,raw,-0.03317424777378129,0.1414257788695378,-0.07260648583289897,0.8452440678643132,0.2126760472919944,0.5
adaptive_k25,16,1.0,spread2,-0.03451196141443917,0.16002826833830402,-0.0492495479862719,0.9905439967030025,0.024123487589845727,0.5
adaptive_k25,16,2.0,dij2,-0.8342909575942339,-0.9160186770582815,-0.03224524460723277,0.9955139119883452,0.014088429789331669,0.5
adaptive_k25,16,2.0,raw,0.34932077869980527,0.8881149652264915,0.17249547768857676,2.6170268784535393,0.289703311404518,0.5
adaptive_k25,16,2.0,spread2,0.3494413979877477,0.892636543601404,0.3567630179018826,3.109339792909674,1.0607835826102359,0.5
cak_n4,2,0.5,dij2,0.45493266282566847,0.4364758694704989,0.036132152009718005,0.1622140734448727,0.2572276716625693,0.6963001027749229
cak_n4,2,0.5,raw,0.5287271415155531,0.5723867198336265,0.00028045694218966667,0.0036577172648030332,0.006291625611037471,0.6378896882494005
cak_n4,2,0.5,spread2,0.5282260740260647,0.5720509007683786,0.015715052676790076,0.08595468578759934,0.15795365941996461,0.6378896882494005
cak_n4,2,1.0,dij2,0.5296942652149534,0.5777598930298223,0.01807071629652003,0.12996373437967668,0.20934127203629221,0.6855087358684481
cak_n4,2,1.0,raw,0.5316931462537087,0.5662161353627625,0.0003921146076187611,0.005586911885245828,0.009146282997701387,0.6783144912641316
cak_n4,2,1.0,spread2,0.5307955749320306,0.5656186901310357,0.021829275721712865,0.13089000229613906,0.2361016709058336,0.6783144912641316
cak_n4,2,2.0,dij2,0.6319664382800831,0.7970868772601771,0.0462008888801914,0.05087476255496337,0.10081383067218441,0.8319630010277492
cak_n4,2,2.0,raw,0.6326256201956745,0.7979776733046002,0.007329437173032176,0.009049999284785254,0.01730215359749976,0.828365878725591
cak_n4,2,2.0,spread2,0.632579887612441,0.7977915082703666,0.18502501439216182,0.20229156737406884,0.41667855226127726,0.828365878725591
cak_n4,4,0.5,dij2,0.5552404541373139,0.5750174961851223,0.048332092770090235,0.22646233284123812,0.3079907120985227,0.6558752997601919
cak_n4,4,0.5,raw,0.639508892833282,0.7065555185597217,0.00046548541590745677,0.005586714789328906,0.009631437464750552,0.6558752997601919
cak_n4,4,0.5,spread2,0.6390719446550507,0.7065606187458964,0.014932143160628443,0.06893783436977848,0.11898021739334239,0.6558752997601919
cak_n4,4,1.0,dij2,0.6735410849607206,0.7159005560629458,0.06683797394499476,0.10266500570023099,0.20442621111909923,0.7511133949982871
cak_n4,4,1.0,raw,0.6716438497681931,0.7183969693514406,0.0045265921925626874,0.008985621786326115,0.017937241184572326,0.7511133949982871
cak_n4,4,1.0,spread2,0.6707178292222851,0.718791345857718,0.06619722115225125,0.10344794426341175,0.21503273407477985,0.7511133949982871
cak_n4,4,2.0,dij2,0.42209432639937206,0.7836249030601006,0.05623965058575871,0.05663966511883373,0.08125836022102254,0.6594724220623501
cak_n4,4,2.0,raw,0.4215155941320559,0.783376827188907,0.015768611557949477,0.018355113283194825,0.030840436801283948,0.6594724220623501
cak_n4,4,2.0,spread2,0.42070110809592814,0.7827485895514357,0.22530653892079625,0.22808844858894967,0.3278891346554512,0.6594724220623501
cak_n4,8,0.5,dij2,0.7172945127832723,0.7358902251269206,0.009567548460814118,0.2849273239647767,0.2883679156077549,0.5952380952380952
cak_n4,8,0.5,raw,0.7296735560573266,0.7657023513580287,-0.0022112644866307627,0.012001368952797312,0.015837453835037762,0.5952380952380952
cak_n4,8,0.5,spread2,0.7291643359039824,0.7668756870439016,0.0007413993871828728,0.07544377813794559,0.07868441855602698,0.5952380952380952
cak_n4,8,1.0,dij2,0.7001657317038552,0.8194929778882225,0.02547595911188913,0.18506317454075,0.1693248264312254,0.6428571428571428
cak_n4,8,1.0,raw,0.6959188667731396,0.8241645478831723,-0.0023664403730711166,0.03245126624357161,0.036081138313501196,0.5952380952380952
cak_n4,8,1.0,spread2,0.6960406115498958,0.8245470066287108,0.024792466759889553,0.1869489338262568,0.16938510868840664,0.5952380952380952
cak_n4,8,2.0,dij2,-0.09725958257271167,0.1533185613104486,-0.06871483773908843,0.2891550610175477,0.2486351289295518,0.5
cak_n4,8,2.0,raw,-0.09665817266644113,0.15141932990163046,-0.07775822464236112,0.20549240963545734,0.2551946507637698,0.5
cak_n4,8,2.0,spread2,-0.09660590648702608,0.15193041758458237,-0.2748207635539184,1.153833777179032,0.9982253705910373,0.5
cak_n4,16,0.5,dij2,0.8246505577520986,0.8144973085680244,-0.10159742607500277,0.5252050928530174,0.20983434059072548,0.5238095238095238
cak_n4,16,0.5,raw,0.835758672902454,0.8181037681955091,-0.015410229637129513,0.04402570119965189,0.03401176578787366,0.5238095238095238
cak_n4,16,0.5,spread2,0.8347011867291292,0.8233077506312723,-0.02624555072517011,0.13209349462916303,0.05583276244810567,0.5238095238095238
cak_n4,16,1.0,dij2,0.4872905303671183,0.8437684087561501,-0.12448359584437763,0.5500003420977015,0.21233514847143742,0.5
cak_n4,16,1.0,raw,0.48507277361865775,0.841407580076491,-0.06548154539396533,0.17966845434570833,0.13725154364795233,0.5
cak_n4,16,1.0,spread2,0.4846545345205925,0.8415627925506298,-0.12476261772050501,0.5475985815168217,0.21178437339659328,0.5
cak_n4,16,2.0,dij2,-0.4556399125316671,-0.8611790007677547,-0.18628810258984685,0.6656108975284234,0.19214034772674116,0.5
