kind,dim,noise,K_unnorm_r,K_unnorm_bal,K_rw_r,K_rw_bal,neg_u_r,neg_u_bal,static_r,Kun_vs_static,rel_resid,K_unnorm_flatmed,K_unnorm_flatstd,K_rw_flatmed,K_rw_flatstd,neg_u_flatmed,neg_u_flatstd
dumbbell,3,0.0,0.5132370747910727,0.8657657657657658,0.5428993958600541,0.8657657657657658,0.39828509347126484,0.7707207207207207,0.4778823057747384,0.6072922496524418,0.44777697546333284,,,,,,
dumbbell,3,0.15,0.4201538944180788,0.7693693693693694,0.4549685066665355,0.7693693693693694,0.46355497015072017,0.7936936936936937,0.3840370682959922,0.7220042940107751,0.6859750914022856,,,,,,
dumbbell,4,0.0,0.48659787973344826,0.8268398268398268,0.5053054505979823,0.8268398268398268,0.4017048418847844,0.7483164983164983,0.5357671114672405,0.5140546334611311,0.47636343525864133,,,,,,
dumbbell,4,0.15,0.3759000037534937,0.7955747955747956,0.39553121775854516,0.7955747955747956,0.36585584080214045,0.7741702741702742,0.3429936927264401,0.5477297551989546,0.673930797735959,,,,,,
dumbbell,5,0.0,0.3006959215180731,0.6913419913419914,0.30943593484204684,0.6913419913419914,0.28286180475756,0.6861471861471862,0.3678048586607147,0.47111642952463506,0.4923261792927543,,,,,,
dumbbell,5,0.15,0.25990405636879116,0.6982683982683983,0.26948571661958737,0.6982683982683983,0.25669141105749127,0.7008658008658009,0.2977830698740594,0.2996172981057007,0.6693197024174612,,,,,,
dumbbell,6,0.0,0.23326079911535708,0.7115384615384616,0.24783089054010413,0.7115384615384616,0.2279117084157431,0.7551282051282051,0.3142589660160824,0.2706916753340809,0.3596702318819133,,,,,,
dumbbell,6,0.15,0.2635927164216286,0.8256410256410256,0.273485734626063,0.8256410256410256,0.25939129391763843,0.7935897435897437,0.3086513814241199,0.20225723736129703,0.5453665112800684,,,,,,
necklace,3,0.0,0.6291331928584574,0.8246153846153846,0.6477975183418778,0.8246153846153846,0.5764170137151458,0.7533333333333334,0.7184619772411918,0.6855391745339222,0.4493154220289975,,,,,,
necklace,3,0.15,0.5809887414426312,0.7533333333333334,0.6109692042727376,0.7533333333333334,0.6058988920177294,0.7625641025641026,0.6286042610149326,0.7219314292890445,0.6679172644926082,,,,,,
necklace,4,0.0,0.4441435777441203,0.6925287356321839,0.4446082474472844,0.6925287356321839,0.3498699689576785,0.6589301503094607,0.6742438127872947,0.7249120811257581,0.442217611455673,,,,,,
necklace,4,0.15,0.4627550810403544,0.746131741821397,0.4682925027490309,0.746131741821397,0.38951911259598665,0.7033598585322723,0.6443207018750886,0.5792005078544586,0.6408318799074948,,,,,,
necklace,5,0.0,0.2638961518377128,0.5947060388401171,0.26481679409524783,0.5947060388401171,0.24548274885617083,0.573024740622506,0.2921813886965456,0.49965467909125333,0.43645761848830233,,,,,,
necklace,5,0.15,0.31029544440822887,0.6985235434956105,0.3108986863074496,0.6985235434956105,0.29607123931974605,0.6936020218143124,0.2931451383828582,0.45000242725407164,0.6354432964126718,,,,,,
necklace,6,0.0,0.14834447101256465,0.5328672452587593,0.15148562698890616,0.5328672452587593,0.15399843561011545,0.518161362905818,-0.035950404308454295,0.12517123375638164,0.34710016988508074,,,,,,
necklace,6,0.15,0.18953781018288374,0.7145612343297976,0.19066184522283644,0.7145612343297976,0.18922104092423947,0.6930247508839602,-0.08203963514987096,0.01754819997295554,0.5040290272112194,,,,,,
torus,3,0.0,,,,,,,,0.5660599652676435,0.60172159700425,0.00039737559296755087,0.0006114103521086964,0.0642700980098922,0.09945062040665195,0.10549979175849183,0.16150509850827538
torus,3,0.15,,,,,,,,0.5814457977697909,0.6633474183820869,0.0006411727918543774,0.0007285954714576344,0.10597927702140494,0.12059997405754017,0.11386113594249539,0.1674378131743861
