mani,dim,seed,seeding,ratio_med,ratio_iqr,field_r,goal_acc
dumbbell,3,0,true,-0.8981995202161137,0.19634376090354388,0.7188428298193087,1.0
dumbbell,3,0,proxy_sent,0.029117102321365114,2.200685669129557,-0.0342256459284856,1.0
dumbbell,3,0,proxy_ruler,0.18295366210284472,2.0346640694213236,0.17300779733062313,1.0
dumbbell,3,1,true,-0.8999194360674097,0.19308018695206897,0.7141740028200203,1.0
dumbbell,3,1,proxy_sent,0.017987392345861386,2.144009621508758,-0.037715806553969625,1.0
dumbbell,3,1,proxy_ruler,0.1700438398192498,2.0887188257396563,0.21568296994895622,1.0
dumbbell,4,0,true,-0.40842496526332883,0.1532366508133131,0.6595981437664579,1.0
dumbbell,4,0,proxy_sent,-0.10630366804460437,2.182600249969189,-0.20453574474195357,1.0
dumbbell,4,0,proxy_ruler,0.3976347661065956,1.8110139378444745,0.11035489061540102,0.9982142857142857
dumbbell,4,1,true,-0.4207770986057836,0.15665892333497528,0.6771563100388818,1.0
dumbbell,4,1,proxy_sent,-0.0951971616823919,2.2286372583445457,-0.2651005186913716,1.0
dumbbell,4,1,proxy_ruler,0.323769591860598,1.9673133442726147,0.14752957760021956,1.0
necklace,3,0,true,-1.26218162925879,0.33642818577251643,0.8333321163939171,1.0
necklace,3,0,proxy_sent,0.22294689037623425,2.284973213801347,0.41946498696266044,1.0
necklace,3,0,proxy_ruler,0.1312305673945489,2.1018300566459005,0.33872371025315634,0.9982142857142857
necklace,3,1,true,-1.2912105889141086,0.44679213590157496,0.8237663881825302,1.0
necklace,3,1,proxy_sent,0.16242138684793583,2.24315304615404,0.44815534279409214,1.0
necklace,3,1,proxy_ruler,0.15880565065138177,2.114694963851103,0.35199752958750746,1.0
necklace,4,0,true,-0.43111888329759884,0.178094781367572,0.8015893048486737,1.0
necklace,4,0,proxy_sent,0.19708138238826292,2.2751343124501155,0.25923464829248477,1.0
necklace,4,0,proxy_ruler,0.39234902958769796,1.931220541591692,0.1514010577057612,0.9875
necklace,4,1,true,-0.3701934534865249,0.20492883609540724,0.7884067351889597,1.0
necklace,4,1,proxy_sent,0.2203588630763974,2.2443836947847515,0.23888078967616383,1.0
necklace,4,1,proxy_ruler,0.3197105888439444,1.9993162101919515,0.18825831265790607,0.9857142857142858
torus_flat,2,0,true,0.9832955386558843,2.012468787286204,,
torus_flat,2,0,proxy_sent,0.9832955386558843,2.012468787286204,,
torus_flat,2,0,proxy_ruler,0.9890873052004563,1.8494868459593117,,
torus_flat,2,1,true,0.9539019175395584,1.8753691761372517,,
torus_flat,2,1,proxy_sent,0.9539019175395584,1.8753691761372517,,
torus_flat,2,1,proxy_ruler,0.9833528726450307,1.8775151165736657,,
torus_flat,3,0,true,0.550460908316281,2.1557992110526234,,
torus_flat,3,0,proxy_sent,0.550460908316281,2.1557992110526234,,
torus_flat,3,0,proxy_ruler,0.6402619496619102,2.038640771380183,,
torus_flat,3,1,true,0.5843511383348192,2.132250057002828,,
torus_flat,3,1,proxy_sent,0.5843511383348192,2.132250057002828,,
torus_flat,3,1,proxy_ruler,0.5872276074429827,2.0758519518746783,,
