kind,dim,ks,integ_sign,integ_mag,iso,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
torus,2,0.0,-0.14054764912789308,0.000941930126090242,-0.5,-1.6918776930897005e-17,-9.447576150784514e-17,0.006653364090988593,-6.835313765948197,-5.2833547539329535,-0.0,0.0788224386763094
torus,2,0.0,-0.15328451039535268,0.000941930126090242,-0.5,9.93424394471027e-17,-2.3549950584389876e-18,0.004609090899518157,-6.834324983894792,-5.3349904960688175,-0.0,0.040600756840627125
torus,2,0.0,-0.20483643397080575,-0.038919606771817314,-0.5,-9.114858887241967e-17,4.0405874665524754e-17,-0.007824059546966624,-6.84630511665059,-5.4034433310833725,-0.0,0.060924587744644675
torus,2,0.0,-0.15328451039535268,0.00328493713522616,-0.5,-5.6289431314168505e-18,1.42298316873739e-16,-0.00953188107153527,-6.855706670414337,-5.29754495090973,-0.0,0.06407852169404081
torus,2,0.0,-0.15328451039535268,0.002539835325245941,-0.5,1.949019810785188e-16,-1.2913787139406455e-17,-0.006958197496982099,-6.827059059751518,-5.236376757153759,-0.0,0.03957694860418158
torus,2,0.0,-0.1875306279187255,0.00328493713522616,-0.5,-9.644280657382518e-17,3.17586368733098e-17,0.0021479544013316395,-6.856748183327206,-5.387232298232152,-0.0,0.06765010039297309
torus,2,0.0,-0.14054764912789308,0.000941930126090242,-0.5,-3.745127207110944e-18,2.102346288647227e-16,0.00518745135477156,-6.835811931909051,-5.239657873636074,-0.0,0.0782826222047072
torus,2,0.0,-0.15328451039535268,0.000941930126090242,-0.5,9.59925050862586e-17,4.980492561313043e-17,-0.005205162422258061,-6.817548245499451,-5.194015974572829,-0.0,0.05218670677953802
sphere,2,4.936909979791477,0.4733033147752749,-0.005131455876331944,-0.4585729496984895,0.007271563401050676,0.015089151633505857,0.012929506464580885,-6.661471851895681,-5.295278543899057,-0.062499999937499995,0.13647207881219184
sphere,2,4.936909979791477,0.47754717462002316,-0.005131455876331944,-0.4581666309416661,0.009056780281276712,0.016819098126792446,0.0004868857005615829,-6.632314351594016,-5.1349158235699175,-0.0,0.15553691696176364
sphere,2,4.936909979791477,0.4789777145912797,-0.005131455876331944,-0.4585729496984895,0.007734085747289567,0.016104521220774763,0.007200637781020287,-6.6451153178245415,-5.1441297479686625,-0.0,0.10846076207927983
sphere,2,4.936909979791477,0.4781951973830193,-0.005131455876331944,-0.45819413715326845,0.008395128612696106,0.01646595980668737,0.009498669340044777,-6.632168324201176,-5.128357882139708,-0.0,0.13570347719796438
