mani,seed,r_H0,r_Hw,r_dH,r_ratio
torus,0,0.9572058678006439,0.877754437448393,-0.5452109171968187,0.7417789651981533
torus,1,0.9753607918232953,0.8944456729578436,-0.7319674214041194,0.726332928920323
dumbbell,0,0.32886835642992285,0.6097811326168443,0.8336720265874752,0.6921863007165263
dumbbell,1,0.5132381793167985,0.7767593896721885,0.9407000471575426,0.6904227371527335
necklace,0,0.9377561232779892,0.8407697928120607,0.7245109498677227,0.8440729728374825
necklace,1,0.9229320480969805,0.8593541111552043,0.750666516376694,0.8155193480639249
