v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,ks,kind,dim,seed,branch,estimator,integ_sign,integ_mag
-27546759.019421414,-41.65122236581915,-0.18950638660867078,2.137112515074344,-2.5085086406439263,-38.666354259938586,-10.508142153846093,3.0,0.2359282655215407,0.185078364687593,0.4419046721419412,208,1400,3,-22.54806259822148,dumbbell,3,0,A,oracle,-0.49118367422983056,-0.43397982845667804
-36573272.88041435,-40.677643178904006,-0.006096345025091383,1.9458712675435073,-2.755201788999246,-49.29222260618125,-16.278486703417784,3.0,0.2657119221918317,0.2155148807528407,0.4637463229679813,362,1400,3,-19.225024550522377,dumbbell,3,0,A,oracle,-0.48851776123087753,-0.2393245448601271
-10406373.30066081,-20.40764886313104,1.504548431941964,2.3561414737095894,-2.906118083916511,-28.040485913695925,-13.952823529816449,3.0,0.2630808072656108,0.2269496175734839,0.4457874447237563,1088,1400,3,-11.762262800203482,dumbbell,3,0,A,oracle,-0.48361221827474354,-0.4288906704833239
-3353577.7024584566,-2.7810184692892164,-0.21092529682228633,2.2380897188065525,-2.8309783160959325,-13.872661452039035,-10.36186938361293,3.0,0.257993756801624,0.2160914786775711,0.4546766573878508,915,1400,3,-3.5550526795521264,dumbbell,3,0,A,oracle,-0.49645577809728175,-0.5559335488674003
11714033.663814977,14.562134290296738,1.3544901586903968,2.458539642342905,-3.150025138783877,-24.4985297982817,-6.502432850347537,3.0,0.248546745303535,0.219191903286516,0.4661943109426211,361,1400,3,2.5102588071524714,dumbbell,3,0,A,oracle,0.3968617214610437,0.1692418728602746
24009834.195963904,37.17883210739269,1.74530652371449,14.345927976996723,-1.7649693977364533,0.2951630096178518,4.827236179051344,3.0,0.2399572885756791,0.1951518671438668,0.4963404401429372,405,1400,3,6.159382675542515,dumbbell,3,0,A,oracle,0.4933124042308681,0.16920503202540402
26797364.12661146,45.03141029011305,0.2920846426581699,16.926952900022954,-0.7801222948224504,0.2951630096178518,4.250075166498474,3.0,0.2177901271522725,0.1865011009868768,0.5013465074891073,919,1400,3,6.605360713324066,dumbbell,3,0,A,oracle,0.47271550039143584,0.09095419467629567
19296786.58778909,22.563585874821264,1.8090333033763377,4.963599937296519,-2.293023216537443,-10.330705336624813,-20.73459242169574,3.0,0.2405252061380725,0.1948140959593099,0.4663288181435883,1107,1400,3,7.3857094587224115,dumbbell,3,0,A,oracle,0.4799058343531094,0.20347222411927116
34403482.07418841,54.56711485197944,2.6072413848619074,15.21935666650953,-1.8026512034990279,0.2951630096178518,2.798556922681251,3.0,0.2454999444543009,0.1986605863453308,0.4849045082115301,661,1400,3,8.355744883799076,dumbbell,3,0,A,oracle,0.49527912023869547,0.20253120951430426
32559104.691356603,58.554172480144956,1.808939912917928,16.477390294200028,-0.46354644584418,0.2951630096178518,1.4823396226162069,3.0,0.2193044569818596,0.2041566161245828,0.5191282848423763,397,1400,3,9.17866914521766,dumbbell,3,0,A,oracle,0.40739848034526593,0.18595235216733685
37723420.57915495,59.36673056858241,2.8330252051259897,12.877780432979309,-1.4271066644254984,0.2951630096178518,-0.91143899072239,3.0,0.2310411565547225,0.2148500770791917,0.489756153620051,460,1400,3,10.291751725325792,dumbbell,3,0,A,oracle,0.4998031747191324,0.26055391947662243
42098415.62252978,67.9634333074773,3.072318836491433,14.499975311376211,-0.6951746955579303,0.2951630096178518,4.018596587394312,3.0,0.2256650181145114,0.2229488678054904,0.5096740136034138,964,1400,3,11.41168825762969,dumbbell,3,0,A,oracle,0.4988908073166427,0.31954181979430574
45025665.5621076,66.81415781828746,2.408101110876789,13.617498725814102,-0.8974424748955124,0.2951630096178518,-0.6661664062945243,3.0,0.2250237505104668,0.1979909609482375,0.4984254996219297,319,1400,3,12.373259461365768,dumbbell,3,0,A,oracle,0.4996455466473192,0.30333871293600484
48380543.6837952,69.25253804635551,0.9642147172780886,14.728931733941014,-0.1938495536745199,0.2951630096178518,0.8889688979521587,3.0,0.2352006546370813,0.2083392667992081,0.5258493374349574,1323,1400,3,13.292811739534624,dumbbell,3,0,A,oracle,0.498014161033816,0.3253534172201825
51643669.41997786,73.44031510089833,1.5664859920393566,16.385456747876702,0.8022983964605102,0.2951630096178518,-1.5385118468911347,3.0,0.1813121175239981,0.1839879233984377,0.5222144528411469,185,1400,3,14.409416562572522,dumbbell,3,0,A,oracle,0.4961509050948806,0.35128122926755384
36834471.30718965,51.02621461931826,2.4383667086202228,5.141082150532767,-2.1731255740020465,-3.2467931057963697,-13.375518146014995,3.0,0.2441360903520327,0.2228546963222101,0.4735481170342686,1222,1400,3,15.33757314504347,dumbbell,3,0,A,oracle,0.49970083276766886,0.29941291669319625
54651530.71278459,75.247443318941,2.1343213619101973,14.26006504077157,-0.3956087948871558,0.2951630096178518,-5.200241828043613,3.0,0.2273579579761737,0.1980944538726503,0.5144147692598078,190,1400,3,16.176736933411025,dumbbell,3,0,A,oracle,0.4985386348934423,0.36002297818111395
42886390.338314734,47.175615178520886,0.7490946965264739,8.435218670130855,-0.42483017791291544,0.2951630096178518,-10.300476825507944,3.0,0.2266539866754613,0.2217633480182397,0.5190048636523947,975,1400,3,17.079064983670342,dumbbell,3,0,A,oracle,0.4984886578784279,0.2713816441514806
43841158.32967506,56.58178580453002,0.45708464573394886,8.227032679112607,-1.5481213522438961,-3.2467931057963697,-4.632542941312079,3.0,0.2454514476223969,0.2053745380143511,0.4922996027097748,1375,1400,3,17.851715608550524,dumbbell,3,0,A,oracle,0.49925113359731255,0.18095147392988642
47135860.73960026,55.057446384027024,2.3614276499855125,10.610338894190978,-1.5703579423911171,-3.2467931057963697,-5.844276133798048,3.0,0.2367022429816471,0.1784095755703499,0.4940681667280868,327,1400,3,18.427504263358863,dumbbell,3,0,A,oracle,0.4998321492691813,0.2985436011856482
56731596.36241264,76.69975503285974,1.7927430784348712,10.815491113491486,-0.5060724032328447,-3.2467931057963697,-3.7927787891317704,3.0,0.2234270966711214,0.2125593891407029,0.5136904030265791,281,1400,3,18.86173140901876,dumbbell,3,0,A,oracle,0.4989152662357029,0.38890574713332765
52719653.67078595,71.27377725266881,0.6207154465914402,11.225125576374422,-0.5823009642183724,0.2951630096178518,-0.8586279411858688,3.0,0.2181988180444075,0.2151939177559949,0.5292846088046435,1261,1400,3,19.292051405337936,dumbbell,3,0,A,oracle,0.4971988181360313,0.29769083308891225
52736714.33852372,68.9661121818751,-0.4222842023534346,10.6089464480014,-0.5397663138703068,0.2951630096178518,-1.0446552204485025,3.0,0.2110918936031364,0.2218222783389845,0.5288976943282292,630,1400,3,19.5323352139822,dumbbell,3,0,A,oracle,0.4950946366206125,0.22932586557139498
50433790.15042753,65.21099787619234,2.3394151323884174,9.384683127941333,-1.3063332062304724,-6.788749221210592,4.0076882572951815,3.0,0.2269785632391129,0.2022059255265099,0.5075173483031388,356,1400,3,19.59838014117316,dumbbell,3,0,A,oracle,0.49949756520292043,0.34288378325602337
-1.2122965982368918,-0.43926790621388856,-1.0039904373067932,-0.9503123248424967,0.7160567749058616,-1.0506435266302399,0.7863482696924363,3.0,0.2267419039314019,0.2982269367658354,0.5869416147099227,208,1400,3,-22.54806259822148,dumbbell,3,0,B,diffdist_t4,-0.15736410177947985,-0.15331094534496817
-0.6918666170435137,-0.5581726406816235,-3.060945050170563,-0.9113739521206085,0.18094031402226843,-1.0506435266302399,2.4734939410600747,3.0,0.2837668903161461,0.2963628084454847,0.5879046922249132,362,1400,3,-19.225024550522377,dumbbell,3,0,B,diffdist_t4,-0.37783999463555884,-0.08740183750554359
0.24997111005094366,0.24272869003195874,0.6214175593762457,-0.783084444206472,-0.05416106943840013,-0.5412406046276993,-0.822478041361533,3.0,0.2778331526483587,0.3197054283537286,0.5334674339823461,1088,1400,3,-11.762262800203482,dumbbell,3,0,B,diffdist_t4,-0.24453210251707663,0.3588394417266924
0.10191781209576328,0.13829045737542245,-0.4995971214493872,-0.7200413957949628,0.3006150254188966,0.732266700378652,0.5998292001619883,3.0,0.2654699247691695,0.2576337527572334,0.5536185874991558,915,1400,3,-3.5550526795521264,dumbbell,3,0,B,diffdist_t4,-0.11313731351234557,-0.22614365141497392
0.2712579873139512,0.5889206674489555,0.6910889890743143,-0.7291922797226151,0.15042140176672109,0.09551304787547635,-1.8421206576617386,3.0,0.2381633179978083,0.3014598829462285,0.5202949131433076,361,1400,3,2.5102588071524714,dumbbell,3,0,B,diffdist_t4,-0.2851768381560943,-0.2647233527253681
0.637491452806339,0.6694935999771388,-0.6974248094923298,-0.45428461409551935,0.40519083418541135,0.8596174308792871,3.085795038950956,3.0,0.2581942456884586,0.2769981133449394,0.5620385708937446,405,1400,3,6.159382675542515,dumbbell,3,0,B,diffdist_t4,-0.06429818764097672,0.04210399056547183
0.042494592013336746,0.23937827767820571,0.15040246869674084,-0.27252309903194,0.6145712527273389,0.8596174308792871,3.7211942147321024,3.0,0.2275792399924321,0.2386556761610657,0.5703803039269209,919,1400,3,6.605360713324066,dumbbell,3,0,B,diffdist_t4,0.12187788983740877,0.16442796596560957
0.472299974092646,0.523626424275605,0.16176461975776982,-0.5430485730226995,0.18006929902272947,0.732266700378652,0.6697339761559126,3.0,0.2567317249088731,0.2546844463723107,0.548279869722895,1107,1400,3,7.3857094587224115,dumbbell,3,0,B,diffdist_t4,-0.17068117390550125,0.006593170712376166
0.4120065356482429,0.5229108915093509,1.5561227450216646,-0.284619145320383,-0.16936679632217413,0.8596174308792871,2.776772253162,3.0,0.2709296863386072,0.2326796693985519,0.5200592191163387,661,1400,3,8.355744883799076,dumbbell,3,0,B,diffdist_t4,-0.3046288704404279,0.15552108230598133
0.42151207147923914,-0.05548977558182632,0.5520304359229239,-0.1800500129082469,0.7601142258295523,0.8596174308792871,3.418739154924658,3.0,0.2284030972510276,0.250715866164227,0.5914844609145947,397,1400,3,9.17866914521766,dumbbell,3,0,B,diffdist_t4,-0.04366877864880103,0.29089831265379035
-0.13805331361726145,0.08089533753490713,-0.06128919629629151,-0.24668485648441574,0.5884496405483817,0.8596174308792871,1.837768377231362,4.0,0.2260200255005749,0.2275017315888509,0.5667560185217285,460,1400,3,10.291751725325792,dumbbell,3,0,B,diffdist_t4,-0.026840946960633494,0.04820733593796122
0.10651785418607085,-0.050546836611626254,0.5018693831651578,-0.16553513553616034,0.6412928538180418,0.8596174308792871,3.1658985153030867,4.0,0.2293955964915192,0.2348210505139666,0.5689711034199908,964,1400,3,11.41168825762969,dumbbell,3,0,B,diffdist_t4,0.09309972631134744,0.17248451450989932
