v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,branch,estimator,rep,n_bucket
-0.04079924330544291,-0.028913125104701756,0.009145428871849952,-7.103890431867539,-5.64146614074707,-1.0,0.02776843767941782,4.0,0.24877611388136192,0.16168767528219266,0.40948059314719454,1269,1400,3,B,plain,0,1400
-0.003383718997103969,0.0013158482064702644,0.010311976378055698,-6.889290377436778,-4.892110347747803,-0.0,0.2579380791769922,3.0,0.20922933829201798,0.15196653890888273,0.4939707814064878,358,1400,3,B,plain,0,1400
-0.03925627564539126,-0.053904139978058055,-0.012786705915816288,-6.978718069133834,-5.290023326873779,-0.0625,0.13433628656761687,3.0,0.22677671359083618,0.14532269407682485,0.42986299304925,25,1400,3,B,plain,0,1400
-0.0016373606423379938,-0.03741347650362544,-0.007597956229785966,-7.087344804990616,-5.502137660980225,-0.875,0.027021816932596268,3.0,0.22908475382853302,0.15071658112563163,0.42748538386464563,317,1400,3,B,plain,1,1400
-0.025962517717641978,-0.02165061689057209,-0.010378821821698886,-7.076355259264018,-5.571915626525879,-0.8125,0.21818627736072035,3.0,0.23305476829120558,0.18018545523872148,0.42590660450572176,363,1400,3,B,plain,1,1400
-0.0010553070395258222,0.004624144533686582,0.0019583508828657833,-6.82412411790955,-4.687371730804443,-0.0,0.23834860369773192,3.0,0.19089564453565055,0.14420981849771994,0.4981852099792745,459,1400,3,B,plain,1,1400
-0.04781802981425816,-0.05597578540320804,-0.015945481894479883,-7.137327528947511,-5.743990421295166,-1.0,0.06551054272839604,3.0,0.2760398131130675,0.20106033275400295,0.4937678613323519,276,1400,4,B,plain,0,1400
-0.009084384753756454,-0.025507889643838513,0.042986220100489664,-7.053211254941752,-4.96880578994751,-0.0,0.23604795659552924,5.0,0.23303324422547098,0.17170514113063465,0.515827360497133,74,1400,4,B,plain,0,1400
-0.025549801888854203,-0.032500421617037596,0.002651061237726921,-7.080752247344247,-5.1275553703308105,-0.0,0.2501391975298356,4.0,0.23906375009952835,0.19352843253165805,0.5036851950582029,171,1400,4,B,plain,0,1400
-0.02170777123725419,-0.04027707181995028,-0.014651848818445818,-7.1430359017062806,-5.746356010437012,-1.0,-0.0026022604857526416,4.0,0.26103215129873025,0.19834867994573266,0.47635060210016283,1279,1400,4,B,plain,1,1400
0.09684836162725735,0.05065114984203609,0.05840017909763455,-7.025311113579129,-4.415640354156494,-0.0,0.34566249434741403,4.0,0.22459662215935514,0.21724846606008544,0.6325984824808034,891,1400,4,B,plain,1,1400
-0.011659870492784417,-0.011932860065043663,0.00393791202052785,-7.087985470991185,-5.159456729888916,-0.1875,0.18256899067214188,4.0,0.2590396950951272,0.19385438275723532,0.5321685410061486,993,1400,4,B,plain,1,1400
-0.09786102609086607,-0.14419423716933252,-0.03686718016919083,-7.150862038876086,-5.795881748199463,-1.0,0.3381715397374875,4.0,0.26682621819096475,0.20417751982667523,0.47899350521427403,1206,1400,5,B,plain,0,1400
0.01667932481038585,0.005174516240011718,0.004400241654677214,-7.094122375961415,-4.511044979095459,-0.0,0.4211054460912001,2.0,0.256924152316647,0.2539395231334607,0.6522045035502552,663,1400,5,B,plain,0,1400
-0.006449559946462858,-0.03295091888419538,0.05717439206466721,-7.098162498887248,-4.725898742675781,-0.0,0.4157752211581468,1.0,0.26137786732877993,0.2344233489081354,0.6175841826617107,938,1400,5,B,plain,0,1400
